Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
1*,1.0,1.0,YES,Most Stab Sigs,71.27%,30.78%,112.11%,42.62%,71.68,0.1227,0.7598,0.096,0.193,0.835,0.582
2*,1.0,1.0,YES,Most Stab Sigs,6.07%,19.23%,40.6%,22.73%,47.69,0.0437,0.1386,0.035,0.116,0.915,0.778
3*,0.98,0.97,YES,Most Stab Sigs,5.8%,15.89%,26.4%,17.43%,26.18,0.0227,0.0549,0.016,0.034,0.961,0.914
4*,0.95,0.88,YES,Most Stab Sigs,2.32%,11.6%,26.15%,13.12%,25.71,0.0187,0.0535,0.011,0.033,0.973,0.933
5*,0.55,0.17,YES,Most Stab Sigs,2.52%,12.78%,27.34%,13.59%,27.11,0.0186,0.0583,0.011,0.036,0.972,0.931
6*,0.44,-0.35,YES,Most Stab Sigs,1.78%,10.9%,22.58%,11.64%,20.63,0.0147,0.0458,0.008,0.021,0.98,0.957
7*,0.51,-0.28,YES,Most Stab Sigs,1.8%,9.75%,21.72%,10.94%,19.3,0.0133,0.0472,0.007,0.018,0.982,0.953
8*,0.35,-0.11,YES,Most Stab Sigs,1.7%,10.74%,23.19%,10.62%,24.14,0.0143,0.0435,0.008,0.028,0.981,0.953
9*,0.42,-0.27,YES,Most Stab Sigs,1.63%,8.72%,24.26%,9.24%,24.42,0.0123,0.0455,0.007,0.028,0.984,0.954
10*,0.3,-0.1,YES,Most Stab Sigs,1.54%,9.21%,21.82%,9.9%,22.67,0.0124,0.0391,0.006,0.025,0.983,0.95
11*,0.23,-0.42,YES,Most Stab Sigs,1.68%,9.11%,16.67%,10.02%,17.05,0.0107,0.0254,0.005,0.015,0.986,0.96
12*,0.23,-0.08,YES,Most Stab Sigs,1.5%,9.05%,18.53%,8.95%,17.15,0.0109,0.0279,0.006,0.015,0.986,0.956
13*,0.17,-0.14,YES,Most Stab Sigs,10.71%,8.96%,20.46%,9.13%,18.94,0.012,0.0379,0.006,0.018,0.986,0.95
14*,0.13,-0.37,YES,Most Stab Sigs,1.34%,8.46%,15.76%,9.42%,17.11,0.0095,0.0218,0.005,0.015,0.987,0.96
15*,0.12,-0.26,YES,Most Stab Sigs,3.36%,8.2%,18.05%,8.39%,16.32,0.01,0.0305,0.005,0.013,0.988,0.964
16*,0.07,-0.24,YES,Most Stab Sigs,6.12%,8.48%,21.77%,9.52%,20.44,0.012,0.0399,0.005,0.019,0.987,0.966
