MutationType	DBS78A
AC>CA	0.004249379908045133
AC>CG	7.103886503803855e-05
AC>CT	7.103887352665576e-05
AC>GA	0.013024147367104888
AC>GG	7.103887328412384e-05
AC>GT	7.103885970233629e-05
AC>TA	0.01344196576004227
AC>TG	0.004110212197459381
AC>TT	7.103886503803855e-05
AT>CA	7.103886018740013e-05
AT>CC	0.004388795180663389
AT>CG	7.10388645529747e-05
AT>GA	0.004249379131942987
AT>GC	7.103887207146423e-05
AT>TA	0.007731519865774317
CC>AA	0.08224612697958947
CC>AG	0.05021191462874412
CC>AT	0.02402721264710029
CC>GA	0.01636677427838246
CC>GG	7.103886358284702e-05
CC>GT	0.012606051719437043
CC>TA	0.02402709095428387
CC>TG	0.008427816924328606
CC>TT	0.05049043272932371
CG>AT	0.00424937914746503
CG>GC	7.103886722082582e-05
CG>GT	7.103886431044278e-05
CG>TA	0.0042493798770010475
CG>TC	0.012606053333729505
CG>TT	0.009263666165982917
CT>AA	7.103886576563431e-05
CT>AC	0.00424937989252309
CT>AG	0.0119097207672894
CT>GA	0.008567124527568618
CT>GC	7.103887304159192e-05
CT>GG	0.012606051253775756
CT>TA	0.015391784968475502
CT>TC	0.0042493798770010475
CT>TG	0.016784391986827057
GC>AA	0.10536613141496977
GC>AG	0.01608812902122736
GC>AT	0.02904107707242171
GC>CA	0.01121351343220643
GC>CG	7.103887110133655e-05
GC>TA	0.008706455398350955
TA>AT	0.012606436701510878
TA>CG	7.103887570944304e-05
TA>CT	0.013302596844732761
TA>GC	7.10388691610812e-05
TA>GG	7.103886164259166e-05
TA>GT	7.103887376918768e-05
TC>AA	0.0559221172084411
TC>AG	0.036701856863995394
TC>AT	0.07556177861988544
TC>CA	0.013163575095434983
TC>CG	0.013720605103299022
TC>CT	0.02402721860756477
TC>GA	0.033497891823450726
TC>GG	0.008427719150980314
TC>GT	0.01636701198294759
TG>AA	0.018038285523653032
TG>AC	7.103886237018742e-05
TG>AT	0.022077403621127208
TG>CA	0.004249379271641374
TG>CC	0.004110158842862196
TG>CT	0.016784843771408
TG>GA	0.0046673249273832575
TG>GC	7.103887207146423e-05
TG>GT	0.009124263639872272
TT>AA	7.103887207146423e-05
TT>AC	0.008984965085983277
TT>AG	0.004249378309274713
TT>CA	7.103886673576199e-05
TT>CC	7.103886503803855e-05
TT>CG	7.103886843348542e-05
TT>GA	0.004249379566560189
TT>GC	7.103886552310239e-05
TT>GG	0.0042493798770010475
