Samples	SBS1	SBS2	SBS5	SBS13
TCGA-3C-AAAU-01	13	0	33	0
TCGA-3C-AALI-01	0	352	0	455
TCGA-3C-AALJ-01	10	0	46	10
TCGA-3C-AALK-01	15	5	39	5
TCGA-4H-AAAK-01	8	0	25	0
TCGA-5L-AAT0-01	0	168	0	110
TCGA-5L-AAT1-01	0	1048	0	937
TCGA-5T-A9QA-01	19	0	34	0
TCGA-A1-A0SB-01	5	0	11	0
TCGA-A1-A0SD-01	12	0	28	0
TCGA-A1-A0SE-01	3	4	29	0
TCGA-A1-A0SF-01	7	31	19	7
TCGA-A1-A0SG-01	9	0	26	0
TCGA-A1-A0SH-01	0	75	0	62
TCGA-A1-A0SI-01	0	116	0	161
TCGA-A1-A0SJ-01	13	5	17	5
TCGA-A1-A0SK-01	26	0	58	0
TCGA-A1-A0SM-01	6	0	26	0
TCGA-A1-A0SN-01	13	7	39	17
TCGA-A1-A0SO-01	31	0	322	0
TCGA-A1-A0SP-01	12	0	58	0
TCGA-A2-A04N-01	12	0	41	0
TCGA-A2-A04R-01	15	0	87	0
TCGA-A2-A04U-01	23	0	44	0
TCGA-A2-A04W-01	0	80	0	106
TCGA-A2-A0CK-01	12	4	11	0
TCGA-A2-A0CL-01	33	78	0	88
TCGA-A2-A0CR-01	0	113	0	96
TCGA-A2-A0CS-01	15	0	33	0
TCGA-A2-A0CV-01	8	0	16	0
TCGA-A2-A0CW-01	31	31	0	21
TCGA-A2-A0D3-01	15	0	17	0
TCGA-A2-A0EN-01	12	0	27	0
TCGA-A2-A0EP-01	1	2	9	4
TCGA-A2-A0ES-01	3	0	16	0
TCGA-A2-A0EW-01	4	0	16	0
TCGA-A2-A0ST-01	10	0	18	0
TCGA-A2-A0SU-01	7	0	28	0
TCGA-A2-A0SX-01	8	0	33	0
TCGA-A2-A0SY-01	0	77	0	99
TCGA-A2-A0T0-01	14	0	203	0
TCGA-A2-A0T1-01	10	0	22	0
TCGA-A2-A0T3-01	11	0	33	0
TCGA-A2-A0T4-01	8	0	33	0
TCGA-A2-A0T5-01	7	0	6	0
TCGA-A2-A0T6-01	13	3	12	0
TCGA-A2-A0T7-01	11	0	18	0
TCGA-A2-A0YC-01	8	4	20	0
TCGA-A2-A0YD-01	22	35	0	29
TCGA-A2-A0YE-01	15	9	19	0
TCGA-A2-A0YF-01	6	0	33	0
TCGA-A2-A0YG-01	16	7	55	0
TCGA-A2-A0YH-01	25	29	0	44
TCGA-A2-A0YI-01	3	0	15	0
TCGA-A2-A0YJ-01	27	0	71	0
