Samples	SBS96A
TCGA-3C-AAAU-01	46
TCGA-3C-AALI-01	808
TCGA-3C-AALJ-01	66
TCGA-3C-AALK-01	64
TCGA-4H-AAAK-01	33
TCGA-5L-AAT0-01	279
TCGA-5L-AAT1-01	1986
TCGA-5T-A9QA-01	53
TCGA-A1-A0SB-01	16
TCGA-A1-A0SD-01	40
TCGA-A1-A0SE-01	36
TCGA-A1-A0SF-01	64
TCGA-A1-A0SG-01	35
TCGA-A1-A0SH-01	138
TCGA-A1-A0SI-01	278
TCGA-A1-A0SJ-01	40
TCGA-A1-A0SK-01	84
TCGA-A1-A0SM-01	32
TCGA-A1-A0SN-01	76
TCGA-A1-A0SO-01	353
TCGA-A1-A0SP-01	70
TCGA-A2-A04N-01	53
TCGA-A2-A04R-01	102
TCGA-A2-A04U-01	67
TCGA-A2-A04W-01	187
TCGA-A2-A0CK-01	27
TCGA-A2-A0CL-01	200
TCGA-A2-A0CR-01	210
TCGA-A2-A0CS-01	48
TCGA-A2-A0CV-01	24
TCGA-A2-A0CW-01	84
TCGA-A2-A0D3-01	32
TCGA-A2-A0EN-01	39
TCGA-A2-A0EP-01	16
TCGA-A2-A0ES-01	19
TCGA-A2-A0EW-01	20
TCGA-A2-A0ST-01	28
TCGA-A2-A0SU-01	35
TCGA-A2-A0SX-01	41
TCGA-A2-A0SY-01	177
TCGA-A2-A0T0-01	217
TCGA-A2-A0T1-01	32
TCGA-A2-A0T3-01	44
TCGA-A2-A0T4-01	41
TCGA-A2-A0T5-01	13
TCGA-A2-A0T6-01	28
TCGA-A2-A0T7-01	29
TCGA-A2-A0YC-01	32
TCGA-A2-A0YD-01	87
TCGA-A2-A0YE-01	43
TCGA-A2-A0YF-01	39
TCGA-A2-A0YG-01	78
TCGA-A2-A0YH-01	100
TCGA-A2-A0YI-01	18
TCGA-A2-A0YJ-01	98
TCGA-A2-A0YK-01	478
TCGA-A2-A0YL-01	43
TCGA-A2-A0YM-01	109
TCGA-A2-A0YT-01	81
TCGA-A2-A1FV-01	50
TCGA-A2-A1FW-01	95
TCGA-A2-A1FX-01	28
TCGA-A2-A1FZ-01	29
TCGA-A2-A1G0-01	23
TCGA-A2-A1G1-01	39
TCGA-A2-A1G6-01	10
TCGA-A2-A259-01	29
TCGA-A2-A25A-01	129
TCGA-A2-A25B-01	128
TCGA-A2-A25C-01	39
TCGA-A2-A25D-01	64
TCGA-A2-A25E-01	61
TCGA-A2-A25F-01	6
TCGA-A2-A3KD-01	18
TCGA-A2-A3XT-01	122
TCGA-A2-A3XU-01	31
TCGA-A2-A3XV-01	48
TCGA-A2-A3XW-01	17
TCGA-A2-A3XX-01	52
TCGA-A2-A3XZ-01	52
TCGA-A2-A3Y0-01	243
TCGA-A2-A4S1-01	98
TCGA-A2-A4S2-01	43
TCGA-A2-A4S3-01	107
TCGA-A7-A0CE-01	61
TCGA-A7-A0CH-01	17
TCGA-A7-A0D9-01	12
TCGA-A7-A0DA-01	187
TCGA-A7-A0DB-01	53
TCGA-A7-A13D-01	140
TCGA-A7-A13E-01	80
TCGA-A7-A13F-01	45
TCGA-A7-A13G-01	32
TCGA-A7-A26E-01	67
TCGA-A7-A26F-01	46
TCGA-A7-A26G-01	68
TCGA-A7-A26H-01	150
TCGA-A7-A26I-01	46
TCGA-A7-A26J-01	42
TCGA-A7-A2KD-01	55
TCGA-A7-A3RF-01	40
TCGA-A7-A425-01	33
TCGA-A7-A4SC-01	38
TCGA-A7-A4SD-01	62
TCGA-A7-A4SE-01	146
TCGA-A7-A56D-01	225
TCGA-A7-A5ZV-01	268
TCGA-A7-A5ZW-01	36
TCGA-A7-A5ZX-01	42
TCGA-A7-A6VV-01	64
TCGA-A7-A6VW-01	92
TCGA-A7-A6VX-01	177
TCGA-A7-A6VY-01	136
TCGA-A8-A075-01	100
TCGA-AC-A23C-01	145
TCGA-AC-A23E-01	24
TCGA-AC-A23H-01	6378
TCGA-AC-A2B8-01	128
TCGA-AC-A2BK-01	110
TCGA-AC-A2BM-01	26
TCGA-AC-A2FB-01	17
TCGA-AC-A2FF-01	11
TCGA-AC-A2FG-01	39
TCGA-AC-A2FK-01	3
TCGA-AC-A2FO-01	27
TCGA-AC-A2QH-01	27
TCGA-AC-A3HN-01	22
TCGA-AC-A3OD-01	39
TCGA-AC-A3QP-01	35
TCGA-AC-A3QQ-01	36
TCGA-AC-A3W5-01	211
TCGA-AC-A3YI-01	18
TCGA-AC-A3YJ-01	38
TCGA-AC-A4ZE-01	74
TCGA-AC-A5EH-01	205
TCGA-AC-A5EI-01	43
TCGA-AC-A5XS-01	715
TCGA-AC-A5XU-01	113
TCGA-AC-A62V-01	106
TCGA-AC-A62X-01	87
TCGA-AC-A62Y-01	89
TCGA-AC-A6IV-01	27
TCGA-AC-A6IW-01	231
TCGA-AC-A6IX-01	71
TCGA-AC-A6NO-01	43
TCGA-AC-A7VB-01	35
TCGA-AC-A7VC-01	26
TCGA-AC-A8OP-01	244
TCGA-AC-A8OQ-01	137
TCGA-AC-A8OR-01	32
TCGA-AC-A8OS-01	79
TCGA-AN-A0XL-01	40
TCGA-AN-A0XN-01	175
TCGA-AN-A0XO-01	43
TCGA-AN-A0XP-01	34
TCGA-AN-A0XR-01	38
TCGA-AN-A0XS-01	32
TCGA-AN-A0XT-01	22
TCGA-AN-A0XU-01	137
TCGA-AN-A0XV-01	44
TCGA-AN-A0XW-01	423
TCGA-AO-A03M-01	1150
TCGA-AO-A03N-01	134
TCGA-AO-A03U-01	5
TCGA-AO-A03V-01	72
TCGA-AO-A0JG-01	21
TCGA-AO-A124-01	178
TCGA-AO-A125-01	45
TCGA-AO-A126-01	25
TCGA-AO-A128-01	1210
TCGA-AO-A129-01	144
TCGA-AO-A12A-01	19
TCGA-AO-A12B-01	23
TCGA-AO-A12D-01	73
TCGA-AO-A12E-01	33
