MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
1:Del:C:0	1.13E-06	7.47E-07	2.35E-03	3.83E-04	1.28E-07	2.92E-03	2.69E-03	4.15E-04	6.02E-04	1.55E-03
1:Del:C:1	1.42E-02	1.40E-02	3.38E-06	3.86E-02	1.87E-07	3.03E-06	8.20E-07	4.96E-07	6.16E-07	1.09E-06
1:Del:C:2	5.66E-03	4.12E-02	1.15E-05	2.15E-06	1.03E-07	8.45E-04	1.19E-06	1.20E-06	5.35E-07	2.06E-06
1:Del:C:3	2.91E-02	2.70E-02	4.33E-02	2.58E-06	2.44E-03	7.24E-03	1.34E-06	4.39E-07	8.94E-07	2.75E-02
1:Del:C:4	3.88E-02	2.08E-02	2.45E-02	1.56E-06	7.47E-03	1.60E-02	1.28E-06	5.43E-05	6.71E-03	1.88E-02
1:Del:C:5	4.91E-03	2.19E-03	3.06E-03	2.03E-06	9.39E-03	4.76E-06	9.66E-07	1.68E-06	2.78E-03	7.65E-03
1:Del:T:0	1.27E-06	8.61E-07	1.31E-04	1.05E-04	4.89E-05	6.40E-04	2.68E-04	3.49E-04	2.42E-04	2.24E-04
1:Del:T:1	1.54E-02	2.68E-02	2.17E-02	2.26E-02	2.51E-05	7.15E-02	8.11E-07	7.50E-07	8.01E-07	1.30E-06
1:Del:T:2	1.30E-02	2.19E-02	6.48E-02	1.16E-02	8.89E-07	2.08E-02	1.14E-06	3.90E-07	8.15E-07	1.67E-06
1:Del:T:3	3.41E-02	2.76E-02	1.13E-02	2.15E-06	3.66E-03	3.06E-06	9.19E-07	5.74E-07	1.18E-06	2.84E-06
1:Del:T:4	3.03E-02	1.31E-02	2.56E-02	2.13E-06	1.81E-02	2.31E-02	9.20E-07	1.07E-06	1.36E-02	1.32E-06
1:Del:T:5	1.71E-02	6.60E-03	1.39E-02	1.37E-06	1.59E-02	4.63E-06	3.41E-07	1.06E-07	1.02E-02	1.01E-02
1:Ins:C:0	1.08E-06	4.49E-03	1.63E-03	1.65E-06	8.29E-08	2.87E-03	2.50E-03	4.67E-04	1.54E-03	1.78E-03
1:Ins:C:1	2.05E-06	7.51E-07	2.12E-03	1.10E-06	2.12E-08	1.38E-02	1.16E-02	2.22E-03	5.27E-03	7.19E-03
1:Ins:C:2	1.50E-06	6.83E-07	2.96E-06	1.57E-06	2.98E-04	9.15E-03	7.26E-03	2.67E-03	2.28E-03	6.36E-03
1:Ins:C:3	1.42E-06	5.40E-07	6.75E-06	8.40E-04	5.70E-04	4.63E-03	3.73E-03	2.01E-03	1.95E-03	3.46E-03
1:Ins:C:4	1.41E-06	4.82E-06	2.19E-03	8.19E-04	6.64E-04	9.58E-03	7.98E-03	2.83E-03	2.93E-03	4.79E-03
1:Ins:C:5	6.37E-07	7.38E-07	8.44E-07	1.72E-06	7.72E-03	1.88E-06	8.17E-03	1.59E-06	5.79E-03	1.38E-02
1:Ins:T:0	8.94E-07	1.60E-06	6.76E-07	9.18E-04	3.69E-04	9.34E-03	6.94E-03	2.61E-03	2.92E-03	3.48E-03
1:Ins:T:1	5.31E-07	1.19E-06	1.05E-06	2.12E-06	5.64E-08	1.22E-02	2.88E-02	1.10E-02	1.84E-02	1.87E-02
1:Ins:T:2	4.62E-03	2.46E-07	2.96E-03	1.38E-06	2.09E-03	1.04E-02	8.58E-03	2.76E-03	5.10E-03	6.11E-03
1:Ins:T:3	7.62E-07	9.36E-07	6.87E-03	1.61E-06	2.87E-03	8.04E-03	4.04E-03	2.27E-03	4.38E-03	7.80E-03
1:Ins:T:4	2.80E-04	9.25E-07	6.72E-04	1.05E-03	2.62E-04	3.18E-04	3.57E-03	6.43E-04	1.82E-03	2.34E-03
1:Ins:T:5	5.88E-07	1.82E-45	9.13E-07	1.51E-02	1.46E-02	7.80E-04	1.53E-06	1.16E-04	1.71E-02	3.72E-02
2:Del:R:0	5.05E-09	2.91E-09	2.03E-06	2.46E-23	3.12E-03	6.74E-07	1.21E-06	1.57E-02	3.13E-02	2.77E-03
2:Del:R:1	1.67E-03	6.84E-07	1.09E-03	2.24E-06	9.86E-04	2.80E-03	3.19E-03	6.96E-04	2.14E-03	3.14E-03
2:Del:R:2	3.53E-04	1.05E-06	1.04E-06	2.65E-06	3.90E-07	2.64E-06	5.17E-04	4.37E-05	2.34E-04	2.64E-04
2:Del:R:3	1.59E-06	7.99E-07	1.57E-06	1.47E-06	3.23E-07	2.52E-06	2.80E-04	2.30E-04	2.48E-04	2.34E-04
2:Del:R:4	1.25E-06	9.23E-07	1.01E-06	1.34E-06	3.47E-07	1.13E-03	7.03E-04	3.02E-04	2.93E-04	1.36E-06
2:Del:R:5	1.74E-06	1.03E-06	1.31E-06	1.62E-06	3.86E-07	2.86E-06	9.73E-07	3.17E-07	1.11E-06	1.71E-06
3:Del:R:0	7.53E-05	4.69E-09	8.92E-03	1.02E-02	5.62E-03	3.12E-02	1.51E-02	8.37E-03	2.09E-02	1.71E-02
3:Del:R:1	1.95E-03	1.12E-06	1.81E-03	3.34E-04	8.35E-04	1.01E-03	2.48E-03	4.97E-04	1.21E-03	1.11E-03
3:Del:R:2	1.36E-06	6.88E-07	1.42E-04	1.55E-06	4.26E-07	2.54E-04	3.41E-04	1.56E-04	3.76E-04	4.86E-04
3:Del:R:3	1.74E-06	1.03E-06	1.31E-06	1.62E-06	3.86E-07	2.86E-06	9.73E-07	3.17E-07	1.11E-06	1.71E-06
