MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
1:Del:C:0	0.00000202	0.00000075	0.00235486	0.00050636	0.00000025	0.00646508	0.00945737	0.00058312	0.00088669	0.00359340
1:Del:C:1	0.02447566	0.02014308	0.00003850	0.85147858	0.00000041	0.00001913	0.00000697	0.00000495	0.00000421	0.00000472
1:Del:C:2	0.00568886	0.59051174	0.00005157	0.00001826	0.00000024	0.00086474	0.00000980	0.00000620	0.00000393	0.00000746
1:Del:C:3	0.10331657	0.07821367	0.20846954	0.00002144	0.01157117	0.00725894	0.00000550	0.00000155	0.00000340	0.03963775
1:Del:C:4	0.14833711	0.05792469	0.06976827	0.00000984	0.06564346	0.01600007	0.00000817	0.00006155	0.00671609	0.02750152
1:Del:C:5	0.02332918	0.00449282	0.00493418	0.00001095	0.18578180	0.00001680	0.00001153	0.00001045	0.00285004	0.00891517
1:Del:T:0	0.00000227	0.00000092	0.00013173	0.00010932	0.00004987	0.00115710	0.00048598	0.00192288	0.00036207	0.00024177
1:Del:T:1	0.03279300	0.07346006	0.04252050	0.04748290	0.00003905	0.55321706	0.00000673	0.00000503	0.00000363	0.00000539
1:Del:T:2	0.02074568	0.04001078	0.51292105	0.01674907	0.00000129	0.02995994	0.00000680	0.00000334	0.00000457	0.00000736
1:Del:T:3	0.27525998	0.08682922	0.01145340	0.00001259	0.01406016	0.00002126	0.00000445	0.00000323	0.00000350	0.00001467
1:Del:T:4	0.17700680	0.02379808	0.05945732	0.00001133	0.08083554	0.03861971	0.00000537	0.00000710	0.01364168	0.00000812
1:Del:T:5	0.09522741	0.01447448	0.02350483	0.00000397	0.44293039	0.00001597	0.00000073	0.00000017	0.01020736	0.01011578
1:Ins:C:0	0.00000193	0.00448589	0.00163105	0.00000396	0.00000014	0.00489061	0.00824982	0.00060338	0.00440387	0.00375529
1:Ins:C:1	0.00000251	0.00000077	0.00212246	0.00000233	0.00000004	0.02496484	0.04304569	0.00392779	0.01640136	0.01138318
1:Ins:C:2	0.00000248	0.00000069	0.00000386	0.00000307	0.00067784	0.01840748	0.02117180	0.00730938	0.00442656	0.01879987
1:Ins:C:3	0.00000229	0.00000054	0.00000968	0.00084236	0.00177945	0.01008532	0.01172331	0.00503800	0.00438154	0.00945662
1:Ins:C:4	0.00000238	0.00000482	0.00218769	0.00082139	0.00231384	0.02348678	0.02911789	0.00718811	0.00400763	0.01141534
1:Ins:C:5	0.00000104	0.00000074	0.00000123	0.00000301	0.03772351	0.00000857	0.01160569	0.00001389	0.01182339	0.08222289
1:Ins:T:0	0.00000158	0.00000160	0.00000088	0.00092404	0.00135042	0.01582502	0.02601125	0.00811166	0.00889829	0.00582902
1:Ins:T:1	0.00000080	0.00000120	0.00000116	0.00000412	0.00000014	0.01224327	0.11108884	0.02597387	0.05829003	0.04403125
1:Ins:T:2	0.00462517	0.00000025	0.00295904	0.00000331	0.00800521	0.01999614	0.02427678	0.00561481	0.01296872	0.01525663
1:Ins:T:3	0.00000123	0.00000094	0.00849037	0.00000379	0.00842330	0.01387440	0.00929434	0.00383576	0.01143597	0.02390542
1:Ins:T:4	0.00028249	0.00000093	0.00094048	0.00105635	0.00124485	0.00033300	0.00899230	0.00109340	0.00611091	0.00768123
1:Ins:T:5	0.00000075	0.00000000	0.00000108	0.01512489	0.06043609	0.00078447	0.00000761	0.00012031	0.03519301	0.29800914
2:Del:R:0	0.00000001	0.00000000	0.00000204	0.00000000	0.01321441	0.00000159	0.00000475	0.02806388	0.40936975	0.00482220
2:Del:R:1	0.00167143	0.00000068	0.00109370	0.00000505	0.00123347	0.00485543	0.01010056	0.00126746	0.00487683	0.00981537
2:Del:R:2	0.00047100	0.00000133	0.00000165	0.00000787	0.00000108	0.00001528	0.00138883	0.00006485	0.00057206	0.00065670
2:Del:R:3	0.00000289	0.00000104	0.00000243	0.00000557	0.00000101	0.00001470	0.00094070	0.00041746	0.00051294	0.00049154
2:Del:R:4	0.00000225	0.00000107	0.00000158	0.00000475	0.00000091	0.00184745	0.00162098	0.00123923	0.00058968	0.00001723
2:Del:R:5	0.00000327	0.00000182	0.00000254	0.00000716	0.00000181	0.00001803	0.00003006	0.00002364	0.00002708	0.00002382
