Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
TCGA-3C-AAAU-01	1	1	15	18	0	8	3	0	0	0
TCGA-3C-AALI-01	317	228	21	96	32	4	0	0	110	0
TCGA-3C-AALJ-01	6	1	4	0	30	0	0	12	10	3
TCGA-3C-AALK-01	5	6	12	4	5	5	1	12	2	12
TCGA-4H-AAAK-01	0	0	8	0	5	6	1	3	10	0
TCGA-5L-AAT0-01	52	74	1	82	11	0	0	0	59	0
TCGA-5L-AAT1-01	597	674	0	376	141	0	0	0	198	0
TCGA-5T-A9QA-01	0	2	18	6	7	4	3	10	0	3
TCGA-A1-A0SB-01	0	0	2	2	0	4	0	8	0	0
TCGA-A1-A0SD-01	1	2	7	3	2	2	0	23	0	0
TCGA-A1-A0SE-01	0	3	2	8	3	5	0	0	10	5
TCGA-A1-A0SF-01	4	28	8	18	0	1	0	0	5	0
TCGA-A1-A0SG-01	1	0	6	7	0	2	0	8	11	0
TCGA-A1-A0SH-01	27	37	7	15	20	2	7	0	4	19
TCGA-A1-A0SI-01	105	72	0	44	40	0	0	0	17	0
TCGA-A1-A0SJ-01	5	5	14	3	0	2	3	0	0	8
TCGA-A1-A0SK-01	2	2	7	2	3	0	27	38	3	0
TCGA-A1-A0SM-01	0	0	8	1	0	6	2	0	11	4
TCGA-A1-A0SN-01	16	5	14	9	0	2	13	0	17	0
TCGA-A1-A0SO-01	13	11	8	24	19	16	75	44	0	143
TCGA-A1-A0SP-01	0	2	13	0	17	5	25	0	8	0
TCGA-A2-A04N-01	1	5	9	0	0	4	4	10	15	5
TCGA-A2-A04R-01	7	1	8	14	1	7	21	10	1	32
TCGA-A2-A04U-01	2	0	8	3	5	4	17	19	9	0
TCGA-A2-A04W-01	44	35	4	22	52	0	0	0	30	0
TCGA-A2-A0CK-01	0	3	10	4	0	1	0	8	0	1
TCGA-A2-A0CL-01	60	57	17	23	29	0	0	5	9	0
TCGA-A2-A0CR-01	75	90	1	12	6	3	0	6	17	0
TCGA-A2-A0CS-01	0	2	17	0	1	5	3	8	0	12
TCGA-A2-A0CV-01	2	0	11	0	0	2	0	0	5	4
TCGA-A2-A0CW-01	12	16	9	1	0	0	5	17	11	13
TCGA-A2-A0D3-01	0	2	20	0	0	0	0	0	4	6
TCGA-A2-A0EN-01	0	2	2	0	0	4	1	23	7	0
TCGA-A2-A0EP-01	3	1	0	3	2	4	0	3	0	0
TCGA-A2-A0ES-01	0	0	1	0	5	1	2	5	5	0
TCGA-A2-A0EW-01	1	0	4	4	0	5	5	0	1	0
TCGA-A2-A0ST-01	2	1	3	5	1	4	0	12	0	0
TCGA-A2-A0SU-01	0	2	7	0	12	1	5	0	0	8
TCGA-A2-A0SX-01	4	4	10	0	0	5	0	0	4	14
TCGA-A2-A0SY-01	63	41	7	22	0	0	0	8	36	0
TCGA-A2-A0T0-01	15	9	12	0	1	39	79	0	14	48
TCGA-A2-A0T1-01	0	0	4	2	0	6	0	15	5	0
TCGA-A2-A0T3-01	0	1	11	0	3	0	0	0	3	26
TCGA-A2-A0T4-01	7	4	11	0	0	6	11	0	0	2
TCGA-A2-A0T5-01	0	2	6	0	0	0	0	3	0	2
TCGA-A2-A0T6-01	0	3	14	0	0	0	2	6	3	0
TCGA-A2-A0T7-01	0	3	10	1	0	2	5	5	3	0
TCGA-A2-A0YC-01	2	4	9	0	0	1	14	0	2	0
TCGA-A2-A0YD-01	17	23	7	0	6	0	0	7	27	0
TCGA-A2-A0YE-01	0	7	15	4	0	1	0	0	3	13
TCGA-A2-A0YF-01	0	2	8	2	0	1	0	0	3	23
TCGA-A2-A0YG-01	0	7	12	9	1	8	9	17	9	6
TCGA-A2-A0YH-01	26	15	6	12	3	0	6	24	8	0
TCGA-A2-A0YI-01	2	0	0	0	0	2	0	6	7	1
TCGA-A2-A0YJ-01	6	1	23	3	0	10	28	12	3	12
TCGA-A2-A0YK-01	209	166	1	64	11	0	0	2	25	0
TCGA-A2-A0YL-01	11	13	1	0	0	2	0	9	7	0
TCGA-A2-A0YM-01	15	13	25	26	17	6	2	0	5	0
TCGA-A2-A0YT-01	1	14	18	4	0	5	15	0	24	0
TCGA-A2-A1FV-01	0	8	9	0	0	4	7	17	5	0
TCGA-A2-A1FW-01	4	1	15	0	13	4	0	20	19	19
TCGA-A2-A1FX-01	0	0	7	4	0	1	2	0	6	8
TCGA-A2-A1FZ-01	0	0	5	6	3	6	0	9	0	0
TCGA-A2-A1G0-01	0	3	0	0	0	0	0	11	3	6
TCGA-A2-A1G1-01	0	4	2	1	5	1	11	13	1	1
TCGA-A2-A1G6-01	1	0	2	0	0	1	4	2	0	0
TCGA-A2-A259-01	0	2	2	10	6	0	1	5	3	0
TCGA-A2-A25A-01	30	37	8	28	0	3	7	8	0	8
TCGA-A2-A25B-01	0	3	10	18	28	6	33	0	13	17
TCGA-A2-A25C-01	1	2	0	0	0	8	0	1	2	25
TCGA-A2-A25D-01	3	5	5	4	13	6	4	11	3	10
TCGA-A2-A25E-01	0	5	2	2	18	7	16	5	0	6
TCGA-A2-A25F-01	0	0	0	0	0	0	2	0	0	4
TCGA-A2-A3KD-01	0	2	4	2	0	2	0	8	0	0
TCGA-A2-A3XT-01	23	4	0	0	25	11	29	18	0	12
TCGA-A2-A3XU-01	0	2	10	0	1	6	6	6	0	0
TCGA-A2-A3XV-01	0	0	9	0	12	8	9	1	9	0
TCGA-A2-A3XW-01	0	2	3	0	0	3	3	0	6	0
TCGA-A2-A3XX-01	0	4	11	0	5	4	15	5	7	1
TCGA-A2-A3XZ-01	12	8	8	0	2	2	3	4	13	0
TCGA-A2-A3Y0-01	43	10	21	0	0	37	96	11	6	19
TCGA-A2-A4S1-01	4	5	20	0	0	10	16	0	0	43
TCGA-A2-A4S2-01	0	7	6	0	4	7	2	12	0	5
TCGA-A2-A4S3-01	5	7	13	10	23	8	11	16	1	13
TCGA-A7-A0CE-01	2	4	5	4	5	9	14	0	6	12
TCGA-A7-A0CH-01	0	0	2	4	1	2	4	0	3	1
TCGA-A7-A0D9-01	1	2	1	2	0	1	0	3	2	0
TCGA-A7-A0DA-01	12	9	12	0	0	11	90	8	10	35
TCGA-A7-A0DB-01	9	9	9	8	0	4	0	13	0	1
TCGA-A7-A13D-01	10	4	13	7	20	4	66	9	7	0
TCGA-A7-A13E-01	5	0	29	5	1	4	7	26	3	0
TCGA-A7-A13F-01	2	0	14	7	9	3	0	1	9	0
TCGA-A7-A13G-01	2	8	10	0	0	3	7	0	0	2
TCGA-A7-A26E-01	2	17	11	1	0	4	0	16	16	0
TCGA-A7-A26F-01	1	3	3	6	2	0	0	29	2	0
TCGA-A7-A26G-01	6	9	5	0	18	2	6	0	4	18
TCGA-A7-A26H-01	42	29	21	27	0	0	0	20	6	5
TCGA-A7-A26I-01	2	5	3	0	1	4	8	6	7	10
