Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
TCGA-3C-AAAU-01	2.35E-01	7.62E-01	9.33E-01	8.13E-01	1.02E+00	6.05E-01	7.76E-01	1.04E+00	5.79E-01	6.20E-01
TCGA-3C-AALI-01	1.10E+01	8.24E+00	1.79E+00	1.10E+01	9.68E+00	1.11E+00	2.55E+00	2.14E+00	6.03E+00	2.24E+00
TCGA-3C-AALJ-01	7.47E-01	3.76E-01	7.71E-01	7.36E-01	1.27E+00	1.53E-01	8.37E-01	1.47E+00	1.76E+00	1.13E+00
TCGA-3C-AALK-01	5.98E-01	7.12E-01	1.23E+00	8.56E-01	1.03E+00	7.26E-01	8.20E-01	1.20E+00	7.16E-01	7.70E-01
TCGA-4H-AAAK-01	0.00E+00	0.00E+00	1.06E+00	3.94E-01	7.71E-01	6.88E-01	3.76E-01	8.97E-01	9.83E-01	4.41E-01
TCGA-5L-AAT0-01	2.96E+00	5.69E+00	1.02E+00	6.96E+00	2.34E+00	4.49E-01	8.36E-01	1.17E+00	3.14E+00	1.01E+00
TCGA-5L-AAT1-01	2.99E+01	2.82E+01	2.15E+00	4.11E+01	2.47E+01	2.48E-01	2.65E+00	2.11E+00	1.96E+01	8.89E+00
TCGA-5T-A9QA-01	0.00E+00	3.69E-01	1.34E+00	3.87E-01	1.27E+00	8.24E-01	6.30E-01	1.05E+00	9.02E-01	3.86E-01
TCGA-A1-A0SB-01	0.00E+00	1.95E-01	5.09E-01	3.12E-01	4.09E-01	4.02E-01	3.67E-01	5.67E-01	4.02E-01	8.84E-02
TCGA-A1-A0SD-01	2.39E-01	2.97E-01	1.02E+00	6.54E-01	7.19E-01	5.53E-01	8.26E-01	1.26E+00	6.23E-01	4.79E-01
TCGA-A1-A0SE-01	1.00E-01	7.28E-01	4.33E-01	6.48E-01	7.52E-01	6.40E-01	3.57E-01	9.38E-01	6.93E-01	7.76E-01
TCGA-A1-A0SF-01	4.15E-01	1.83E+00	7.62E-01	1.67E+00	6.15E-01	1.51E-01	3.14E-01	3.51E-01	8.07E-01	4.03E-01
TCGA-A1-A0SG-01	2.02E-01	3.69E-01	7.44E-01	6.52E-01	6.50E-01	4.14E-01	4.78E-01	8.78E-01	1.07E+00	5.62E-01
TCGA-A1-A0SH-01	1.51E+00	1.56E+00	8.00E-01	2.08E+00	1.49E+00	6.49E-01	1.16E+00	1.08E+00	1.53E+00	1.56E+00
TCGA-A1-A0SI-01	4.71E+00	3.23E+00	9.11E-01	4.52E+00	4.13E+00	7.26E-01	6.76E-01	8.54E-01	1.68E+00	1.12E+00
TCGA-A1-A0SJ-01	5.48E-01	4.80E-01	7.82E-01	4.99E-01	7.42E-01	3.73E-01	5.88E-01	4.80E-01	5.00E-01	5.07E-01
TCGA-A1-A0SK-01	5.29E-01	3.44E-01	1.16E+00	1.43E+00	1.26E+00	4.65E-01	1.48E+00	1.40E+00	1.13E+00	1.34E+00
TCGA-A1-A0SM-01	0.00E+00	0.00E+00	7.62E-01	6.00E-01	7.61E-01	6.69E-01	4.28E-01	7.85E-01	8.99E-01	6.07E-01
TCGA-A1-A0SN-01	7.82E-01	6.13E-01	9.60E-01	1.09E+00	9.25E-01	2.34E-01	1.07E+00	1.19E+00	1.05E+00	8.10E-01
TCGA-A1-A0SO-01	1.38E+00	1.10E+00	1.36E+00	4.95E+00	6.34E+00	1.20E+00	4.37E+00	5.12E+00	3.02E+00	6.75E+00
TCGA-A1-A0SP-01	1.90E-01	3.79E-01	1.18E+00	9.02E-01	1.37E+00	6.99E-01	1.63E+00	1.01E+00	1.49E+00	1.33E+00
TCGA-A2-A04N-01	2.81E-01	5.09E-01	9.93E-01	7.50E-01	1.01E+00	8.28E-01	7.91E-01	9.28E-01	9.98E-01	1.11E+00
TCGA-A2-A04R-01	4.33E-01	5.88E-01	8.85E-01	1.25E+00	2.04E+00	9.22E-01	2.04E+00	1.62E+00	1.09E+00	2.23E+00
TCGA-A2-A04U-01	4.20E-01	1.89E-01	1.18E+00	1.48E+00	1.12E+00	5.16E-01	1.53E+00	1.54E+00	1.20E+00	1.22E+00
TCGA-A2-A04W-01	2.77E+00	2.15E+00	8.88E-01	3.00E+00	2.56E+00	1.06E+00	1.17E+00	1.05E+00	1.84E+00	8.45E-01
TCGA-A2-A0CK-01	0.00E+00	4.86E-01	7.48E-01	4.52E-01	3.57E-01	3.19E-01	3.61E-01	7.29E-01	3.55E-01	5.49E-01
TCGA-A2-A0CL-01	3.37E+00	1.83E+00	1.56E+00	2.55E+00	2.88E+00	6.86E-01	6.65E-01	1.10E+00	1.73E+00	6.20E-01
TCGA-A2-A0CR-01	3.03E+00	2.52E+00	5.30E-01	3.19E+00	2.26E+00	7.83E-01	6.22E-01	9.54E-01	1.36E+00	8.33E-01
TCGA-A2-A0CS-01	0.00E+00	2.24E-01	7.79E-01	1.02E+00	8.05E-01	4.84E-01	9.33E-01	1.04E+00	6.81E-01	1.05E+00
TCGA-A2-A0CV-01	3.10E-01	0.00E+00	6.13E-01	4.01E-01	3.77E-01	4.60E-01	4.05E-01	6.95E-01	6.26E-01	5.48E-01
TCGA-A2-A0CW-01	7.96E-01	9.11E-01	9.74E-01	1.28E+00	8.69E-01	3.26E-01	1.13E+00	1.43E+00	1.08E+00	1.26E+00
TCGA-A2-A0D3-01	0.00E+00	2.91E-01	9.06E-01	4.85E-01	5.79E-01	3.33E-02	3.07E-01	1.01E+00	8.21E-01	5.20E-01
TCGA-A2-A0EN-01	0.00E+00	2.82E-01	8.02E-01	5.27E-01	9.88E-01	5.17E-01	5.62E-01	1.02E+00	8.20E-01	5.57E-01
TCGA-A2-A0EP-01	3.83E-01	3.34E-01	2.42E-01	3.33E-01	5.04E-01	4.27E-01	3.33E-02	1.96E-01	3.58E-01	2.91E-01
TCGA-A2-A0ES-01	1.94E-01	0.00E+00	5.66E-01	3.61E-01	5.62E-01	2.78E-01	5.13E-01	6.64E-01	5.83E-01	4.14E-01
TCGA-A2-A0EW-01	1.79E-01	2.13E-01	4.69E-01	3.85E-01	3.98E-01	5.63E-01	4.27E-01	3.78E-01	5.03E-01	3.21E-01
TCGA-A2-A0ST-01	2.46E-01	3.74E-01	6.15E-01	5.18E-01	7.24E-01	5.40E-01	4.04E-01	8.05E-01	5.62E-01	3.40E-01
TCGA-A2-A0SU-01	3.31E-01	2.52E-01	6.82E-01	7.11E-01	7.65E-01	4.25E-01	8.12E-01	6.53E-01	3.34E-01	9.64E-01
TCGA-A2-A0SX-01	5.39E-01	7.01E-01	7.45E-01	5.22E-01	7.53E-01	6.57E-01	5.98E-01	5.22E-01	8.38E-01	9.65E-01
TCGA-A2-A0SY-01	2.07E+00	2.33E+00	9.32E-01	2.99E+00	1.79E+00	5.11E-01	5.65E-01	1.26E+00	1.86E+00	7.86E-01
TCGA-A2-A0T0-01	1.02E+00	7.90E-01	1.39E+00	3.16E+00	2.86E+00	2.06E+00	3.50E+00	1.84E+00	2.36E+00	2.96E+00
TCGA-A2-A0T1-01	0.00E+00	2.68E-01	6.53E-01	6.23E-01	6.44E-01	6.73E-01	1.43E-01	8.77E-01	7.99E-01	4.52E-01
TCGA-A2-A0T3-01	2.18E-01	1.79E-01	7.30E-01	7.56E-01	7.46E-01	6.94E-01	7.12E-01	7.20E-01	8.29E-01	1.10E+00
TCGA-A2-A0T4-01	5.49E-01	4.41E-01	7.36E-01	7.52E-01	8.16E-01	5.37E-01	7.87E-01	5.39E-01	4.74E-01	8.93E-01
TCGA-A2-A0T5-01	0.00E+00	1.35E-01	4.14E-01	3.41E-01	2.48E-01	1.18E-01	3.38E-01	3.74E-01	2.28E-01	4.47E-01
