Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
TCGA-3C-AAAU-01	0	0	17	20	0	9	0	0	0	0
TCGA-3C-AALI-01	337	239	0	104	0	0	0	0	128	0
TCGA-3C-AALJ-01	5	0	0	0	35	0	0	15	11	0
TCGA-3C-AALK-01	5	6	12	4	5	5	1	12	2	12
TCGA-4H-AAAK-01	0	0	11	0	0	8	0	0	14	0
TCGA-5L-AAT0-01	55	76	0	85	0	0	0	0	63	0
TCGA-5L-AAT1-01	646	705	0	406	0	0	0	0	229	0
TCGA-5T-A9QA-01	0	0	21	9	11	0	0	12	0	0
TCGA-A1-A0SB-01	0	0	2	2	0	4	0	8	0	0
TCGA-A1-A0SD-01	0	2	9	0	0	0	0	29	0	0
TCGA-A1-A0SE-01	0	4	3	11	0	7	0	0	11	0
TCGA-A1-A0SF-01	5	29	9	21	0	0	0	0	0	0
TCGA-A1-A0SG-01	0	0	7	8	0	0	0	9	11	0
TCGA-A1-A0SH-01	27	38	0	18	33	0	0	0	0	22
TCGA-A1-A0SI-01	105	72	0	44	40	0	0	0	17	0
TCGA-A1-A0SJ-01	5	5	18	0	0	0	0	0	0	12
TCGA-A1-A0SK-01	0	0	9	0	0	0	33	42	0	0
TCGA-A1-A0SM-01	0	0	10	0	0	8	0	0	14	0
TCGA-A1-A0SN-01	18	5	14	9	0	0	13	0	17	0
TCGA-A1-A0SO-01	16	11	0	25	0	22	78	58	0	143
TCGA-A1-A0SP-01	0	0	14	0	20	0	26	0	10	0
TCGA-A2-A04N-01	0	7	11	0	0	0	0	16	19	0
TCGA-A2-A04R-01	7	1	8	14	1	7	21	10	1	32
TCGA-A2-A04U-01	0	0	9	0	0	0	24	23	11	0
TCGA-A2-A04W-01	43	35	0	22	57	0	0	0	30	0
TCGA-A2-A0CK-01	0	4	10	4	0	0	0	9	0	0
TCGA-A2-A0CL-01	61	58	20	27	34	0	0	0	0	0
TCGA-A2-A0CR-01	84	100	0	0	0	0	0	0	26	0
TCGA-A2-A0CS-01	0	0	19	0	0	0	0	11	0	18
TCGA-A2-A0CV-01	2	0	15	0	0	0	0	0	7	0
TCGA-A2-A0CW-01	12	17	9	0	0	0	0	20	11	15
TCGA-A2-A0D3-01	0	0	25	0	0	0	0	0	7	0
TCGA-A2-A0EN-01	0	2	3	0	0	0	0	26	8	0
TCGA-A2-A0EP-01	4	1	0	3	0	4	0	4	0	0
TCGA-A2-A0ES-01	0	0	0	0	7	0	0	6	6	0
TCGA-A2-A0EW-01	1	0	5	4	0	5	5	0	0	0
TCGA-A2-A0ST-01	2	1	3	5	0	4	0	13	0	0
TCGA-A2-A0SU-01	0	2	8	0	13	0	0	0	0	12
TCGA-A2-A0SX-01	4	5	12	0	0	0	0	0	0	20
TCGA-A2-A0SY-01	63	42	10	24	0	0	0	0	38	0
TCGA-A2-A0T0-01	15	9	12	0	0	39	80	0	14	48
TCGA-A2-A0T1-01	0	0	4	0	0	6	0	16	6	0
TCGA-A2-A0T3-01	0	0	12	0	0	0	0	0	4	28
TCGA-A2-A0T4-01	7	4	11	0	0	6	13	0	0	0
TCGA-A2-A0T5-01	0	2	6	0	0	0	0	5	0	0
TCGA-A2-A0T6-01	0	4	14	0	0	0	0	7	3	0
TCGA-A2-A0T7-01	0	4	10	0	0	0	6	6	3	0
TCGA-A2-A0YC-01	0	5	10	0	0	0	17	0	0	0
TCGA-A2-A0YD-01	20	26	11	0	0	0	0	0	30	0
TCGA-A2-A0YE-01	0	8	15	0	0	0	0	0	4	16
TCGA-A2-A0YF-01	0	2	8	0	0	0	0	0	4	25
TCGA-A2-A0YG-01	0	7	12	10	0	9	13	17	10	0
TCGA-A2-A0YH-01	29	16	6	13	0	0	0	27	9	0
TCGA-A2-A0YI-01	2	0	0	0	0	0	0	8	8	0
TCGA-A2-A0YJ-01	7	0	24	0	0	11	40	16	0	0
TCGA-A2-A0YK-01	215	169	0	66	0	0	0	0	28	0
TCGA-A2-A0YL-01	11	14	0	0	0	0	0	11	7	0
TCGA-A2-A0YM-01	15	14	27	30	23	0	0	0	0	0
TCGA-A2-A0YT-01	0	16	20	0	0	0	19	0	26	0
TCGA-A2-A1FV-01	0	9	10	0	0	0	8	18	5	0
TCGA-A2-A1FW-01	4	0	15	0	15	0	0	21	20	20
TCGA-A2-A1FX-01	0	0	7	4	0	0	0	0	6	11
TCGA-A2-A1FZ-01	0	0	5	6	0	7	0	11	0	0
TCGA-A2-A1G0-01	0	3	0	0	0	0	0	11	3	6
TCGA-A2-A1G1-01	0	4	0	0	7	0	12	16	0	0
TCGA-A2-A1G6-01	2	0	2	0	0	0	4	2	0	0
TCGA-A2-A259-01	0	2	2	10	7	0	0	5	3	0
TCGA-A2-A25A-01	35	44	13	37	0	0	0	0	0	0
TCGA-A2-A25B-01	0	0	11	23	36	0	42	0	16	0
TCGA-A2-A25C-01	0	2	0	0	0	8	0	0	0	29
TCGA-A2-A25D-01	3	5	5	4	13	6	4	11	3	10
TCGA-A2-A25E-01	0	6	0	0	21	7	19	8	0	0
TCGA-A2-A25F-01	0	0	0	0	0	0	0	0	0	6
TCGA-A2-A3KD-01	0	2	4	0	0	0	0	12	0	0
TCGA-A2-A3XT-01	24	4	0	0	28	11	35	20	0	0
TCGA-A2-A3XU-01	0	2	12	0	0	8	0	9	0	0
TCGA-A2-A3XV-01	0	0	9	0	11	8	10	0	10	0
TCGA-A2-A3XW-01	0	2	4	0	0	4	0	0	7	0
TCGA-A2-A3XX-01	0	4	15	0	0	0	24	0	9	0
TCGA-A2-A3XZ-01	16	9	11	0	0	0	0	0	16	0
TCGA-A2-A3Y0-01	45	11	27	0	0	41	119	0	0	0
TCGA-A2-A4S1-01	4	5	20	0	0	10	16	0	0	43
TCGA-A2-A4S2-01	0	8	6	0	0	8	0	13	0	8
TCGA-A2-A4S3-01	5	7	13	10	23	8	11	16	1	13
TCGA-A7-A0CE-01	0	5	6	0	0	10	18	0	7	15
TCGA-A7-A0CH-01	0	0	3	5	0	0	5	0	4	0
TCGA-A7-A0D9-01	2	2	3	2	0	0	0	0	3	0
TCGA-A7-A0DA-01	12	10	16	0	0	0	97	0	11	41
TCGA-A7-A0DB-01	10	10	10	9	0	0	0	14	0	0
TCGA-A7-A13D-01	10	6	16	0	24	0	74	0	10	0
TCGA-A7-A13E-01	5	0	35	8	0	0	0	32	0	0
TCGA-A7-A13F-01	0	0	14	8	13	0	0	0	10	0
TCGA-A7-A13G-01	2	9	11	0	0	0	10	0	0	0
TCGA-A7-A26E-01	0	18	13	0	0	0	0	18	18	0
TCGA-A7-A26F-01	0	3	4	7	0	0	0	32	0	0
TCGA-A7-A26G-01	6	10	5	0	23	0	0	0	0	24
TCGA-A7-A26H-01	44	30	22	30	0	0	0	24	0	0
TCGA-A7-A26I-01	2	6	4	0	0	0	9	7	8	10
TCGA-A7-A26J-01	0	0	0	13	7	0	0	14	0	8
TCGA-A7-A2KD-01	0	8	19	0	9	0	11	0	8	0
TCGA-A7-A3RF-01	0	3	0	0	0	8	0	29	0	0
TCGA-A7-A425-01	0	0	9	0	0	0	0	24	0	0
TCGA-A7-A4SC-01	0	2	10	0	0	0	0	0	9	17
TCGA-A7-A4SD-01	0	0	28	0	0	9	0	17	8	0
TCGA-A7-A4SE-01	30	11	0	13	0	16	55	21	0	0
TCGA-A7-A56D-01	42	60	31	41	28	0	0	0	23	0
TCGA-A7-A5ZV-01	28	5	33	17	4	29	88	9	12	43
TCGA-A7-A5ZW-01	7	5	4	0	0	8	0	12	0	0
TCGA-A7-A5ZX-01	0	3	5	9	0	5	11	0	9	0
TCGA-A7-A6VV-01	7	0	12	9	13	0	0	23	0	0
TCGA-A7-A6VW-01	5	5	0	0	0	15	30	29	8	0
TCGA-A7-A6VX-01	0	28	0	21	68	0	44	16	0	0
TCGA-A7-A6VY-01	11	4	9	18	13	13	57	1	5	5
TCGA-A8-A075-01	11	14	7	20	0	0	29	19	0	0
TCGA-AC-A23C-01	17	32	10	17	33	14	0	0	0	22
TCGA-AC-A23E-01	0	0	12	0	0	0	0	0	4	8
TCGA-AC-A23H-01	2627	2265	0	507	979	0	0	0	0	0
TCGA-AC-A2B8-01	38	39	10	41	0	0	0	0	0	0
TCGA-AC-A2BK-01	0	0	26	0	19	12	45	0	8	0
TCGA-AC-A2BM-01	4	0	9	0	0	0	0	0	0	13
TCGA-AC-A2FB-01	0	4	4	5	0	4	0	0	0	0
TCGA-AC-A2FF-01	2	0	0	7	0	0	0	2	0	0
TCGA-AC-A2FG-01	0	7	0	0	12	0	0	20	0	0
TCGA-AC-A2FK-01	0	0	0	3	0	0	0	0	0	0
TCGA-AC-A2FO-01	3	4	0	14	0	0	0	6	0	0
TCGA-AC-A2QH-01	2	3	13	0	0	0	0	9	0	0
TCGA-AC-A3HN-01	2	2	6	0	0	4	5	0	3	0
TCGA-AC-A3OD-01	0	9	12	0	0	0	0	0	8	10
TCGA-AC-A3QP-01	0	0	0	0	6	6	0	10	6	7
TCGA-AC-A3QQ-01	0	0	15	11	10	0	0	0	0	0
TCGA-AC-A3W5-01	45	22	22	0	0	0	99	0	23	0
TCGA-AC-A3YI-01	0	0	5	5	0	4	0	0	4	0
TCGA-AC-A3YJ-01	0	5	15	8	0	0	0	10	0	0
TCGA-AC-A4ZE-01	0	9	13	0	0	13	20	13	6	0
TCGA-AC-A5EH-01	11	11	11	19	28	19	58	12	4	32
TCGA-AC-A5EI-01	0	10	7	8	0	0	0	18	0	0
TCGA-AC-A5XS-01	200	192	0	149	94	0	0	0	80	0
TCGA-AC-A5XU-01	0	10	49	36	0	0	0	0	0	18
TCGA-AC-A62V-01	7	0	44	0	0	0	26	0	10	19
TCGA-AC-A62X-01	0	0	48	14	0	0	0	0	0	25
TCGA-AC-A62Y-01	17	11	12	15	0	12	0	22	0	0
TCGA-AC-A6IV-01	0	0	4	5	0	0	0	11	7	0
TCGA-AC-A6IW-01	53	28	27	38	85	0	0	0	0	0
TCGA-AC-A6IX-01	4	24	11	7	25	0	0	0	0	0
TCGA-AC-A6NO-01	0	2	5	0	11	0	0	19	6	0
TCGA-AC-A7VB-01	0	0	15	0	8	0	0	12	0	0
TCGA-AC-A7VC-01	0	0	7	0	0	0	0	10	9	0
TCGA-AC-A8OP-01	14	9	46	15	9	32	39	2	29	49
TCGA-AC-A8OQ-01	0	19	22	0	0	0	21	52	23	0
TCGA-AC-A8OR-01	0	0	11	0	6	0	0	0	0	15
TCGA-AC-A8OS-01	5	14	7	0	0	12	17	24	0	0
TCGA-AN-A0XL-01	0	0	6	8	0	5	0	8	5	8
TCGA-AN-A0XN-01	12	2	8	10	21	25	43	15	10	29
TCGA-AN-A0XO-01	0	8	0	0	0	11	0	8	16	0
TCGA-AN-A0XP-01	4	5	7	0	0	9	0	0	0	9
TCGA-AN-A0XR-01	0	5	4	0	17	0	0	12	0	0
TCGA-AN-A0XS-01	0	8	5	0	13	0	0	0	6	0
TCGA-AN-A0XT-01	0	0	6	2	5	0	0	9	0	0
TCGA-AN-A0XU-01	17	6	0	0	0	0	42	44	0	28
TCGA-AN-A0XV-01	0	0	7	0	29	0	0	0	8	0
TCGA-AN-A0XW-01	184	147	0	0	92	0	0	0	0	0
TCGA-AO-A03M-01	484	338	0	173	155	0	0	0	0	0
TCGA-AO-A03N-01	35	30	17	52	0	0	0	0	0	0
TCGA-AO-A03U-01	1	0	0	4	0	0	0	0	0	0
TCGA-AO-A03V-01	0	7	0	8	45	0	0	0	12	0
TCGA-AO-A0JG-01	0	2	0	0	0	4	5	0	3	7
TCGA-AO-A124-01	8	0	17	18	0	14	62	0	11	48
TCGA-AO-A125-01	0	4	17	0	0	0	16	0	8	0
TCGA-AO-A126-01	0	4	0	0	0	0	0	19	2	0
TCGA-AO-A128-01	0	0	450	0	0	641	0	119	0	0
TCGA-AO-A129-01	21	13	6	0	0	19	26	27	0	32
TCGA-AO-A12A-01	0	7	12	0	0	0	0	0	0	0
TCGA-AO-A12B-01	0	1	9	0	0	0	7	6	0	0
TCGA-AO-A12D-01	7	19	5	8	0	0	0	9	25	0
