MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
1:Del:C:0	0.00000065	0.00111721	0.00200838	0.00000051	0.00005129	0.00000462	0.00412032	0.00170640	0.00381160	0.00145056	0.00392243
1:Del:C:1	0.01552551	0.02340442	0.00529984	0.00000001	0.93449315	0.00003013	0.00000672	0.00000482	0.00000727	0.00000417	0.00000383
1:Del:C:2	0.00002478	0.01795176	0.59989863	0.00000047	0.00897682	0.01319807	0.00042277	0.00000643	0.00000790	0.00000319	0.00000377
1:Del:C:3	0.17141763	0.15282632	0.10923741	0.00972146	0.00001575	0.00003057	0.00326247	0.00000221	0.00000694	0.00000478	0.00000624
1:Del:C:4	0.07393729	0.14126476	0.06306391	0.05364506	0.00000693	0.00475632	0.04657288	0.00000709	0.00001331	0.00001014	0.01763304
1:Del:C:5	0.01275876	0.01395360	0.00468442	0.18001397	0.00000886	0.00018125	0.03854022	0.00000660	0.00001281	0.00001450	0.00345863
1:Del:T:0	0.00000138	0.00024382	0.00000164	0.00005060	0.00006048	0.00014492	0.00089617	0.00096757	0.00161539	0.00042486	0.00064787
1:Del:T:1	0.00595122	0.00951479	0.00929889	0.00000387	0.01396351	0.86424756	0.00000785	0.00000530	0.00000642	0.00000370	0.00000395
1:Del:T:2	0.04497241	0.36482265	0.11428538	0.00001958	0.00001533	0.05388666	0.01170608	0.00000393	0.00000776	0.00000421	0.00000505
1:Del:T:3	0.44690250	0.00521700	0.03436745	0.00610673	0.00000824	0.00003088	0.00001837	0.00000336	0.00000774	0.00000332	0.00000902
1:Del:T:4	0.12615688	0.07266344	0.03484038	0.04537186	0.00001029	0.00651460	0.17655413	0.00000659	0.00000717	0.00000356	0.00000858
1:Del:T:5	0.06583916	0.04930381	0.00905217	0.43988428	0.00000248	0.00001286	0.03697475	0.00000007	0.00000227	0.00000096	0.01226402
1:Ins:C:0	0.00000030	0.00000398	0.00569078	0.00041615	0.00089667	0.00156294	0.00435211	0.00190807	0.00707298	0.00310445	0.00321810
