NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	1.573	115.022	0.885	71.157	1.098	0.627	20000.0
2	1.458	108.621	0.808	66.352	1.06	0.658	30000.0
3	1.659	117.324	0.917	72.137	1.122	0.621	30000.0
4	1.563	113.737	0.877	70.534	1.067	0.64	20000.0
5	1.466	106.061	0.826	64.713	1.016	0.67	30000.0
6	1.531	111.328	0.855	69.349	1.061	0.636	30000.0
7	1.482	107.844	0.825	66.514	1.033	0.653	30000.0
8	1.511	108.58	0.83	66.36	1.063	0.648	20000.0
9	1.514	109.311	0.837	67.045	1.05	0.642	20000.0
10	1.387	99.535	0.765	59.741	1.009	0.671	40000.0
11	1.485	107.149	0.814	65.608	1.036	0.65	20000.0
12	1.512	108.449	0.836	66.286	1.056	0.653	20000.0
13	1.474	108.306	0.823	66.147	1.043	0.651	30000.0
14	1.606	117.386	0.907	72.737	1.122	0.623	20000.0
15	1.576	114.203	0.871	70.333	1.096	0.635	40000.0
16	1.5	109.451	0.836	66.911	1.08	0.642	30000.0
17	1.464	108.324	0.811	66.812	1.066	0.647	20000.0
18	1.513	109.042	0.831	66.088	1.094	0.651	30000.0
19	1.496	108.259	0.831	66.836	1.038	0.656	20000.0
20	1.501	108.713	0.835	66.385	1.051	0.653	20000.0
21	1.53	110.222	0.854	68.394	1.037	0.646	50000.0
22	1.391	100.433	0.762	62.291	1.0	0.671	30000.0
23	1.423	105.445	0.812	65.116	1.019	0.665	20000.0
24	1.523	112.557	0.859	69.36	1.051	0.647	20000.0
25	1.567	112.895	0.877	69.142	1.087	0.644	20000.0
26	1.478	107.194	0.846	66.635	1.007	0.658	30000.0
27	1.447	103.959	0.798	64.09	1.016	0.673	40000.0
28	1.546	110.348	0.864	68.902	1.046	0.647	20000.0
29	1.461	106.95	0.832	66.315	1.046	0.66	20000.0
30	1.556	114.326	0.875	70.362	1.097	0.63	20000.0
