Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
TCGA-3C-AAAU-01	3.33E-02	4.63E-02	5.57E-02	0.00E+00	0.00E+00	3.33E-02	3.33E-02	0.00E+00	1.70E-01	2.13E-01	2.13E-01	2.02E-01	2.35E-01
TCGA-3C-AALI-01	1.49E-01	2.09E-01	1.04E-01	0.00E+00	0.00E+00	2.15E-01	2.43E-01	2.32E-01	1.54E-01	1.90E-01	1.33E-01	1.28E-01	2.20E-01
TCGA-3C-AALJ-01	4.63E-02	1.18E-01	7.35E-02	3.33E-02	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.49E-01	2.35E-01	3.34E-01	2.30E-01	1.83E-01
TCGA-3C-AALK-01	7.35E-02	1.04E-01	1.26E-01	3.33E-02	0.00E+00	0.00E+00	0.00E+00	0.00E+00	8.42E-02	1.30E-01	2.28E-01	1.78E-01	1.06E-01
TCGA-4H-AAAK-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.33E-02	0.00E+00	3.33E-02	0.00E+00	5.57E-02	5.57E-02	8.21E-02
TCGA-5L-AAT0-01	0.00E+00	3.33E-02	0.00E+00	0.00E+00	0.00E+00	3.33E-02	8.84E-02	3.33E-02	7.35E-02	1.59E-01	1.30E-01	7.35E-02	1.41E-01
TCGA-5L-AAT1-01	1.95E-01	1.70E-01	2.08E-01	1.90E-01	2.09E-01	1.45E-01	0.00E+00	6.67E-02	2.22E-01	2.55E-01	1.56E-01	2.40E-01	1.99E-01
TCGA-5T-A9QA-01	7.43E-02	9.10E-02	6.31E-02	6.31E-02	3.33E-02	0.00E+00	0.00E+00	3.33E-02	0.00E+00	0.00E+00	3.33E-02	0.00E+00	3.33E-02
TCGA-A1-A0SB-01	0.00E+00	0.00E+00	1.38E-01	6.67E-02	0.00E+00	6.67E-02	0.00E+00	0.00E+00	9.26E-02	1.57E-01	6.67E-02	1.38E-01	1.64E-01
TCGA-A1-A0SD-01	0.00E+00	0.00E+00	1.04E-01	6.67E-02	0.00E+00	0.00E+00	9.26E-02	0.00E+00	2.27E-01	1.72E-01	1.63E-01	1.38E-01	1.49E-01
TCGA-A1-A0SE-01	6.67E-02	3.33E-02	7.35E-02	0.00E+00	0.00E+00	3.33E-02	0.00E+00	0.00E+00	1.01E-01	1.61E-01	1.14E-01	1.01E-01	1.50E-01
TCGA-A1-A0SF-01	6.31E-02	0.00E+00	0.00E+00	5.57E-02	3.33E-02	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TCGA-A1-A0SG-01	3.33E-02	3.33E-02	4.63E-02	0.00E+00	3.33E-02	3.33E-02	5.57E-02	4.63E-02	4.63E-02	6.31E-02	4.63E-02	8.21E-02	5.57E-02
TCGA-A1-A0SH-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.33E-02	3.33E-02	0.00E+00	1.51E-01	1.53E-01	9.26E-02	3.33E-02	0.00E+00
TCGA-A1-A0SI-01	3.33E-02	3.33E-02	5.57E-02	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.63E-02	8.21E-02	7.85E-02	4.63E-02	7.43E-02
TCGA-A1-A0SJ-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.39E-01	0.00E+00	0.00E+00	1.39E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TCGA-A1-A0SK-01	3.33E-02	5.57E-02	1.55E-01	0.00E+00	0.00E+00	1.82E-01	0.00E+00	6.67E-02	2.10E-01	1.12E-01	8.84E-02	4.63E-02	1.28E-01
TCGA-A1-A0SM-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TCGA-A1-A0SN-01	0.00E+00	3.33E-02	0.00E+00	3.33E-02	0.00E+00	6.67E-02	0.00E+00	0.00E+00	8.84E-02	1.33E-01	1.24E-01	1.33E-01	6.31E-02
TCGA-A1-A0SO-01	1.33E-01	1.76E-01	3.33E-02	7.35E-02	2.27E-01	1.08E-01	0.00E+00	2.04E-01	8.02E-01	2.38E-01	4.74E-01	7.85E-01	8.42E-02
TCGA-A1-A0SP-01	3.33E-02	0.00E+00	3.33E-02	0.00E+00	0.00E+00	1.62E-01	0.00E+00	1.36E-01	4.63E-02	1.71E-01	1.14E-01	1.19E-01	3.33E-02
TCGA-A2-A04N-01	0.00E+00	0.00E+00	3.33E-02	1.82E-01	1.64E-01	6.67E-02	0.00E+00	7.35E-02	3.33E-02	1.72E-01	1.50E-01	1.08E-01	7.35E-02
TCGA-A2-A04R-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.68E-01	0.00E+00	0.00E+00	1.96E-01	3.33E-02	1.24E-01	2.18E-01	7.93E-02
TCGA-A2-A04U-01	9.69E-02	1.33E-01	7.93E-02	7.35E-02	6.67E-02	1.51E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TCGA-A2-A04W-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.33E-02	0.00E+00	3.33E-02	0.00E+00	0.00E+00
TCGA-A2-A0CK-01	0.00E+00	0.00E+00	1.11E-01	1.00E-01	0.00E+00	5.57E-02	6.67E-02	1.37E-01	1.08E-01	1.28E-01	1.21E-01	9.20E-02	1.85E-01
TCGA-A2-A0CR-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TCGA-A2-A0CS-01	1.11E-01	3.33E-02	1.72E-01	4.63E-02	4.63E-02	1.79E-01	6.67E-02	3.33E-02	2.40E-01	2.07E-01	3.62E-01	1.42E-01	2.58E-01
TCGA-A2-A0CV-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.33E-02	0.00E+00	3.33E-02	0.00E+00	0.00E+00
TCGA-A2-A0CW-01	3.33E-02	3.33E-02	7.35E-02	7.35E-02	0.00E+00	1.59E-01	0.00E+00	4.63E-02	1.44E-01	2.00E-01	1.42E-01	1.88E-01	1.96E-01
TCGA-A2-A0D3-01	6.67E-02	1.00E-01	1.90E-01	4.63E-02	0.00E+00	1.80E-01	0.00E+00	3.33E-02	1.24E-01	1.99E-01	2.39E-01	7.93E-02	2.05E-01
TCGA-A2-A0EN-01	4.63E-02	1.57E-01	1.48E-01	1.50E-01	0.00E+00	0.00E+00	0.00E+00	7.35E-02	4.63E-02	2.00E-01	9.98E-02	8.84E-02	1.71E-01
TCGA-A2-A0ES-01	0.00E+00	0.00E+00	5.57E-02	3.33E-02	0.00E+00	3.33E-02	0.00E+00	1.39E-01	6.67E-02	1.04E-01	0.00E+00	9.69E-02	9.51E-02
TCGA-A2-A0SU-01	6.67E-02	0.00E+00	0.00E+00	1.35E-01	0.00E+00	1.55E-01	0.00E+00	1.21E-01	2.69E-01	7.93E-02	7.43E-02	1.41E-01	2.35E-01
TCGA-A2-A0SX-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.33E-02	0.00E+00	3.33E-02	0.00E+00	5.57E-02	5.57E-02	8.21E-02
TCGA-A2-A0SY-01	3.33E-02	6.67E-02	1.49E-01	0.00E+00	0.00E+00	1.79E-01	1.00E-01	0.00E+00	1.49E-01	1.63E-01	1.70E-01	1.98E-01	1.21E-01
