MutationType	ID1	ID2	ID7	ID11	ID13	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83I	ID83J	ID83K	ID83L
1:Del:C:0	0.00015989	0.00482412	0.00046656	0.00157657	0.06554837	0.00334906	0.00000536	0.00198542	0.00000428	0.00389457	0.00199156	0.00083516	0.00409547	0.00183980	0.00457826
1:Del:C:1	0.00077352	0.00002210	0.00000000	0.00055032	0.01753646	0.04044838	0.01322994	0.00001185	0.00003906	0.02468848	0.90996070	0.00000489	0.00000559	0.00000301	0.01212248
1:Del:C:2	0.00000000	0.00000311	0.00856194	0.00035734	0.00512022	0.02654854	0.00002344	0.02270120	0.02990073	0.76319349	0.00001114	0.00000507	0.00000465	0.00000259	0.00000912
1:Del:C:3	0.00190761	0.00247208	0.04236015	0.00000000	0.00535052	0.08634462	0.30535762	0.06566853	0.06846483	0.02773288	0.00001584	0.00000320	0.00000672	0.01845502	0.00000580
1:Del:C:4	0.00070599	0.00385698	0.11489191	0.00000000	0.00434601	0.06162080	0.37060842	0.05251320	0.01478330	0.02775006	0.00000719	0.00000681	0.00000832	0.00000913	0.00000834
1:Del:C:5	0.00337011	0.01461542	0.25176314	0.00015647	0.00084306	0.00442070	0.02529374	0.02371929	0.00275898	0.00239197	0.00000938	0.00000893	0.00198775	0.01488579	0.00183014
1:Del:T:0	0.00131160	0.00790597	0.00266749	0.00094421	0.05369876	0.00000286	0.00000549	0.00022027	0.00054015	0.00000457	0.00000905	0.00087292	0.00169055	0.00020423	0.00179053
1:Del:T:1	0.00000000	0.00000000	0.00773273	0.00025851	0.49822416	0.01065511	0.00001999	0.00688185	0.00004068	0.00278127	0.02449794	0.00000564	0.00000408	0.00000422	0.00000799
1:Del:T:2	0.00093645	0.00703642	0.00025476	0.00051652	0.02377780	0.00818338	0.01900606	0.00000959	0.69007674	0.01768811	0.00000679	0.00000381	0.00000361	0.00000463	0.01247913
1:Del:T:3	0.00229585	0.02023474	0.02897274	0.00042568	0.06278095	0.56462072	0.00003091	0.00908189	0.04119868	0.02548261	0.00000562	0.00000374	0.00000497	0.00000406	0.00000657
