MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
1:Del:C:0	2.48E-03	1.86E-06	1.56E-03	1.66E-06	2.73E-03	1.17E-03	1.02E-07	1.79E-04	7.55E-04	1.91E-03	8.87E-04	1.56E-03	1.51E-03
1:Del:C:1	1.76E-02	1.32E-02	2.46E-06	3.62E-06	1.39E-02	2.63E-02	7.96E-08	3.89E-06	5.22E-07	1.27E-06	4.17E-07	1.21E-02	1.47E-06
1:Del:C:2	1.57E-02	3.26E-06	1.62E-02	2.08E-02	5.22E-02	1.98E-06	6.87E-08	1.09E-02	7.52E-07	1.56E-06	4.51E-07	1.67E-06	1.48E-06
1:Del:C:3	3.03E-02	6.92E-02	3.00E-02	2.92E-02	1.49E-02	1.84E-06	2.23E-03	2.69E-02	5.42E-07	1.07E-06	1.85E-02	1.39E-06	3.33E-02
1:Del:C:4	2.49E-02	7.29E-02	2.25E-02	8.93E-03	1.39E-02	1.63E-06	7.55E-03	3.36E-06	1.23E-06	1.24E-06	1.70E-06	1.64E-06	1.91E-06
1:Del:C:5	2.16E-03	9.03E-03	9.54E-03	2.73E-03	1.65E-03	1.64E-06	6.85E-03	2.55E-06	1.38E-06	1.98E-03	1.49E-02	1.82E-03	1.81E-06
1:Del:T:0	1.42E-06	1.92E-06	1.73E-04	3.93E-04	1.89E-06	2.12E-06	2.19E-07	1.46E-06	3.07E-04	7.39E-04	1.31E-04	8.50E-04	7.39E-04
1:Del:T:1	7.88E-03	2.50E-06	6.00E-03	4.15E-06	2.74E-03	1.70E-02	4.69E-07	4.76E-02	6.01E-07	7.54E-07	8.34E-07	1.45E-06	1.63E-06
1:Del:T:2	5.67E-03	1.35E-02	1.91E-06	5.60E-02	1.23E-02	1.20E-06	9.35E-08	2.22E-02	4.64E-07	7.61E-07	1.69E-06	1.25E-02	1.66E-06
1:Del:T:3	6.08E-02	5.46E-06	6.41E-03	2.29E-02	1.55E-02	1.52E-06	2.84E-03	3.71E-06	8.64E-07	1.00E-06	8.61E-07	1.50E-06	1.90E-06
