NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	4.383	95.022	1.877	62.366	0.978	0.709	30000.0
2	4.345	92.459	1.805	60.007	0.941	0.716	20000.0
3	4.267	86.024	1.787	57.388	0.883	0.73	30000.0
4	3.979	89.437	1.682	58.973	0.947	0.724	20000.0
5	4.042	88.558	1.705	57.923	0.954	0.719	70000.0
6	4.361	88.438	1.827	58.564	0.94	0.725	30000.0
7	4.046	93.168	1.752	61.111	0.966	0.712	40000.0
8	4.558	99.747	1.923	64.594	0.984	0.681	20000.0
9	4.29	94.12	1.839	61.652	1.008	0.69	40000.0
10	4.195	91.415	1.761	60.243	0.948	0.708	60000.0
11	3.928	85.245	1.709	56.247	0.942	0.732	30000.0
12	4.4	100.325	1.881	65.343	1.004	0.681	20000.0
13	4.098	91.51	1.761	60.086	0.977	0.709	270000.0
14	4.018	93.293	1.675	60.624	0.993	0.718	20000.0
15	4.132	89.616	1.698	58.762	0.918	0.724	30000.0
16	4.375	95.79	1.842	63.375	0.936	0.703	20000.0
17	4.336	97.224	1.845	63.104	1.009	0.7	20000.0
18	4.37	99.791	1.854	63.579	1.097	0.678	190000.0
19	4.945	112.371	2.04	70.679	1.144	0.64	20000.0
20	4.223	92.591	1.796	60.47	0.966	0.698	20000.0
21	4.128	97.899	1.711	63.326	1.085	0.684	50000.0
22	4.401	95.476	1.843	61.339	1.043	0.689	230000.0
23	4.177	96.528	1.775	62.767	0.98	0.7	20000.0
24	4.773	102.881	2.006	66.497	1.012	0.677	20000.0
25	4.669	104.885	2.016	67.604	1.099	0.651	30000.0
26	4.692	103.851	1.971	67.75	1.013	0.665	80000.0
27	4.294	98.333	1.789	64.713	1.004	0.687	20000.0
28	4.349	90.213	1.866	59.89	0.951	0.715	20000.0
29	4.402	94.334	1.876	61.782	0.917	0.714	40000.0
30	4.331	99.069	1.845	64.549	1.012	0.686	20000.0
