MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
1:Del:C:0	7.96E-07	8.58E-07	3.92E-03	1.31E-06	1.84E-03	1.35E-03	7.60E-04	4.41E-06	3.37E-04	1.43E-03	8.50E-04	2.80E-03	9.06E-04	2.21E-03
1:Del:C:1	1.46E-02	1.88E-02	3.95E-06	1.60E-02	4.13E-06	2.08E-02	1.83E-04	3.77E-04	6.01E-07	4.46E-03	5.54E-07	9.43E-07	8.50E-07	1.12E-02
1:Del:C:2	8.78E-03	1.28E-02	6.96E-02	1.99E-06	3.80E-02	1.56E-06	3.13E-08	2.37E-06	4.91E-07	5.21E-03	4.89E-07	1.33E-06	6.29E-07	1.43E-06
1:Del:C:3	6.57E-02	2.65E-02	2.60E-02	2.06E-02	1.08E-02	1.92E-06	2.62E-03	1.07E-02	6.26E-07	4.65E-03	1.21E-06	1.41E-06	1.26E-06	2.06E-06
1:Del:C:4	6.24E-02	1.78E-02	7.28E-03	4.84E-02	3.34E-06	1.01E-06	7.14E-03	2.43E-06	1.14E-06	4.57E-02	1.53E-06	2.01E-02	1.42E-06	1.99E-06
1:Del:C:5	1.11E-02	1.51E-02	1.31E-03	6.95E-03	3.49E-06	2.25E-06	1.32E-02	2.12E-06	7.30E-07	2.20E-02	1.22E-06	1.30E-02	1.85E-03	1.03E-06
1:Del:T:0	1.00E-06	9.04E-07	3.10E-04	1.45E-06	2.10E-04	3.42E-04	2.67E-07	3.93E-04	2.97E-04	2.11E-04	3.13E-04	5.09E-04	2.32E-04	1.81E-03
1:Del:T:1	1.67E-02	9.96E-03	7.92E-03	1.23E-02	2.70E-03	1.76E-06	1.49E-04	3.54E-02	7.23E-07	3.12E-03	5.76E-07	5.83E-07	1.30E-06	8.92E-03
1:Del:T:2	5.67E-03	8.60E-03	2.44E-03	7.45E-03	4.90E-02	1.52E-06	2.59E-06	1.61E-02	3.62E-07	4.16E-03	5.29E-07	1.42E-06	2.03E-06	1.17E-02
1:Del:T:3	4.17E-03	6.64E-02	8.21E-03	1.36E-02	2.25E-02	7.50E-07	2.87E-03	3.06E-06	6.64E-07	4.92E-03	5.99E-07	1.33E-02	1.27E-02	1.49E-06
