Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N
TCGA-3C-AAAU-01	0	0	0	16	10	7	0	0	0	0	0	0	0	13
TCGA-3C-AALI-01	192	226	161	22	99	0	108	0	0	0	0	0	0	0
TCGA-3C-AALJ-01	0	3	11	6	0	0	5	6	9	0	7	19	0	0
TCGA-3C-AALK-01	6	5	0	12	3	0	0	10	12	0	5	0	11	0
TCGA-4H-AAAK-01	0	0	0	5	0	0	9	0	9	0	0	0	0	10
TCGA-5L-AAT0-01	60	40	33	0	59	0	33	0	0	0	54	0	0	0
TCGA-5L-AAT1-01	539	415	366	0	335	0	179	0	0	0	152	0	0	0
TCGA-5T-A9QA-01	0	0	0	21	4	0	0	10	9	0	9	0	0	0
TCGA-A1-A0SB-01	0	0	0	0	1	3	1	9	2	0	0	0	0	0
TCGA-A1-A0SD-01	1	0	2	6	0	0	3	16	0	0	0	0	0	12
TCGA-A1-A0SE-01	3	0	0	0	5	0	5	0	8	0	6	0	0	9
TCGA-A1-A0SF-01	22	5	0	9	16	0	0	0	0	0	12	0	0	0
TCGA-A1-A0SG-01	0	1	0	5	4	0	9	6	0	0	0	0	0	10
TCGA-A1-A0SH-01	30	19	20	11	14	0	0	0	0	0	26	0	18	0
TCGA-A1-A0SI-01	62	75	69	0	40	0	19	0	0	0	13	0	0	0
TCGA-A1-A0SJ-01	4	5	0	13	3	0	0	0	8	7	0	0	0	0
TCGA-A1-A0SK-01	0	0	5	6	0	0	6	30	0	25	0	0	12	0
TCGA-A1-A0SM-01	0	0	0	7	0	0	8	0	0	0	0	0	0	17
TCGA-A1-A0SN-01	5	16	3	13	5	0	12	0	0	0	5	17	0	0
TCGA-A1-A0SO-01	9	14	0	0	17	0	9	39	30	67	0	71	97	0
TCGA-A1-A0SP-01	0	0	0	12	0	0	0	0	20	17	21	0	0	0
TCGA-A2-A04N-01	5	0	0	8	0	0	12	6	0	0	0	22	0	0
TCGA-A2-A04R-01	0	7	0	8	8	0	0	9	0	16	0	25	29	0
TCGA-A2-A04U-01	0	0	6	5	0	6	7	20	0	18	5	0	0	0
TCGA-A2-A04W-01	31	29	51	12	23	0	26	0	0	0	15	0	0	0
TCGA-A2-A0CK-01	3	0	0	11	4	0	0	9	0	0	0	0	0	0
TCGA-A2-A0CL-01	47	41	47	21	26	0	18	0	0	0	0	0	0	0
TCGA-A2-A0CR-01	69	50	34	0	25	0	10	0	0	0	22	0	0	0
TCGA-A2-A0CS-01	0	0	0	15	0	0	3	0	9	0	0	0	0	21
TCGA-A2-A0CV-01	0	2	0	9	0	0	7	0	6	0	0	0	0	0
TCGA-A2-A0CW-01	13	12	0	9	3	0	7	15	0	0	10	0	15	0
TCGA-A2-A0D3-01	2	0	0	23	0	0	3	0	0	0	4	0	0	0
TCGA-A2-A0EN-01	1	0	0	3	0	0	5	14	0	0	3	13	0	0
TCGA-A2-A0EP-01	1	3	1	0	1	5	0	3	0	0	2	0	0	0
TCGA-A2-A0ES-01	0	0	0	2	0	0	1	0	4	0	5	0	0	7
TCGA-A2-A0EW-01	0	2	0	5	2	5	1	0	0	5	0	0	0	0
TCGA-A2-A0ST-01	1	2	0	2	3	4	0	11	0	0	0	5	0	0
TCGA-A2-A0SU-01	1	0	3	6	0	0	0	0	8	0	0	17	0	0
TCGA-A2-A0SX-01	4	3	0	7	0	0	0	0	7	0	9	0	11	0
TCGA-A2-A0SY-01	34	46	24	10	20	0	21	0	0	0	22	0	0	0
TCGA-A2-A0T0-01	9	12	0	9	0	29	0	0	19	68	17	0	27	27
TCGA-A2-A0T1-01	0	0	0	2	2	6	5	12	5	0	0	0	0	0
TCGA-A2-A0T3-01	0	0	0	13	0	0	4	0	0	0	0	0	27	0
TCGA-A2-A0T4-01	3	6	0	8	0	0	0	0	5	10	0	0	0	9
TCGA-A2-A0T5-01	2	0	0	4	0	0	2	5	0	0	0	0	0	0
TCGA-A2-A0T6-01	3	0	0	14	0	0	3	8	0	0	0	0	0	0
TCGA-A2-A0T7-01	3	0	0	8	0	3	4	4	0	0	0	7	0	0
TCGA-A2-A0YC-01	4	2	0	9	0	0	0	0	0	10	0	7	0	0
TCGA-A2-A0YD-01	18	11	12	4	3	0	21	11	0	0	7	0	0	0
TCGA-A2-A0YE-01	6	0	0	15	3	0	0	0	0	0	6	0	13	0
TCGA-A2-A0YF-01	1	0	0	8	0	0	0	0	0	0	5	0	16	9
TCGA-A2-A0YG-01	5	0	0	12	6	10	6	10	0	0	9	20	0	0
TCGA-A2-A0YH-01	13	20	11	0	9	0	7	23	11	0	6	0	0	0
TCGA-A2-A0YI-01	0	1	0	0	0	0	2	3	0	0	5	0	0	7
TCGA-A2-A0YJ-01	0	7	0	19	0	0	7	14	14	37	0	0	0	0
TCGA-A2-A0YK-01	130	141	94	0	64	0	27	0	0	0	22	0	0	0
TCGA-A2-A0YL-01	12	10	0	0	0	0	0	8	0	0	13	0	0	0
TCGA-A2-A0YM-01	11	9	16	25	16	9	9	0	0	14	0	0	0	0
TCGA-A2-A0YT-01	11	0	0	18	6	0	17	0	0	21	8	0	0	0
TCGA-A2-A1FV-01	6	0	0	8	0	5	0	15	0	7	9	0	0	0
TCGA-A2-A1FW-01	0	4	0	13	0	0	8	21	13	0	21	0	15	0
TCGA-A2-A1FX-01	0	0	0	6	2	0	3	0	0	0	4	5	8	0
TCGA-A2-A1FZ-01	0	0	2	5	3	5	0	5	0	0	0	0	0	9
TCGA-A2-A1G0-01	2	0	0	0	0	0	3	6	0	0	0	12	0	0
TCGA-A2-A1G1-01	3	0	0	0	2	0	0	12	6	9	0	0	7	0
TCGA-A2-A1G6-01	0	1	0	0	0	0	0	3	3	3	0	0	0	0
TCGA-A2-A259-01	1	0	2	2	5	0	3	5	0	0	4	7	0	0
TCGA-A2-A25A-01	36	31	0	8	24	0	0	12	0	0	18	0	0	0
TCGA-A2-A25B-01	0	0	6	9	9	0	7	0	13	19	11	0	18	36
TCGA-A2-A25C-01	0	0	0	0	0	11	0	0	0	0	8	0	20	0
TCGA-A2-A25D-01	4	4	0	4	3	0	3	7	14	0	4	21	0	0
TCGA-A2-A25E-01	4	0	5	0	3	0	3	6	16	24	0	0	0	0
TCGA-A2-A25F-01	0	0	0	0	0	0	0	0	0	0	0	3	3	0
TCGA-A2-A3KD-01	1	0	0	4	1	3	0	7	0	0	2	0	0	0
TCGA-A2-A3XT-01	5	16	18	0	0	14	0	17	0	28	0	24	0	0
TCGA-A2-A3XU-01	1	0	0	11	0	6	0	4	0	0	0	9	0	0
