De novo extracted, Global NMF Signatures, L1 Error %, L2 Error %, KL Divergence, Cosine Similarity, Correlation
Signature 83-A, Signature 83-A, 0, 0, 0, 1, 1
Signature 83-B, Signature 83-B, 0, 0, 0, 1, 1
Signature 83-C, Signature 83-C, 0, 0, 0, 1, 1
Signature 83-D, Signature 83-D, 0, 0, 0, 1, 1
Signature 83-E, Signature ID2 (56.72%) & Signature ID7 (43.28%), 52.98,  23.96, 0.495, 0.97, 0.97
Signature 83-F, Signature 83-F, 0, 0, 0, 1, 1
Signature 83-G, Signature 83-G, 0, 0, 0, 1, 1
Signature 83-H, Signature ID13 (100.00%), 88.37,  24.50, 0.634, 0.97, 0.97
Signature 83-I, Signature 83-I, 0, 0, 0, 1, 1
Signature 83-J, Signature 83-J, 0, 0, 0, 1, 1
Signature 83-K, Signature 83-K, 0, 0, 0, 1, 1
Signature 83-L, Signature 83-L, 0, 0, 0, 1, 1
Signature 83-M, Signature 83-M, 0, 0, 0, 1, 1
Signature 83-N, Signature ID1 (100.00%), 88.57,  22.83, 3.064, 0.97, 0.98
Signature 83-O, Signature 83-O, 0, 0, 0, 1, 1
