Samples	ID83A	ID83B
TCGA-3C-AAAU-01	0.00E+00	0.00E+00
TCGA-3C-AALI-01	3.08E-01	3.08E-01
TCGA-3C-AALJ-01	0.00E+00	0.00E+00
TCGA-3C-AALK-01	0.00E+00	0.00E+00
TCGA-4H-AAAK-01	0.00E+00	0.00E+00
TCGA-5L-AAT0-01	0.00E+00	0.00E+00
TCGA-5L-AAT1-01	2.09E-01	2.09E-01
TCGA-5T-A9QA-01	0.00E+00	0.00E+00
TCGA-A1-A0SB-01	0.00E+00	0.00E+00
TCGA-A1-A0SD-01	0.00E+00	0.00E+00
TCGA-A1-A0SE-01	0.00E+00	0.00E+00
TCGA-A1-A0SF-01	0.00E+00	0.00E+00
TCGA-A1-A0SG-01	0.00E+00	0.00E+00
TCGA-A1-A0SH-01	0.00E+00	0.00E+00
TCGA-A1-A0SI-01	0.00E+00	0.00E+00
TCGA-A1-A0SJ-01	1.40E-01	1.40E-01
TCGA-A1-A0SK-01	1.90E-01	1.90E-01
TCGA-A1-A0SM-01	0.00E+00	0.00E+00
TCGA-A1-A0SN-01	0.00E+00	0.00E+00
TCGA-A1-A0SO-01	2.56E-01	2.56E-01
TCGA-A1-A0SP-01	1.92E-01	1.92E-01
TCGA-A2-A04N-01	1.71E-01	1.71E-01
TCGA-A2-A04R-01	1.50E-01	1.33E-01
TCGA-A2-A04U-01	0.00E+00	0.00E+00
TCGA-A2-A04W-01	0.00E+00	0.00E+00
TCGA-A2-A0CK-01	1.36E-01	1.36E-01
TCGA-A2-A0CR-01	0.00E+00	0.00E+00
TCGA-A2-A0CS-01	2.60E-01	2.60E-01
TCGA-A2-A0CV-01	0.00E+00	0.00E+00
TCGA-A2-A0CW-01	1.31E-01	1.31E-01
TCGA-A2-A0D3-01	9.51E-02	9.51E-02
TCGA-A2-A0EN-01	2.02E-01	2.02E-01
TCGA-A2-A0ES-01	1.36E-01	1.36E-01
TCGA-A2-A0SU-01	2.46E-01	2.46E-01
TCGA-A2-A0SX-01	0.00E+00	0.00E+00
TCGA-A2-A0SY-01	1.41E-01	1.41E-01
TCGA-A2-A0T0-01	0.00E+00	0.00E+00
TCGA-A2-A0T1-01	1.17E-01	1.17E-01
TCGA-A2-A0T3-01	0.00E+00	0.00E+00
TCGA-A2-A0T4-01	1.62E-01	1.62E-01
TCGA-A2-A0T5-01	1.11E-01	1.11E-01
TCGA-A2-A0T6-01	0.00E+00	0.00E+00
