MutationType	ID83A	ID83B
1:Del:C:0	3.51E-10	1.53E-04
1:Del:C:1	1.34E-03	3.57E-03
1:Del:C:2	7.55E-04	3.60E-07
1:Del:C:3	6.62E-04	1.89E-07
1:Del:C:4	7.14E-04	3.04E-06
1:Del:C:5	8.79E-04	2.37E-03
1:Del:T:0	3.34E-08	9.40E-05
1:Del:T:1	5.01E-04	5.00E-06
1:Del:T:2	7.69E-04	3.53E-07
1:Del:T:3	8.18E-04	1.58E-07
1:Del:T:4	5.68E-04	9.22E-07
1:Del:T:5	1.60E-03	5.08E-03
1:Ins:C:0	4.29E-10	1.52E-04
1:Ins:C:1	1.45E-10	3.60E-04
1:Ins:C:2	2.19E-10	2.93E-04
1:Ins:C:3	2.75E-10	3.40E-04
1:Ins:C:4	2.39E-10	3.11E-04
1:Ins:C:5	6.34E-10	4.99E-04
1:Ins:T:0	2.12E-10	2.62E-04
1:Ins:T:1	1.92E-10	7.36E-04
1:Ins:T:2	3.92E-10	4.18E-04
1:Ins:T:3	2.96E-10	3.54E-04
1:Ins:T:4	5.40E-10	2.24E-04
1:Ins:T:5	5.46E-10	1.11E-03
2:Del:R:0	2.75E-10	9.21E-04
2:Del:R:1	2.93E-10	2.03E-04
2:Del:R:2	8.24E-08	6.89E-05
2:Del:R:3	6.81E-08	6.02E-05
2:Del:R:4	4.25E-08	9.94E-05
2:Del:R:5	1.06E-08	1.52E-07
3:Del:R:0	2.02E-05	8.95E-04
3:Del:R:1	1.01E-09	2.24E-04
3:Del:R:2	3.89E-08	8.83E-05
3:Del:R:3	1.06E-08	1.52E-07
3:Del:R:4	1.06E-08	1.52E-07
3:Del:R:5	1.06E-08	1.52E-07
4:Del:R:0	1.74E-10	5.94E-04
4:Del:R:1	8.04E-06	9.20E-05
4:Del:R:2	1.06E-08	1.52E-07
4:Del:R:3	1.06E-08	1.52E-07
4:Del:R:4	1.06E-08	1.52E-07
4:Del:R:5	1.06E-08	1.52E-07
5:Del:R:0	2.47E-10	1.59E-03
5:Del:R:1	1.06E-08	1.52E-07
5:Del:R:2	1.06E-08	1.52E-07
5:Del:R:3	1.06E-08	1.52E-07
5:Del:R:4	1.06E-08	1.52E-07
5:Del:R:5	1.06E-08	1.52E-07
2:Ins:R:0	3.89E-10	2.65E-04
2:Ins:R:1	1.91E-10	2.93E-04
2:Ins:R:2	2.43E-10	2.20E-04
2:Ins:R:3	7.37E-08	7.20E-05
2:Ins:R:4	6.43E-08	1.18E-04
2:Ins:R:5	3.60E-08	1.05E-04
3:Ins:R:0	3.55E-10	1.78E-04
3:Ins:R:1	5.08E-10	2.26E-04
3:Ins:R:2	4.06E-06	1.56E-04
3:Ins:R:3	1.06E-08	1.52E-07
3:Ins:R:4	8.34E-08	1.08E-04
3:Ins:R:5	1.03E-05	1.10E-04
4:Ins:R:0	6.89E-10	1.91E-04
4:Ins:R:1	3.33E-10	1.91E-04
4:Ins:R:2	3.62E-09	6.94E-05
4:Ins:R:3	1.06E-08	1.52E-07
4:Ins:R:4	1.06E-08	1.52E-07
4:Ins:R:5	8.27E-08	6.60E-05
5:Ins:R:0	2.61E-10	1.98E-04
5:Ins:R:1	1.40E-10	2.92E-04
5:Ins:R:2	1.06E-08	1.52E-07
5:Ins:R:3	1.06E-08	1.52E-07
5:Ins:R:4	7.99E-08	4.98E-05
5:Ins:R:5	8.25E-08	6.30E-05
2:Del:M:1	2.01E-10	6.40E-04
3:Del:M:1	3.41E-10	7.03E-04
3:Del:M:2	3.07E-10	3.87E-04
4:Del:M:1	1.76E-10	3.77E-04
4:Del:M:2	1.34E-10	2.23E-04
4:Del:M:3	7.56E-10	1.45E-04
5:Del:M:1	2.77E-10	1.15E-03
5:Del:M:2	2.44E-10	5.29E-04
5:Del:M:3	1.65E-10	2.61E-04
5:Del:M:4	2.92E-10	1.64E-04
5:Del:M:5	3.38E-05	1.38E-04
