Samples	SBS96A	SBS96B
TCGA-3C-AAAU-01	40	6
TCGA-3C-AALI-01	108	700
TCGA-3C-AALJ-01	52	14
TCGA-3C-AALK-01	51	13
TCGA-4H-AAAK-01	32	1
TCGA-5L-AAT0-01	65	214
TCGA-5L-AAT1-01	108	1878
TCGA-5T-A9QA-01	51	2
TCGA-A1-A0SB-01	16	0
TCGA-A1-A0SD-01	37	3
TCGA-A1-A0SE-01	26	10
TCGA-A1-A0SF-01	20	44
TCGA-A1-A0SG-01	31	4
TCGA-A1-A0SH-01	41	97
TCGA-A1-A0SI-01	18	260
TCGA-A1-A0SJ-01	32	8
TCGA-A1-A0SK-01	78	6
TCGA-A1-A0SM-01	30	2
TCGA-A1-A0SN-01	48	28
TCGA-A1-A0SO-01	289	64
TCGA-A1-A0SP-01	65	5
TCGA-A2-A04N-01	43	10
TCGA-A2-A04R-01	84	18
TCGA-A2-A04U-01	61	6
TCGA-A2-A04W-01	59	128
TCGA-A2-A0CK-01	24	3
TCGA-A2-A0CL-01	52	148
TCGA-A2-A0CR-01	6	204
TCGA-A2-A0CS-01	47	1
TCGA-A2-A0CV-01	22	2
TCGA-A2-A0CW-01	50	34
TCGA-A2-A0D3-01	31	1
TCGA-A2-A0EN-01	37	2
TCGA-A2-A0EP-01	8	8
TCGA-A2-A0ES-01	18	1
TCGA-A2-A0EW-01	18	2
TCGA-A2-A0ST-01	23	5
TCGA-A2-A0SU-01	32	3
TCGA-A2-A0SX-01	31	10
TCGA-A2-A0SY-01	44	133
TCGA-A2-A0T0-01	172	45
TCGA-A2-A0T1-01	31	1
TCGA-A2-A0T3-01	41	3
TCGA-A2-A0T4-01	31	10
TCGA-A2-A0T5-01	12	1
TCGA-A2-A0T6-01	26	2
TCGA-A2-A0T7-01	26	3
TCGA-A2-A0YC-01	25	7
TCGA-A2-A0YD-01	38	49
TCGA-A2-A0YE-01	34	9
TCGA-A2-A0YF-01	35	4
TCGA-A2-A0YG-01	65	13
TCGA-A2-A0YH-01	47	53
TCGA-A2-A0YI-01	15	3
TCGA-A2-A0YJ-01	91	7
TCGA-A2-A0YK-01	0	478
TCGA-A2-A0YL-01	14	29
TCGA-A2-A0YM-01	71	38
TCGA-A2-A0YT-01	59	22
TCGA-A2-A1FV-01	40	10
TCGA-A2-A1FW-01	85	10
TCGA-A2-A1FX-01	26	2
TCGA-A2-A1FZ-01	27	2
TCGA-A2-A1G0-01	18	5
TCGA-A2-A1G1-01	33	6
TCGA-A2-A1G6-01	9	1
TCGA-A2-A259-01	22	7
TCGA-A2-A25A-01	36	93
TCGA-A2-A25B-01	107	21
TCGA-A2-A25C-01	32	7
TCGA-A2-A25D-01	50	14
TCGA-A2-A25E-01	48	13
TCGA-A2-A25F-01	6	0
TCGA-A2-A3KD-01	16	2
TCGA-A2-A3XT-01	75	47
TCGA-A2-A3XU-01	30	1
TCGA-A2-A3XV-01	47	1
TCGA-A2-A3XW-01	14	3
TCGA-A2-A3XX-01	46	6
TCGA-A2-A3XZ-01	29	23
TCGA-A2-A3Y0-01	168	75
TCGA-A2-A4S1-01	87	11
TCGA-A2-A4S2-01	35	8
TCGA-A2-A4S3-01	85	22
TCGA-A7-A0CE-01	48	13
TCGA-A7-A0CH-01	15	2
TCGA-A7-A0D9-01	7	5
TCGA-A7-A0DA-01	148	39
TCGA-A7-A0DB-01	32	21
TCGA-A7-A13D-01	110	30
TCGA-A7-A13E-01	76	4
TCGA-A7-A13F-01	40	5
TCGA-A7-A13G-01	22	10
TCGA-A7-A26E-01	45	22
TCGA-A7-A26F-01	40	6
TCGA-A7-A26G-01	43	25
TCGA-A7-A26H-01	66	84
TCGA-A7-A26I-01	34	12
TCGA-A7-A26J-01	35	7
TCGA-A7-A2KD-01	45	10
TCGA-A7-A3RF-01	37	3
TCGA-A7-A425-01	33	0
TCGA-A7-A4SC-01	34	4
TCGA-A7-A4SD-01	60	2
TCGA-A7-A4SE-01	77	69
TCGA-A7-A56D-01	101	124
TCGA-A7-A5ZV-01	213	55
TCGA-A7-A5ZW-01	23	13
TCGA-A7-A5ZX-01	33	9
TCGA-A7-A6VV-01	54	10
TCGA-A7-A6VW-01	77	15
TCGA-A7-A6VX-01	106	71
TCGA-A7-A6VY-01	100	36
TCGA-A8-A075-01	60	40
TCGA-AC-A23C-01	70	75
TCGA-AC-A23E-01	24	0
TCGA-AC-A23H-01	0	6378
TCGA-AC-A2B8-01	27	101
TCGA-AC-A2BK-01	105	5
TCGA-AC-A2BM-01	23	3
TCGA-AC-A2FB-01	12	5
TCGA-AC-A2FF-01	4	7
TCGA-AC-A2FG-01	28	11
TCGA-AC-A2FK-01	1	2
TCGA-AC-A2FO-01	11	16
TCGA-AC-A2QH-01	24	3
TCGA-AC-A3HN-01	19	3
TCGA-AC-A3OD-01	30	9
TCGA-AC-A3QP-01	32	3
TCGA-AC-A3QQ-01	34	2
TCGA-AC-A3W5-01	119	92
TCGA-AC-A3YI-01	17	1
TCGA-AC-A3YJ-01	32	6
TCGA-AC-A4ZE-01	62	12
TCGA-AC-A5EH-01	156	49
TCGA-AC-A5EI-01	30	13
TCGA-AC-A5XS-01	48	667
TCGA-AC-A5XU-01	94	19
TCGA-AC-A62V-01	97	9
TCGA-AC-A62X-01	84	3
TCGA-AC-A62Y-01	55	34
TCGA-AC-A6IV-01	25	2
TCGA-AC-A6IW-01	119	112
TCGA-AC-A6IX-01	37	34
TCGA-AC-A6NO-01	39	4
TCGA-AC-A7VB-01	35	0
TCGA-AC-A7VC-01	25	1
TCGA-AC-A8OP-01	206	38
TCGA-AC-A8OQ-01	110	27
TCGA-AC-A8OR-01	31	1
TCGA-AC-A8OS-01	54	25
TCGA-AN-A0XL-01	37	3
TCGA-AN-A0XN-01	144	31
TCGA-AN-A0XO-01	28	15
TCGA-AN-A0XP-01	25	9
TCGA-AN-A0XR-01	30	8
TCGA-AN-A0XS-01	23	9
TCGA-AN-A0XT-01	21	1
TCGA-AN-A0XU-01	105	32
TCGA-AN-A0XV-01	38	6
TCGA-AN-A0XW-01	0	423
TCGA-AO-A03M-01	0	1150
TCGA-AO-A03N-01	46	88
TCGA-AO-A03U-01	1	4
TCGA-AO-A03V-01	46	26
TCGA-AO-A0JG-01	16	5
TCGA-AO-A124-01	154	24
TCGA-AO-A125-01	39	6
TCGA-AO-A126-01	20	5
TCGA-AO-A128-01	1206	4
TCGA-AO-A129-01	94	50
TCGA-AO-A12A-01	15	4
TCGA-AO-A12B-01	22	1
TCGA-AO-A12D-01	35	38
TCGA-AO-A12E-01	30	3
TCGA-AO-A12F-01	40	0
TCGA-AO-A12G-01	34	8
TCGA-AO-A12H-01	29	1
TCGA-AO-A1KO-01	9	1
TCGA-AO-A1KR-01	69	20
TCGA-AO-A1KT-01	46	5
TCGA-AQ-A04H-01	76	5
TCGA-AQ-A0Y5-01	51	19
TCGA-AQ-A1H2-01	31	3
TCGA-AQ-A1H3-01	27	0
TCGA-AQ-A54O-01	21	4
TCGA-AQ-A7U7-01	30	66
TCGA-AR-A0TP-01	56	15
TCGA-AR-A0TQ-01	32	17
TCGA-AR-A0TR-01	38	4
TCGA-AR-A0TS-01	71	19
TCGA-AR-A0TT-01	57	18
TCGA-AR-A0TU-01	72	18
TCGA-AR-A0TV-01	70	9
TCGA-AR-A0TW-01	61	6
TCGA-AR-A0TX-01	12	395
TCGA-AR-A0TZ-01	40	27
TCGA-AR-A0U0-01	36	14
TCGA-AR-A0U1-01	81	28
TCGA-AR-A0U2-01	56	0
TCGA-AR-A0U3-01	38	2
TCGA-AR-A0U4-01	106	95
TCGA-AR-A1AH-01	104	16
TCGA-AR-A1AI-01	66	23
TCGA-AR-A1AJ-01	29	24
TCGA-AR-A1AK-01	43	39
TCGA-AR-A1AL-01	22	8
TCGA-AR-A1AN-01	27	4
TCGA-AR-A1AO-01	79	43
TCGA-AR-A1AP-01	41	10
TCGA-AR-A1AQ-01	37	4
TCGA-AR-A1AR-01	52	11
TCGA-AR-A1AS-01	24	17
TCGA-AR-A1AT-01	29	3
TCGA-AR-A1AU-01	24	2
TCGA-AR-A1AV-01	44	5
TCGA-AR-A1AW-01	38	3
TCGA-AR-A1AX-01	27	5
TCGA-AR-A1AY-01	56	16
TCGA-AR-A24H-01	107	45
TCGA-AR-A24K-01	34	0
TCGA-AR-A24L-01	41	12
TCGA-AR-A24M-01	24	1
TCGA-AR-A24N-01	41	6
TCGA-AR-A24O-01	21	1
TCGA-AR-A24P-01	18	1
TCGA-AR-A24Q-01	153	79
TCGA-AR-A24R-01	25	1
TCGA-AR-A24S-01	45	12
TCGA-AR-A24T-01	21	3
TCGA-AR-A24U-01	24	20
TCGA-AR-A24V-01	23	5
TCGA-AR-A24W-01	12	2
TCGA-AR-A24X-01	33	1
TCGA-AR-A24Z-01	48	8
TCGA-AR-A250-01	92	63
TCGA-AR-A251-01	141	64
TCGA-AR-A252-01	19	0
TCGA-AR-A254-01	35	7
TCGA-AR-A255-01	50	39
TCGA-AR-A256-01	161	63
TCGA-AR-A2LE-01	37	357
TCGA-AR-A2LH-01	23	48
TCGA-AR-A2LK-01	43	5
TCGA-AR-A2LL-01	36	1
TCGA-AR-A2LM-01	15	2
TCGA-AR-A2LN-01	28	26
TCGA-AR-A2LO-01	13	4
TCGA-AR-A2LQ-01	13	0
TCGA-AR-A2LR-01	65	5
TCGA-AR-A5QM-01	36	0
TCGA-AR-A5QN-01	44	5
TCGA-AR-A5QP-01	30	4
TCGA-AR-A5QQ-01	77	19
TCGA-B6-A0I1-01	71	9
TCGA-B6-A0IH-01	38	3
TCGA-B6-A0RH-01	27	18
TCGA-B6-A0RL-01	52	17
TCGA-B6-A0RM-01	30	6
TCGA-B6-A0RN-01	31	2
TCGA-B6-A0RO-01	35	8
TCGA-B6-A0RP-01	29	1
TCGA-B6-A0RQ-01	34	22
TCGA-B6-A0RT-01	44	28
TCGA-B6-A0RU-01	47	11
TCGA-B6-A0RV-01	14	53
TCGA-B6-A0WS-01	13	5
TCGA-B6-A0WT-01	20	2
TCGA-B6-A0WV-01	30	7
TCGA-B6-A0WW-01	33	14
TCGA-B6-A0WX-01	43	2
TCGA-B6-A0WY-01	26	9
TCGA-B6-A0WZ-01	13	82
TCGA-B6-A0X0-01	21	4
TCGA-B6-A0X1-01	61	31
TCGA-B6-A0X4-01	19	3
TCGA-B6-A0X5-01	35	13
TCGA-B6-A0X7-01	18	5
TCGA-B6-A1KN-01	64	8
TCGA-B6-A2IU-01	37	17
TCGA-B6-A401-01	27	1
TCGA-B6-A409-01	48	8
TCGA-B6-A40B-01	44	22
TCGA-B6-A40C-01	49	5
