MutationType	ID1	ID2	ID3	ID7	ID8	ID15
1:Del:C:0	0.00015989	0.00482412	0.12472711	0.00046656	0.03982756	0.02652737
1:Del:C:1	0.00077352	0.00002210	0.20887617	0.00000000	0.02391594	0.12100979
1:Del:C:2	0.00000000	0.00000311	0.17632422	0.00856194	0.00333055	0.14782886
1:Del:C:3	0.00190761	0.00247208	0.06404276	0.04236015	0.00540315	0.13600606
1:Del:C:4	0.00070599	0.00385698	0.04398981	0.11489191	0.00127571	0.08419770
1:Del:C:5	0.00337011	0.01461542	0.02241749	0.25176314	0.00093373	0.01845829
1:Del:T:0	0.00131160	0.00790597	0.03759923	0.00266749	0.03424369	0.02395164
1:Del:T:1	0.00000000	0.00000000	0.01330982	0.00773273	0.01045208	0.07996011
1:Del:T:2	0.00093645	0.00703642	0.01650185	0.00025476	0.00899203	0.12041047
1:Del:T:3	0.00229585	0.02023474	0.02014148	0.02897274	0.00982504	0.11343122
1:Del:T:4	0.00429142	0.04711993	0.01581436	0.15885055	0.00127378	0.07917883
1:Del:T:5	0.00000000	0.81469723	0.00806631	0.00000019	0.01062034	0.04690321
1:Ins:C:0	0.00000000	0.00000000	0.00208309	0.00067237	0.00276427	0.00000000
1:Ins:C:1	0.00000000	0.00022703	0.00157889	0.00002620	0.00216912	0.00000000
1:Ins:C:2	0.00000000	0.00002620	0.00174795	0.00002580	0.00152700	0.00000000
1:Ins:C:3	0.00084599	0.00043005	0.00617765	0.00240773	0.00011652	0.00000000
1:Ins:C:4	0.00178553	0.00291185	0.00710445	0.01548543	0.00055418	0.00000000
1:Ins:C:5	0.02429654	0.00901754	0.00735110	0.06034323	0.00048949	0.00000000
1:Ins:T:0	0.00228382	0.00132856	0.01872237	0.00000136	0.00450798	0.00000000
1:Ins:T:1	0.00004030	0.00000000	0.04311903	0.00037365	0.00486870	0.00000000
1:Ins:T:2	0.00019286	0.00064703	0.04015704	0.01838271	0.00142964	0.00000000
1:Ins:T:3	0.00424327	0.00108288	0.02512543	0.00889164	0.00108729	0.00000000
1:Ins:T:4	0.01664913	0.00348746	0.00656331	0.01278797	0.00082262	0.00000000
1:Ins:T:5	0.89090647	0.00313258	0.02618124	0.01078985	0.02016125	0.00000000
2:Del:R:0	0.00068605	0.00016381	0.00689755	0.00002330	0.00876922	0.00000000
2:Del:R:1	0.00121997	0.00356888	0.00847465	0.00818230	0.01030715	0.00000000
2:Del:R:2	0.00047275	0.00184957	0.01180064	0.00899154	0.00053203	0.00000000
2:Del:R:3	0.00042672	0.00073904	0.00667112	0.07213214	0.00002710	0.00000000
2:Del:R:4	0.00005460	0.00088193	0.00282253	0.05225084	0.00027403	0.00000000
2:Del:R:5	0.00000000	0.00000000	0.00010124	0.05704633	0.00083308	0.00000000
3:Del:R:0	0.00012804	0.00001250	0.00058912	0.00062541	0.01096410	0.00000000
3:Del:R:1	0.00501109	0.00500326	0.00037239	0.01168900	0.00134887	0.00000000
3:Del:R:2	0.00076938	0.00228989	0.00009630	0.00547485	0.00037657	0.00009350
3:Del:R:3	0.00037126	0.00040259	0.00002450	0.00345675	0.00025351	0.00000000
3:Del:R:4	0.00000000	0.00000000	0.00000382	0.00049254	0.00000268	0.00000000
3:Del:R:5	0.00000000	0.00000000	0.00000038	0.00043659	0.00009100	0.00000000
4:Del:R:0	0.00009970	0.00001210	0.00017765	0.00013088	0.00669131	0.00000000
4:Del:R:1	0.00090050	0.00211579	0.00063457	0.00339680	0.00162295	0.00000000
4:Del:R:2	0.00000323	0.00054329	0.00011680	0.00277739	0.00027262	0.00000000
4:Del:R:3	0.00000000	0.00000727	0.00000000	0.00043959	0.00002880	0.00000139
4:Del:R:4	0.00000000	0.00000000	0.00000000	0.00020181	0.00009730	0.00000000
4:Del:R:5	0.00002890	0.00021041	0.00000283	0.00025076	0.00000634	0.00000176
5:Del:R:0	0.00000835	0.00003850	0.00177678	0.00008550	0.23797886	0.00028402
5:Del:R:1	0.00019068	0.00297751	0.00007410	0.00347673	0.00057226	0.00000000
5:Del:R:2	0.00012636	0.00039753	0.00000278	0.00116890	0.00051684	0.00000000
5:Del:R:3	0.00001890	0.00015815	0.00000000	0.00040662	0.00000816	0.00000125
5:Del:R:4	0.00000311	0.00008470	0.00004370	0.00012588	0.00011290	0.00000000
5:Del:R:5	0.00003130	0.00002120	0.00000382	0.00002080	0.00004430	0.00000174
2:Ins:R:0	0.00040204	0.00033185	0.00263595	0.00003040	0.00191671	0.00000000
2:Ins:R:1	0.00000788	0.00027166	0.00224268	0.00039763	0.00166182	0.00000000
2:Ins:R:2	0.00022135	0.00103534	0.00095560	0.00007010	0.00030459	0.00000000
2:Ins:R:3	0.00051427	0.00038133	0.00089724	0.00314704	0.00017758	0.00000000
2:Ins:R:4	0.00291310	0.00197742	0.00025309	0.00182828	0.00001660	0.00000000
