MutationType	ID83A	ID83B	ID83C
1:Del:C:0	0.00000006	0.00311980	0.00082979
1:Del:C:1	0.11630372	0.05233543	0.09214044
1:Del:C:2	0.14326694	0.00001811	0.00007114
1:Del:C:3	0.13119798	0.00000364	0.00522154
1:Del:C:4	0.08071722	0.00000473	0.04224428
1:Del:C:5	0.01555573	0.00208428	0.08515791
1:Del:T:0	0.00000015	0.00082036	0.00020869
1:Del:T:1	0.10011107	0.00153219	0.02772705
1:Del:T:2	0.13064248	0.00001308	0.00000759
1:Del:T:3	0.12755012	0.00000238	0.01094173
1:Del:T:4	0.09716624	0.00000360	0.03853210
1:Del:T:5	0.05724383	0.00221591	0.20442507
1:Ins:C:0	0.00000003	0.00302851	0.00197826
1:Ins:C:1	0.00000002	0.01104934	0.01182760
1:Ins:C:2	0.00000002	0.00851943	0.00612009
1:Ins:C:3	0.00000002	0.00742480	0.00484661
1:Ins:C:4	0.00000002	0.01219510	0.00685633
1:Ins:C:5	0.00000001	0.00878285	0.03760453
1:Ins:T:0	0.00000003	0.01338997	0.00311896
1:Ins:T:1	0.00000002	0.05470537	0.02503907
1:Ins:T:2	0.00000002	0.01061480	0.01613531
1:Ins:T:3	0.00000002	0.00958049	0.00972475
1:Ins:T:4	0.00000002	0.00297319	0.00358794
1:Ins:T:5	0.00000000	0.02802053	0.10355234
2:Del:R:0	0.00000001	0.09648310	0.05585132
2:Del:R:1	0.00000003	0.00623239	0.00246247
2:Del:R:2	0.00000043	0.00033001	0.00028258
2:Del:R:3	0.00000032	0.00023629	0.00046161
2:Del:R:4	0.00000014	0.00108367	0.00018023
2:Del:R:5	0.00000083	0.00002624	0.00001288
3:Del:R:0	0.00014565	0.03568614	0.04235589
3:Del:R:1	0.00000002	0.00121458	0.00530481
3:Del:R:2	0.00000545	0.00069173	0.00068809
3:Del:R:3	0.00000083	0.00002624	0.00001288
3:Del:R:4	0.00000083	0.00002624	0.00001288
3:Del:R:5	0.00000083	0.00002624	0.00001288
4:Del:R:0	0.00000002	0.03371521	0.00924588
4:Del:R:1	0.00000009	0.00073356	0.00046444
4:Del:R:2	0.00000083	0.00002624	0.00001288
4:Del:R:3	0.00000083	0.00002624	0.00001288
4:Del:R:4	0.00000083	0.00002624	0.00001288
4:Del:R:5	0.00000083	0.00002624	0.00001288
5:Del:R:0	0.00000001	0.24282737	0.01125966
5:Del:R:1	0.00000083	0.00002624	0.00001288
5:Del:R:2	0.00000083	0.00002624	0.00001288
5:Del:R:3	0.00000083	0.00002624	0.00001288
5:Del:R:4	0.00000083	0.00002624	0.00001288
5:Del:R:5	0.00000083	0.00002624	0.00001288
2:Ins:R:0	0.00000002	0.00886447	0.00244600
2:Ins:R:1	0.00000002	0.01203052	0.00631916
2:Ins:R:2	0.00000003	0.00837129	0.00426275
2:Ins:R:3	0.00000045	0.00005315	0.00056103
2:Ins:R:4	0.00000859	0.00068830	0.00121560
2:Ins:R:5	0.00000010	0.00093336	0.00152683
3:Ins:R:0	0.00000003	0.00438976	0.00255438
3:Ins:R:1	0.00000003	0.00293738	0.00242893
3:Ins:R:2	0.00000002	0.00225318	0.00201320
3:Ins:R:3	0.00000083	0.00002624	0.00001288
3:Ins:R:4	0.00000022	0.00035508	0.00105003
3:Ins:R:5	0.00000011	0.00068111	0.00111249
4:Ins:R:0	0.00000003	0.00260038	0.00096280
4:Ins:R:1	0.00000003	0.00462613	0.00362435
4:Ins:R:2	0.00000009	0.00087958	0.00042515
4:Ins:R:3	0.00000083	0.00002624	0.00001288
4:Ins:R:4	0.00000083	0.00002624	0.00001288
4:Ins:R:5	0.00000027	0.00024857	0.00057955
5:Ins:R:0	0.00000003	0.00591319	0.00288047
5:Ins:R:1	0.00000003	0.01225140	0.00493525
5:Ins:R:2	0.00000083	0.00002624	0.00001288
5:Ins:R:3	0.00000083	0.00002624	0.00001288
5:Ins:R:4	0.00000047	0.00023091	0.00030641
5:Ins:R:5	0.00000033	0.00022971	0.00039587
2:Del:M:1	0.00000002	0.03002316	0.02045826
3:Del:M:1	0.00000001	0.02416324	0.03878845
3:Del:M:2	0.00000002	0.01073309	0.01130817
4:Del:M:1	0.00000002	0.02041706	0.00867208
4:Del:M:2	0.00000003	0.00712246	0.00196578
4:Del:M:3	0.00003853	0.00156632	0.00147839
5:Del:M:1	0.00000001	0.12845443	0.00580088
5:Del:M:2	0.00000002	0.04128582	0.00181338
5:Del:M:3	0.00000003	0.01049690	0.00106513
5:Del:M:4	0.00000003	0.00344606	0.00146292
5:Del:M:5	0.00002818	0.00160970	0.00089838
