MutationType	ID83A	ID83B	ID83C
1:Del:C:0	3.00E-08	3.50E-04	3.58E-04
1:Del:C:1	5.35E-03	9.15E-03	2.79E-02
1:Del:C:2	2.61E-03	1.84E-06	6.17E-05
1:Del:C:3	2.17E-03	8.17E-07	1.73E-03
1:Del:C:4	1.45E-03	1.58E-06	6.52E-03
1:Del:C:5	1.69E-03	1.73E-03	6.49E-03
1:Del:T:0	4.80E-08	1.13E-04	8.08E-05
1:Del:T:1	3.87E-03	8.93E-04	1.44E-02
1:Del:T:2	2.48E-03	8.33E-07	3.65E-06
1:Del:T:3	1.72E-03	6.62E-07	3.31E-03
1:Del:T:4	1.54E-03	2.04E-06	6.94E-03
1:Del:T:5	5.75E-03	2.21E-03	2.05E-02
1:Ins:C:0	1.29E-09	4.59E-04	5.20E-04
1:Ins:C:1	1.51E-09	1.77E-03	2.81E-03
1:Ins:C:2	1.70E-09	1.20E-03	1.62E-03
1:Ins:C:3	1.99E-09	6.70E-04	1.34E-03
1:Ins:C:4	1.51E-09	1.53E-03	1.81E-03
1:Ins:C:5	2.08E-09	2.40E-03	4.32E-03
1:Ins:T:0	1.28E-09	1.04E-03	1.51E-03
1:Ins:T:1	1.77E-09	6.18E-03	8.80E-03
1:Ins:T:2	2.06E-09	1.70E-03	2.63E-03
1:Ins:T:3	2.22E-09	1.29E-03	1.97E-03
1:Ins:T:4	2.26E-09	5.01E-04	7.12E-04
1:Ins:T:5	1.64E-09	7.40E-03	1.29E-02
2:Del:R:0	2.20E-09	9.38E-03	1.17E-02
2:Del:R:1	1.47E-09	5.18E-04	7.89E-04
2:Del:R:2	7.92E-08	8.42E-05	1.32E-04
2:Del:R:3	7.53E-08	6.00E-05	1.35E-04
2:Del:R:4	4.58E-08	1.37E-04	1.69E-04
2:Del:R:5	4.07E-08	3.57E-07	1.52E-06
3:Del:R:0	3.39E-05	5.20E-03	7.13E-03
3:Del:R:1	2.88E-09	3.56E-04	6.87E-04
3:Del:R:2	5.38E-06	1.45E-04	1.72E-04
3:Del:R:3	4.07E-08	3.57E-07	1.52E-06
3:Del:R:4	4.07E-08	3.57E-07	1.52E-06
3:Del:R:5	4.07E-08	3.57E-07	1.52E-06
4:Del:R:0	1.63E-09	1.75E-03	2.07E-03
4:Del:R:1	3.15E-08	1.30E-04	1.32E-04
4:Del:R:2	4.07E-08	3.57E-07	1.52E-06
4:Del:R:3	4.07E-08	3.57E-07	1.52E-06
4:Del:R:4	4.07E-08	3.57E-07	1.52E-06
4:Del:R:5	4.07E-08	3.57E-07	1.52E-06
5:Del:R:0	2.47E-09	1.27E-02	9.92E-03
5:Del:R:1	4.07E-08	3.57E-07	1.52E-06
5:Del:R:2	4.07E-08	3.57E-07	1.52E-06
5:Del:R:3	4.07E-08	3.57E-07	1.52E-06
5:Del:R:4	4.07E-08	3.57E-07	1.52E-06
5:Del:R:5	4.07E-08	3.57E-07	1.52E-06
2:Ins:R:0	1.87E-09	8.89E-04	1.34E-03
2:Ins:R:1	1.50E-09	1.39E-03	1.86E-03
2:Ins:R:2	1.54E-09	9.65E-04	1.61E-03
2:Ins:R:3	6.53E-08	2.00E-05	1.05E-04
2:Ins:R:4	8.49E-06	1.50E-04	2.19E-04
2:Ins:R:5	4.02E-08	2.04E-04	2.81E-04
3:Ins:R:0	1.20E-09	6.44E-04	7.31E-04
3:Ins:R:1	1.83E-09	4.52E-04	8.42E-04
3:Ins:R:2	2.49E-09	3.41E-04	3.40E-04
3:Ins:R:3	4.07E-08	3.57E-07	1.52E-06
3:Ins:R:4	5.84E-08	1.02E-04	2.24E-04
3:Ins:R:5	3.96E-08	1.37E-04	2.55E-04
4:Ins:R:0	1.38E-09	3.33E-04	3.42E-04
4:Ins:R:1	1.24E-09	6.74E-04	1.07E-03
4:Ins:R:2	3.43E-08	1.23E-04	2.05E-04
4:Ins:R:3	4.07E-08	3.57E-07	1.52E-06
4:Ins:R:4	4.07E-08	3.57E-07	1.52E-06
4:Ins:R:5	6.64E-08	8.24E-05	1.24E-04
5:Ins:R:0	1.19E-09	6.26E-04	1.04E-03
5:Ins:R:1	1.45E-09	1.32E-03	1.90E-03
5:Ins:R:2	4.07E-08	3.57E-07	1.52E-06
5:Ins:R:3	4.07E-08	3.57E-07	1.52E-06
5:Ins:R:4	7.39E-08	8.52E-05	8.58E-05
5:Ins:R:5	6.29E-08	7.08E-05	1.02E-04
2:Del:M:1	1.87E-09	3.66E-03	5.22E-03
3:Del:M:1	1.71E-09	4.14E-03	6.31E-03
3:Del:M:2	2.00E-09	1.36E-03	1.92E-03
4:Del:M:1	1.55E-09	1.75E-03	2.09E-03
4:Del:M:2	1.08E-09	7.11E-04	7.52E-04
4:Del:M:3	3.85E-05	2.77E-04	3.70E-04
5:Del:M:1	2.05E-09	7.01E-03	5.18E-03
5:Del:M:2	1.47E-09	2.56E-03	1.72E-03
5:Del:M:3	1.23E-09	7.05E-04	7.46E-04
5:Del:M:4	1.26E-09	3.62E-04	5.46E-04
5:Del:M:5	2.81E-05	2.81E-04	3.32E-04
