Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-3C-AAAU-01	5	3	21	17
TCGA-3C-AALI-01	649	77	67	15
TCGA-3C-AALJ-01	9	30	19	8
TCGA-3C-AALK-01	10	18	24	12
TCGA-4H-AAAK-01	0	5	19	9
TCGA-5L-AAT0-01	204	0	75	0
TCGA-5L-AAT1-01	1781	0	205	0
TCGA-5T-A9QA-01	0	9	32	12
TCGA-A1-A0SB-01	0	1	6	9
TCGA-A1-A0SD-01	0	10	23	7
TCGA-A1-A0SE-01	7	12	15	2
TCGA-A1-A0SF-01	42	0	22	0
TCGA-A1-A0SG-01	1	6	28	0
TCGA-A1-A0SH-01	81	36	14	7
TCGA-A1-A0SI-01	239	20	3	16
TCGA-A1-A0SJ-01	8	5	15	12
TCGA-A1-A0SK-01	0	49	32	3
TCGA-A1-A0SM-01	0	8	19	5
TCGA-A1-A0SN-01	23	23	25	5
TCGA-A1-A0SO-01	26	265	30	32
TCGA-A1-A0SP-01	1	32	22	15
TCGA-A2-A04N-01	5	16	31	1
TCGA-A2-A04R-01	8	67	15	12
TCGA-A2-A04U-01	1	31	27	8
TCGA-A2-A04W-01	124	15	35	13
TCGA-A2-A0CK-01	2	0	20	5
TCGA-A2-A0CL-01	150	0	38	12
TCGA-A2-A0CR-01	194	0	14	2
TCGA-A2-A0CS-01	0	12	21	15
TCGA-A2-A0CV-01	0	4	14	6
TCGA-A2-A0CW-01	27	27	30	0
TCGA-A2-A0D3-01	0	0	27	5
TCGA-A2-A0EN-01	0	14	21	4
TCGA-A2-A0EP-01	6	5	0	5
TCGA-A2-A0ES-01	0	9	9	1
TCGA-A2-A0EW-01	1	6	6	7
TCGA-A2-A0ST-01	4	6	10	8
TCGA-A2-A0SU-01	2	16	7	10
TCGA-A2-A0SX-01	8	12	9	12
TCGA-A2-A0SY-01	128	14	35	0
TCGA-A2-A0T0-01	25	136	0	56
TCGA-A2-A0T1-01	0	5	16	11
TCGA-A2-A0T3-01	0	22	20	2
TCGA-A2-A0T4-01	8	13	6	14
TCGA-A2-A0T5-01	0	1	9	3
TCGA-A2-A0T6-01	0	0	24	4
TCGA-A2-A0T7-01	1	5	21	2
TCGA-A2-A0YC-01	4	13	12	3
TCGA-A2-A0YD-01	51	0	36	0
TCGA-A2-A0YE-01	7	8	25	3
TCGA-A2-A0YF-01	0	21	16	2
TCGA-A2-A0YG-01	7	27	37	7
TCGA-A2-A0YH-01	46	28	19	7
TCGA-A2-A0YI-01	1	9	7	1
TCGA-A2-A0YJ-01	2	44	31	21
TCGA-A2-A0YK-01	464	0	0	14
TCGA-A2-A0YL-01	28	4	9	2
TCGA-A2-A0YM-01	37	12	43	17
TCGA-A2-A0YT-01	19	9	50	3
TCGA-A2-A1FV-01	7	9	27	7
TCGA-A2-A1FW-01	4	36	42	13
TCGA-A2-A1FX-01	0	13	15	0
TCGA-A2-A1FZ-01	1	6	9	13
TCGA-A2-A1G0-01	3	12	8	0
TCGA-A2-A1G1-01	3	21	12	3
TCGA-A2-A1G6-01	1	4	1	4
TCGA-A2-A259-01	5	10	14	0
TCGA-A2-A25A-01	82	22	21	4
TCGA-A2-A25B-01	9	77	30	12
TCGA-A2-A25C-01	3	27	0	9
TCGA-A2-A25D-01	9	29	14	12
TCGA-A2-A25E-01	8	31	6	16
TCGA-A2-A25F-01	0	6	0	0
TCGA-A2-A3KD-01	1	1	11	5
TCGA-A2-A3XT-01	28	71	0	23
TCGA-A2-A3XU-01	0	5	15	11
TCGA-A2-A3XV-01	0	17	15	16
TCGA-A2-A3XW-01	1	3	11	2
TCGA-A2-A3XX-01	3	19	20	10
TCGA-A2-A3XZ-01	23	6	19	4
TCGA-A2-A3Y0-01	49	134	1	59
TCGA-A2-A4S1-01	5	52	20	21
TCGA-A2-A4S2-01	6	13	11	13
TCGA-A2-A4S3-01	15	42	25	25
TCGA-A7-A0CE-01	7	33	9	12
TCGA-A7-A0CH-01	0	9	8	0
TCGA-A7-A0D9-01	4	1	5	2
TCGA-A7-A0DA-01	17	136	20	14
TCGA-A7-A0DB-01	19	8	16	10
TCGA-A7-A13D-01	16	86	25	13
TCGA-A7-A13E-01	0	8	49	23
TCGA-A7-A13F-01	2	5	31	7
TCGA-A7-A13G-01	9	4	8	11
TCGA-A7-A26E-01	21	0	46	0
TCGA-A7-A26F-01	2	15	29	0
TCGA-A7-A26G-01	17	34	8	9
TCGA-A7-A26H-01	80	21	41	8
TCGA-A7-A26I-01	8	21	13	4
TCGA-A7-A26J-01	3	26	13	0
TCGA-A7-A2KD-01	7	11	32	5
TCGA-A7-A3RF-01	1	19	8	12
TCGA-A7-A425-01	0	9	18	6
TCGA-A7-A4SC-01	0	14	24	0
TCGA-A7-A4SD-01	0	11	35	16
TCGA-A7-A4SE-01	42	81	0	23
TCGA-A7-A56D-01	117	32	69	7
TCGA-A7-A5ZV-01	31	156	38	43
TCGA-A7-A5ZW-01	13	3	7	13
TCGA-A7-A5ZX-01	5	17	19	1
TCGA-A7-A6VV-01	6	24	22	12
TCGA-A7-A6VW-01	8	51	15	18
TCGA-A7-A6VX-01	46	89	21	21
TCGA-A7-A6VY-01	21	80	11	24
TCGA-A8-A075-01	28	48	23	1
TCGA-AC-A23C-01	62	39	17	27
TCGA-AC-A23E-01	0	8	16	0
TCGA-AC-A23H-01	6049	287	0	42
TCGA-AC-A2B8-01	96	10	21	1
TCGA-AC-A2BK-01	0	50	31	29
TCGA-AC-A2BM-01	1	12	6	7
TCGA-AC-A2FB-01	5	3	5	4
TCGA-AC-A2FF-01	5	3	3	0
TCGA-AC-A2FG-01	10	5	19	5
TCGA-AC-A2FK-01	1	1	1	0
TCGA-AC-A2FO-01	13	6	8	0
TCGA-AC-A2QH-01	2	4	10	11
TCGA-AC-A3HN-01	2	4	7	9
TCGA-AC-A3OD-01	7	6	21	5
TCGA-AC-A3QP-01	0	21	9	5
TCGA-AC-A3QQ-01	0	10	19	7
TCGA-AC-A3W5-01	64	102	20	25
TCGA-AC-A3YI-01	0	6	9	3
TCGA-AC-A3YJ-01	3	7	23	5
TCGA-AC-A4ZE-01	7	25	23	19
TCGA-AC-A5EH-01	27	125	25	28
TCGA-AC-A5EI-01	12	4	23	4
TCGA-AC-A5XS-01	613	33	69	0
TCGA-AC-A5XU-01	14	10	70	19
TCGA-AC-A62V-01	3	25	50	28
TCGA-AC-A62X-01	0	10	56	21
TCGA-AC-A62Y-01	30	18	19	22
TCGA-AC-A6IV-01	0	7	19	1
TCGA-AC-A6IW-01	93	72	33	33
TCGA-AC-A6IX-01	35	0	21	15
TCGA-AC-A6NO-01	2	6	21	14
TCGA-AC-A7VB-01	0	3	17	15
TCGA-AC-A7VC-01	0	5	17	4
TCGA-AC-A8OP-01	23	98	70	53
TCGA-AC-A8OQ-01	18	39	65	15
TCGA-AC-A8OR-01	0	12	10	10
TCGA-AC-A8OS-01	20	22	22	15
TCGA-AN-A0XL-01	0	15	20	5
TCGA-AN-A0XN-01	17	107	10	41
TCGA-AN-A0XO-01	13	6	17	7
TCGA-AN-A0XP-01	8	10	5	11
TCGA-AN-A0XR-01	5	18	12	3
TCGA-AN-A0XS-01	7	10	13	2
TCGA-AN-A0XT-01	0	3	14	5
TCGA-AN-A0XU-01	17	90	15	15
TCGA-AN-A0XV-01	5	11	13	15
TCGA-AN-A0XW-01	416	3	0	4
TCGA-AO-A03M-01	1126	20	0	4
TCGA-AO-A03N-01	87	7	30	10
TCGA-AO-A03U-01	2	3	0	0
TCGA-AO-A03V-01	20	27	24	1
TCGA-AO-A0JG-01	2	16	0	3
TCGA-AO-A124-01	9	121	29	19
TCGA-AO-A125-01	2	12	25	6
TCGA-AO-A126-01	3	5	17	0
TCGA-AO-A128-01	0	0	303	907
TCGA-AO-A129-01	34	72	6	32
TCGA-AO-A12A-01	4	0	11	4
TCGA-AO-A12B-01	0	5	11	7
TCGA-AO-A12D-01	34	4	35	0
TCGA-AO-A12E-01	0	6	24	3
TCGA-AO-A12F-01	0	7	19	14
TCGA-AO-A12G-01	7	5	18	12
TCGA-AO-A12H-01	0	6	18	6
TCGA-AO-A1KO-01	0	6	0	4
TCGA-AO-A1KR-01	12	49	15	13
TCGA-AO-A1KT-01	2	11	19	19
TCGA-AQ-A04H-01	0	9	50	22
TCGA-AQ-A0Y5-01	18	8	34	10
TCGA-AQ-A1H2-01	1	6	19	8
