MutationType	ID83A	ID83B	ID83C	ID83D	ID83E
1:Del:C:0	2.32E-09	1.34E-03	7.89E-04	2.24E-04	4.65E-04
1:Del:C:1	1.13E-02	4.91E-02	7.95E-03	6.35E-03	9.51E-03
1:Del:C:2	1.38E-02	1.48E-02	2.43E-02	7.74E-03	8.89E-04
1:Del:C:3	6.97E-03	8.19E-03	4.36E-06	3.95E-03	6.96E-07
1:Del:C:4	5.74E-03	2.14E-03	4.05E-03	8.74E-03	1.44E-06
1:Del:C:5	1.98E-03	1.74E-04	3.97E-03	6.93E-03	1.43E-06
1:Del:T:0	4.13E-08	5.02E-05	2.01E-04	8.86E-05	2.55E-04
1:Del:T:1	1.44E-02	3.31E-02	1.29E-02	7.00E-03	1.14E-03
1:Del:T:2	1.54E-02	2.02E-02	1.63E-02	7.47E-05	1.19E-06
1:Del:T:3	8.82E-03	7.14E-04	3.79E-06	1.11E-02	1.46E-06
1:Del:T:4	7.40E-03	2.79E-06	7.56E-03	9.38E-03	9.77E-05
1:Del:T:5	6.51E-03	2.06E-06	5.68E-03	1.59E-02	1.49E-06
1:Ins:C:0	3.43E-09	1.60E-03	1.01E-03	8.68E-07	6.58E-04
1:Ins:C:1	3.84E-09	3.82E-03	3.83E-03	2.36E-03	2.67E-03
1:Ins:C:2	3.07E-09	2.90E-03	2.72E-03	1.04E-03	1.68E-03
1:Ins:C:3	2.77E-09	2.92E-03	1.68E-03	1.15E-03	1.48E-03
1:Ins:C:4	3.49E-09	2.19E-03	3.04E-03	2.01E-03	1.87E-03
1:Ins:C:5	2.75E-09	3.54E-03	4.71E-03	5.99E-03	6.08E-05
1:Ins:T:0	2.88E-09	1.98E-03	2.32E-03	9.99E-04	1.62E-03
1:Ins:T:1	2.47E-09	9.27E-03	1.39E-02	4.50E-05	1.09E-02
1:Ins:T:2	2.41E-09	2.82E-03	3.37E-03	3.09E-03	2.12E-03
1:Ins:T:3	2.63E-09	2.42E-03	2.95E-03	2.20E-03	2.10E-03
1:Ins:T:4	2.98E-09	2.84E-03	1.58E-03	9.30E-04	7.67E-04
1:Ins:T:5	1.02E-09	1.08E-02	1.63E-02	1.43E-02	1.49E-04
2:Del:R:0	3.05E-09	9.64E-03	2.69E-02	1.28E-02	1.13E-02
2:Del:R:1	1.80E-09	2.14E-03	1.53E-03	7.25E-04	9.87E-04
2:Del:R:2	4.06E-08	3.76E-04	1.12E-04	6.63E-05	8.66E-05
2:Del:R:3	4.76E-08	1.76E-04	1.82E-04	8.94E-07	1.22E-04
2:Del:R:4	3.93E-08	1.64E-04	3.23E-04	1.20E-04	1.82E-04
2:Del:R:5	4.18E-08	2.25E-06	1.66E-06	9.40E-07	4.20E-07
