Samples	ID1	ID2	ID7	ID8	ID15	ID83B	ID83C
TCGA-3C-AAAU-01	4	0	0	0	0	0	0
TCGA-3C-AALI-01	1	0	3	0	0	4	0
TCGA-3C-AALJ-01	0	0	0	0	0	0	6
TCGA-3C-AALK-01	0	0	0	0	0	0	4
TCGA-4H-AAAK-01	1	0	0	0	0	0	0
TCGA-5L-AAT0-01	0	0	0	0	0	0	2
TCGA-5L-AAT1-01	0	0	0	0	8	0	0
TCGA-5T-A9QA-01	0	0	0	0	1	0	0
TCGA-A1-A0SB-01	0	0	0	0	0	0	2
TCGA-A1-A0SD-01	0	0	0	4	0	0	0
TCGA-A1-A0SE-01	0	0	0	0	0	0	2
TCGA-A1-A0SF-01	0	0	0	0	1	0	0
TCGA-A1-A0SG-01	0	0	0	0	0	0	1
TCGA-A1-A0SH-01	0	0	0	3	0	0	0
TCGA-A1-A0SI-01	0	0	0	0	0	0	1
TCGA-A1-A0SJ-01	0	0	0	1	0	1	0
TCGA-A1-A0SK-01	0	0	0	2	0	2	0
TCGA-A1-A0SM-01	0	0	0	0	0	1	0
TCGA-A1-A0SN-01	0	0	0	2	0	0	0
TCGA-A1-A0SO-01	0	0	0	26	0	0	0
TCGA-A1-A0SP-01	0	0	0	0	0	4	0
TCGA-A2-A04N-01	0	0	0	0	2	0	2
TCGA-A2-A04R-01	0	0	0	3	0	1	0
TCGA-A2-A04U-01	0	0	0	0	0	2	0
TCGA-A2-A04W-01	0	0	0	0	0	0	1
TCGA-A2-A0CK-01	3	0	0	0	0	0	0
TCGA-A2-A0CR-01	0	0	0	1	0	0	0
TCGA-A2-A0CS-01	0	0	0	0	0	0	9
TCGA-A2-A0CV-01	0	0	0	0	0	0	1
TCGA-A2-A0CW-01	0	0	0	3	0	2	0
TCGA-A2-A0D3-01	0	0	0	0	0	2	3
TCGA-A2-A0EN-01	0	0	0	0	4	0	0
TCGA-A2-A0ES-01	0	0	0	0	0	2	0
TCGA-A2-A0SU-01	0	0	0	7	0	0	0
TCGA-A2-A0SX-01	1	0	0	0	0	0	0
TCGA-A2-A0SY-01	0	0	0	2	0	2	0
TCGA-A2-A0T0-01	0	0	0	20	0	0	0
TCGA-A2-A0T1-01	1	0	0	0	1	0	0
TCGA-A2-A0T3-01	0	0	0	3	0	0	0
TCGA-A2-A0T4-01	0	0	0	0	0	0	4
TCGA-A2-A0T5-01	1	0	0	3	0	0	0
TCGA-A2-A0T6-01	0	0	0	0	0	0	1
TCGA-A2-A0T7-01	0	0	0	3	0	0	0
TCGA-A2-A0YC-01	0	0	0	3	0	0	0
TCGA-A2-A0YD-01	0	0	0	0	5	0	0
TCGA-A2-A0YE-01	0	0	0	4	0	0	0
TCGA-A2-A0YF-01	0	0	0	0	0	0	6
TCGA-A2-A0YG-01	0	0	0	0	0	0	1
TCGA-A2-A0YH-01	0	0	0	0	0	0	1
TCGA-A2-A0YJ-01	0	0	0	0	0	0	1
TCGA-A2-A0YK-01	0	0	0	1	0	0	0
TCGA-A2-A0YL-01	0	0	0	2	0	0	0
TCGA-A2-A0YM-01	1	0	0	0	0	2	0
TCGA-A2-A0YT-01	0	0	0	0	0	0	4
TCGA-A2-A1FV-01	0	1	0	0	0	0	5
TCGA-A2-A1FW-01	0	0	0	0	0	3	0
TCGA-A2-A1FZ-01	0	0	0	0	0	0	3
TCGA-A2-A1G0-01	0	0	0	1	0	0	2
TCGA-A2-A1G1-01	0	0	0	0	0	0	4
TCGA-A2-A259-01	0	0	0	2	0	0	0
TCGA-A2-A25A-01	0	0	0	0	0	1	0
TCGA-A2-A25B-01	0	0	0	0	0	0	6
TCGA-A2-A25C-01	0	0	0	0	0	0	1
TCGA-A2-A25D-01	0	0	0	0	3	0	4
TCGA-A2-A25E-01	0	0	0	3	0	0	0
TCGA-A2-A3XT-01	0	0	0	5	0	0	0
TCGA-A2-A3XU-01	0	0	0	4	0	0	0
