Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-3C-AAAU-01	1	8	5	19	13
TCGA-3C-AALI-01	460	302	0	46	0
TCGA-3C-AALJ-01	13	0	30	23	0
TCGA-3C-AALK-01	8	9	15	22	10
TCGA-4H-AAAK-01	0	0	0	22	11
TCGA-5L-AAT0-01	91	188	0	0	0
TCGA-5L-AAT1-01	915	1071	0	0	0
TCGA-5T-A9QA-01	0	0	14	39	0
TCGA-A1-A0SB-01	0	0	0	7	9
TCGA-A1-A0SD-01	1	2	10	23	4
TCGA-A1-A0SE-01	0	15	9	5	7
TCGA-A1-A0SF-01	9	55	0	0	0
TCGA-A1-A0SG-01	1	6	7	20	1
TCGA-A1-A0SH-01	46	59	20	3	10
TCGA-A1-A0SI-01	175	103	0	0	0
TCGA-A1-A0SJ-01	7	4	5	17	7
TCGA-A1-A0SK-01	0	0	53	31	0
TCGA-A1-A0SM-01	0	0	12	20	0
TCGA-A1-A0SN-01	23	7	19	25	2
TCGA-A1-A0SO-01	14	25	254	28	32
TCGA-A1-A0SP-01	0	6	32	19	13
TCGA-A2-A04N-01	1	13	15	20	4
TCGA-A2-A04R-01	7	5	65	15	10
TCGA-A2-A04U-01	0	0	38	29	0
TCGA-A2-A04W-01	92	66	0	29	0
TCGA-A2-A0CK-01	0	7	0	20	0
TCGA-A2-A0CL-01	98	73	0	29	0
TCGA-A2-A0CR-01	99	111	0	0	0
TCGA-A2-A0CS-01	0	0	14	24	10
TCGA-A2-A0CV-01	0	0	0	24	0
TCGA-A2-A0CW-01	16	26	20	22	0
TCGA-A2-A0D3-01	0	0	0	32	0
TCGA-A2-A0EN-01	0	4	15	20	0
TCGA-A2-A0EP-01	6	3	0	0	7
TCGA-A2-A0ES-01	0	0	11	8	0
TCGA-A2-A0EW-01	1	1	5	6	7
TCGA-A2-A0ST-01	3	4	5	10	6
TCGA-A2-A0SU-01	0	0	20	9	6
TCGA-A2-A0SX-01	5	6	10	10	10
TCGA-A2-A0SY-01	91	63	0	23	0
TCGA-A2-A0T0-01	18	12	127	8	52
TCGA-A2-A0T1-01	0	4	0	17	11
TCGA-A2-A0T3-01	1	2	21	19	1
TCGA-A2-A0T4-01	9	1	11	11	9
TCGA-A2-A0T5-01	0	2	0	11	0
TCGA-A2-A0T6-01	0	4	0	24	0
TCGA-A2-A0T7-01	0	8	0	21	0
TCGA-A2-A0YC-01	2	5	12	11	2
TCGA-A2-A0YD-01	28	38	0	21	0
TCGA-A2-A0YE-01	2	13	7	19	2
TCGA-A2-A0YF-01	0	5	20	14	0
TCGA-A2-A0YG-01	0	19	24	25	10
TCGA-A2-A0YH-01	38	19	20	21	2
TCGA-A2-A0YI-01	2	2	7	5	2
TCGA-A2-A0YJ-01	6	0	44	34	14
TCGA-A2-A0YK-01	283	195	0	0	0
TCGA-A2-A0YL-01	16	22	0	5	0
TCGA-A2-A0YM-01	27	24	9	37	12
TCGA-A2-A0YT-01	3	33	8	29	8
TCGA-A2-A1FV-01	1	15	8	20	6
TCGA-A2-A1FW-01	7	4	34	40	10
TCGA-A2-A1FX-01	0	3	14	11	0
TCGA-A2-A1FZ-01	1	1	6	10	11
TCGA-A2-A1G0-01	0	6	12	5	0
TCGA-A2-A1G1-01	0	7	22	10	0
TCGA-A2-A1G6-01	1	0	4	2	3
TCGA-A2-A259-01	0	9	11	9	0
TCGA-A2-A25A-01	43	67	5	5	9
TCGA-A2-A25B-01	2	17	74	20	15
TCGA-A2-A25C-01	0	6	23	0	10
TCGA-A2-A25D-01	5	10	25	12	12
TCGA-A2-A25E-01	2	10	28	5	16
TCGA-A2-A25F-01	0	0	6	0	0
TCGA-A2-A3KD-01	0	4	0	14	0
TCGA-A2-A3XT-01	32	0	65	0	25
TCGA-A2-A3XU-01	0	0	0	20	11
TCGA-A2-A3XV-01	0	0	19	15	14
TCGA-A2-A3XW-01	0	6	0	11	0
TCGA-A2-A3XX-01	1	7	19	17	8
TCGA-A2-A3XZ-01	20	10	2	18	2
TCGA-A2-A3Y0-01	51	0	125	23	44
TCGA-A2-A4S1-01	4	4	52	22	16
TCGA-A2-A4S2-01	1	11	10	9	12
TCGA-A2-A4S3-01	12	11	38	26	20
TCGA-A7-A0CE-01	2	10	30	6	13
TCGA-A7-A0CH-01	0	3	9	5	0
TCGA-A7-A0D9-01	2	4	1	3	2
TCGA-A7-A0DA-01	11	13	132	19	12
TCGA-A7-A0DB-01	13	14	4	14	8
TCGA-A7-A13D-01	16	4	85	27	8
TCGA-A7-A13E-01	7	0	0	58	15
TCGA-A7-A13F-01	5	3	5	27	5
TCGA-A7-A13G-01	3	10	4	8	7
TCGA-A7-A26E-01	5	34	0	28	0
TCGA-A7-A26F-01	0	8	15	23	0
TCGA-A7-A26G-01	11	11	30	8	8
TCGA-A7-A26H-01	67	42	0	41	0
TCGA-A7-A26I-01	3	10	20	8	5
TCGA-A7-A26J-01	0	6	26	10	0
TCGA-A7-A2KD-01	4	11	10	26	4
TCGA-A7-A3RF-01	0	0	19	11	10
TCGA-A7-A425-01	0	0	12	21	0
TCGA-A7-A4SC-01	0	7	14	17	0
TCGA-A7-A4SD-01	0	0	17	45	0
TCGA-A7-A4SE-01	37	11	73	3	22
TCGA-A7-A56D-01	64	97	13	40	11
TCGA-A7-A5ZV-01	35	2	151	48	32
TCGA-A7-A5ZW-01	11	5	0	9	11
TCGA-A7-A5ZX-01	0	13	18	11	0
TCGA-A7-A6VV-01	10	0	26	28	0
TCGA-A7-A6VW-01	5	7	49	14	17
TCGA-A7-A6VX-01	17	51	77	7	25
TCGA-A7-A6VY-01	15	11	77	12	21
TCGA-A8-A075-01	13	28	42	13	4
