MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
1:Del:C:0	1.28E-09	1.32E-03	6.03E-04	4.26E-04	8.46E-04	5.84E-04
1:Del:C:1	9.13E-03	3.25E-06	4.31E-02	9.97E-07	1.30E-02	7.20E-07
1:Del:C:2	1.87E-02	2.70E-02	2.20E-02	5.74E-05	9.50E-03	2.97E-06
1:Del:C:3	1.16E-02	1.88E-02	7.87E-03	2.69E-03	1.14E-06	5.31E-07
1:Del:C:4	8.55E-03	1.21E-02	2.61E-03	7.39E-03	3.08E-06	1.30E-04
1:Del:C:5	2.43E-03	2.07E-03	1.80E-06	5.99E-03	1.41E-06	1.06E-06
1:Del:T:0	2.01E-08	2.91E-04	5.55E-05	6.21E-05	2.35E-04	3.56E-04
1:Del:T:1	1.30E-02	5.31E-02	3.01E-02	3.35E-04	2.54E-06	2.04E-05
1:Del:T:2	1.61E-02	3.13E-02	1.75E-02	2.69E-03	8.82E-03	1.12E-06
1:Del:T:3	1.19E-02	7.04E-03	4.03E-03	3.57E-03	5.28E-03	5.12E-07
1:Del:T:4	1.02E-02	1.21E-02	3.44E-03	7.80E-03	8.15E-07	2.40E-06
1:Del:T:5	8.02E-03	9.57E-03	2.80E-06	1.63E-02	1.29E-07	3.83E-08
1:Ins:C:0	9.48E-05	2.19E-03	1.52E-04	3.83E-04	1.20E-03	7.65E-04
1:Ins:C:1	2.12E-09	6.67E-03	1.91E-03	6.59E-07	4.66E-03	2.92E-03
1:Ins:C:2	3.55E-09	4.64E-03	7.53E-04	1.76E-04	2.87E-03	2.13E-03
1:Ins:C:3	1.08E-09	2.79E-03	1.92E-06	5.18E-04	2.21E-03	1.46E-03
1:Ins:C:4	3.86E-09	4.60E-03	1.20E-03	1.88E-03	2.50E-03	2.31E-03
1:Ins:C:5	2.86E-09	9.58E-03	1.27E-06	6.27E-03	3.24E-03	4.35E-04
1:Ins:T:0	3.08E-09	3.05E-03	2.30E-03	8.69E-04	4.17E-03	1.97E-03
1:Ins:T:1	2.70E-09	2.08E-02	6.78E-03	4.08E-03	1.46E-02	1.15E-02
1:Ins:T:2	3.27E-09	6.23E-03	2.09E-03	1.31E-03	4.47E-03	2.54E-03
