Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-3C-AAAU-01	1	7	18	8	0	12
TCGA-3C-AALI-01	405	302	43	0	53	5
TCGA-3C-AALJ-01	11	0	12	0	41	2
TCGA-3C-AALK-01	7	7	18	3	21	8
TCGA-4H-AAAK-01	0	1	14	0	13	5
TCGA-5L-AAT0-01	75	139	13	4	48	0
TCGA-5L-AAT1-01	858	1013	1	0	114	0
TCGA-5T-A9QA-01	0	3	28	10	5	7
TCGA-A1-A0SB-01	0	1	5	0	3	7
TCGA-A1-A0SD-01	1	2	17	0	19	1
TCGA-A1-A0SE-01	0	8	2	0	22	4
TCGA-A1-A0SF-01	7	43	6	2	0	6
TCGA-A1-A0SG-01	0	4	14	0	17	0
TCGA-A1-A0SH-01	39	46	6	37	0	10
TCGA-A1-A0SI-01	151	104	6	0	9	8
TCGA-A1-A0SJ-01	6	5	17	6	0	6
TCGA-A1-A0SK-01	2	1	23	32	26	0
TCGA-A1-A0SM-01	0	2	11	0	14	5
TCGA-A1-A0SN-01	20	9	21	15	10	1
TCGA-A1-A0SO-01	18	14	13	166	117	25
TCGA-A1-A0SP-01	0	4	18	38	0	10
TCGA-A2-A04N-01	1	9	16	5	19	3
TCGA-A2-A04R-01	8	3	11	45	27	8
TCGA-A2-A04U-01	4	1	22	27	9	4
TCGA-A2-A04W-01	74	59	22	15	4	13
TCGA-A2-A0CK-01	0	5	16	2	1	3
TCGA-A2-A0CL-01	90	76	30	0	0	4
TCGA-A2-A0CR-01	94	109	0	0	0	7
TCGA-A2-A0CS-01	0	0	20	0	21	7
TCGA-A2-A0CV-01	2	0	14	5	0	3
TCGA-A2-A0CW-01	14	19	19	18	14	0
TCGA-A2-A0D3-01	0	2	28	2	0	0
TCGA-A2-A0EN-01	0	2	12	0	23	2
TCGA-A2-A0EP-01	4	2	0	0	5	5
TCGA-A2-A0ES-01	0	1	4	3	10	1
TCGA-A2-A0EW-01	1	1	6	5	1	6
TCGA-A2-A0ST-01	3	3	8	0	9	5
TCGA-A2-A0SU-01	2	1	9	18	0	5
TCGA-A2-A0SX-01	5	5	9	3	11	8
TCGA-A2-A0SY-01	79	62	21	0	15	0
TCGA-A2-A0T0-01	18	9	9	113	20	48
TCGA-A2-A0T1-01	0	2	10	0	14	6
TCGA-A2-A0T3-01	2	1	16	10	15	0
TCGA-A2-A0T4-01	7	3	11	12	0	8
TCGA-A2-A0T5-01	0	2	9	2	0	0
TCGA-A2-A0T6-01	0	4	21	2	0	1
TCGA-A2-A0T7-01	0	5	15	7	0	2
TCGA-A2-A0YC-01	2	4	10	14	0	2
TCGA-A2-A0YD-01	25	35	21	0	6	0
TCGA-A2-A0YE-01	1	10	16	5	9	2
TCGA-A2-A0YF-01	0	2	7	0	29	1
TCGA-A2-A0YG-01	0	12	20	16	22	8
TCGA-A2-A0YH-01	33	19	15	3	30	0
TCGA-A2-A0YI-01	1	1	2	0	13	1
TCGA-A2-A0YJ-01	7	0	33	43	3	12
TCGA-A2-A0YK-01	267	210	0	0	0	1
TCGA-A2-A0YL-01	13	17	4	4	2	3
TCGA-A2-A0YM-01	23	22	36	17	0	11
TCGA-A2-A0YT-01	2	25	29	19	0	6
TCGA-A2-A1FV-01	0	11	17	10	7	5
TCGA-A2-A1FW-01	6	3	29	0	51	6
TCGA-A2-A1FX-01	0	2	10	12	4	0
TCGA-A2-A1FZ-01	1	1	8	0	10	9
TCGA-A2-A1G0-01	0	4	2	0	17	0
TCGA-A2-A1G1-01	0	5	7	12	13	2
TCGA-A2-A1G6-01	1	0	3	4	0	2
TCGA-A2-A259-01	1	6	7	8	7	0
TCGA-A2-A25A-01	36	53	8	25	0	7
TCGA-A2-A25B-01	3	10	16	59	28	12
TCGA-A2-A25C-01	1	2	0	9	19	8
TCGA-A2-A25D-01	4	6	8	2	35	9
TCGA-A2-A25E-01	2	7	5	28	5	14
TCGA-A2-A25F-01	0	0	0	3	3	0
TCGA-A2-A3KD-01	0	2	8	0	5	3
TCGA-A2-A3XT-01	32	0	5	55	11	19
TCGA-A2-A3XU-01	0	1	16	7	0	7
TCGA-A2-A3XV-01	0	1	11	5	20	11
TCGA-A2-A3XW-01	0	3	6	5	0	3
TCGA-A2-A3XX-01	1	5	17	22	1	6
TCGA-A2-A3XZ-01	17	11	16	6	1	1
TCGA-A2-A3Y0-01	49	6	24	122	0	42
TCGA-A2-A4S1-01	5	3	19	36	20	15
TCGA-A2-A4S2-01	1	7	8	3	14	10
TCGA-A2-A4S3-01	11	9	21	20	30	16
TCGA-A7-A0CE-01	3	6	6	30	4	12
TCGA-A7-A0CH-01	0	2	3	7	4	1
TCGA-A7-A0D9-01	2	3	2	0	3	2
TCGA-A7-A0DA-01	13	10	16	118	17	13
TCGA-A7-A0DB-01	10	12	12	0	13	6
TCGA-A7-A13D-01	15	6	23	89	0	7
TCGA-A7-A13E-01	6	0	51	15	0	8
TCGA-A7-A13F-01	4	3	21	0	13	4
TCGA-A7-A13G-01	3	8	8	7	0	6
TCGA-A7-A26E-01	3	24	22	0	15	3
TCGA-A7-A26F-01	1	5	16	0	24	0
TCGA-A7-A26G-01	10	9	7	31	4	7
TCGA-A7-A26H-01	54	38	32	0	26	0
TCGA-A7-A26I-01	3	7	6	14	11	5
TCGA-A7-A26J-01	2	3	5	7	25	0
TCGA-A7-A2KD-01	3	9	24	16	0	3
TCGA-A7-A3RF-01	0	1	6	0	27	6
TCGA-A7-A425-01	0	0	15	2	15	1
TCGA-A7-A4SC-01	0	4	12	0	22	0
TCGA-A7-A4SD-01	2	1	35	12	4	8
TCGA-A7-A4SE-01	33	12	3	63	16	19
TCGA-A7-A56D-01	53	78	39	32	14	9
TCGA-A7-A5ZV-01	33	7	40	124	34	30
TCGA-A7-A5ZW-01	8	5	8	0	5	10
TCGA-A7-A5ZX-01	0	8	8	15	7	4
TCGA-A7-A6VV-01	10	1	22	19	7	5
TCGA-A7-A6VW-01	5	5	11	37	19	15
TCGA-A7-A6VX-01	15	35	5	67	33	22
TCGA-A7-A6VY-01	15	10	12	80	0	19
TCGA-A8-A075-01	12	21	11	39	13	4
TCGA-AC-A23C-01	26	40	10	33	10	26
TCGA-AC-A23E-01	0	0	14	10	0	0
TCGA-AC-A23H-01	3629	2749	0	0	0	0
TCGA-AC-A2B8-01	48	55	8	1	13	3
TCGA-AC-A2BK-01	6	0	33	52	0	19
TCGA-AC-A2BM-01	3	0	7	4	8	4
TCGA-AC-A2FB-01	0	6	3	3	1	4
