NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	64.685	99.759	11.351	65.772	0.963	0.645	30000.0
2	64.93	99.76	11.429	65.598	0.956	0.648	60000.0
3	65.39	100.272	11.553	66.165	0.958	0.642	40000.0
4	65.327	100.907	11.429	66.189	0.968	0.64	60000.0
5	65.377	100.748	11.421	66.079	0.961	0.644	50000.0
6	65.076	100.234	11.44	65.709	0.96	0.647	50000.0
7	65.134	100.304	11.466	65.99	0.964	0.643	20000.0
8	65.047	100.348	11.415	65.873	0.96	0.645	30000.0
9	64.895	99.253	11.288	65.186	0.959	0.654	30000.0
10	64.69	99.607	11.299	65.237	0.95	0.653	40000.0
11	65.527	100.683	11.484	66.481	0.971	0.638	50000.0
12	65.694	100.778	11.577	65.893	0.964	0.644	40000.0
13	65.281	100.414	11.443	65.866	0.96	0.645	50000.0
14	65.563	100.173	11.498	66.035	0.957	0.642	40000.0
15	64.725	99.917	11.365	65.326	0.956	0.652	30000.0
16	65.136	99.997	11.498	65.704	0.952	0.648	40000.0
17	66.849	101.783	12.063	67.224	0.956	0.632	50000.0
18	65.227	100.37	11.425	65.653	0.958	0.648	40000.0
19	65.252	100.339	11.475	66.054	0.956	0.645	50000.0
20	65.145	100.61	11.408	66.087	0.959	0.644	20000.0
21	64.911	99.28	11.456	65.633	0.951	0.649	40000.0
22	66.771	101.832	12.042	67.492	0.964	0.631	60000.0
23	64.965	100.271	11.32	65.557	0.96	0.648	30000.0
24	65.335	99.856	11.378	65.343	0.953	0.651	50000.0
25	65.288	100.376	11.352	65.952	0.97	0.645	50000.0
26	65.385	100.699	11.549	66.105	0.963	0.643	20000.0
27	65.094	100.197	11.405	65.88	0.959	0.645	30000.0
28	64.765	100.28	11.371	65.715	0.96	0.647	20000.0
29	65.151	100.349	11.408	66.069	0.961	0.641	40000.0
30	66.811	101.49	12.066	67.282	0.959	0.629	30000.0
