Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-3C-AAAU-01	0	9	21	0	0	16
TCGA-3C-AALI-01	430	321	57	0	0	0
TCGA-3C-AALJ-01	11	0	13	0	42	0
TCGA-3C-AALK-01	7	7	18	3	21	8
TCGA-4H-AAAK-01	0	0	16	0	17	0
TCGA-5L-AAT0-01	74	139	0	0	66	0
TCGA-5L-AAT1-01	910	1076	0	0	0	0
TCGA-5T-A9QA-01	0	0	35	18	0	0
TCGA-A1-A0SB-01	0	0	8	0	0	8
TCGA-A1-A0SD-01	0	0	18	0	22	0
TCGA-A1-A0SE-01	0	8	0	0	23	5
TCGA-A1-A0SF-01	8	48	8	0	0	0
TCGA-A1-A0SG-01	0	4	15	0	16	0
TCGA-A1-A0SH-01	41	51	0	46	0	0
TCGA-A1-A0SI-01	165	113	0	0	0	0
TCGA-A1-A0SJ-01	7	6	20	0	0	7
TCGA-A1-A0SK-01	0	0	23	32	29	0
TCGA-A1-A0SM-01	0	0	14	0	18	0
TCGA-A1-A0SN-01	20	9	21	15	10	1
TCGA-A1-A0SO-01	18	14	13	166	117	25
TCGA-A1-A0SP-01	0	4	18	38	0	10
TCGA-A2-A04N-01	1	9	16	5	19	3
TCGA-A2-A04R-01	8	3	11	45	27	8
TCGA-A2-A04U-01	4	1	22	27	9	4
TCGA-A2-A04W-01	74	59	22	15	4	13
TCGA-A2-A0CK-01	0	7	20	0	0	0
TCGA-A2-A0CL-01	91	77	32	0	0	0
TCGA-A2-A0CR-01	97	113	0	0	0	0
TCGA-A2-A0CS-01	0	0	23	0	25	0
TCGA-A2-A0CV-01	3	0	21	0	0	0
TCGA-A2-A0CW-01	14	21	21	28	0	0
TCGA-A2-A0D3-01	0	0	32	0	0	0
TCGA-A2-A0EN-01	0	2	13	0	24	0
TCGA-A2-A0EP-01	4	2	0	0	5	5
TCGA-A2-A0ES-01	0	0	5	0	14	0
TCGA-A2-A0EW-01	1	1	6	5	1	6
TCGA-A2-A0ST-01	3	3	8	0	9	5
TCGA-A2-A0SU-01	0	0	12	23	0	0
TCGA-A2-A0SX-01	5	5	9	3	11	8
TCGA-A2-A0SY-01	86	66	25	0	0	0
TCGA-A2-A0T0-01	18	9	9	113	20	48
TCGA-A2-A0T1-01	0	0	11	0	15	6
TCGA-A2-A0T3-01	0	0	16	0	28	0
TCGA-A2-A0T4-01	7	3	11	12	0	8
TCGA-A2-A0T5-01	0	2	11	0	0	0
TCGA-A2-A0T6-01	0	4	24	0	0	0
