MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
1:Del:C:0	0.00000000	0.00035956	0.00077505	0.00405902	0.00087548	0.00330379	0.00462616
1:Del:C:1	0.05690137	0.00740892	0.00004253	0.72979697	0.00000715	0.00000554	0.00000395
1:Del:C:2	0.16801982	0.00993414	0.10197022	0.04868684	0.00000884	0.00620467	0.00000727
1:Del:C:3	0.15427446	0.01102208	0.08231223	0.00020054	0.00000228	0.02779532	0.00001233
1:Del:C:4	0.07193113	0.07533954	0.03917311	0.00101080	0.00010658	0.03467171	0.00001865
1:Del:C:5	0.01211828	0.15493534	0.00481281	0.00001031	0.00000743	0.00672158	0.00465209
1:Del:T:0	0.00002021	0.00030653	0.00000225	0.00000822	0.00167921	0.00013531	0.00015897
1:Del:T:1	0.00831269	0.00575956	0.50968066	0.05971918	0.00000940	0.00000930	0.00011714
1:Del:T:2	0.23056005	0.00010664	0.06787447	0.01822771	0.00000682	0.00000991	0.00000963
1:Del:T:3	0.14285413	0.02028450	0.07390245	0.00295202	0.00000303	0.03253787	0.00000651
1:Del:T:4	0.10618696	0.07211674	0.04805065	0.00063913	0.00000716	0.03065109	0.00428449
1:Del:T:5	0.04873142	0.34886940	0.02104657	0.00000697	0.00000017	0.02811127	0.00787477
1:Ins:C:0	0.00000000	0.00066451	0.00007931	0.00304173	0.00170753	0.00518114	0.00422674
1:Ins:C:1	0.00000000	0.00658536	0.00000223	0.00511795	0.00681847	0.01744926	0.01413303
1:Ins:C:2	0.00000001	0.00171519	0.00317662	0.00166063	0.00871000	0.01356923	0.01041195
1:Ins:C:3	0.00000000	0.00226078	0.00177714	0.00547305	0.00533326	0.00874205	0.00728815
1:Ins:C:4	0.00000001	0.00864802	0.00193504	0.00143096	0.00531834	0.01272201	0.01640848
1:Ins:C:5	0.00000000	0.05067320	0.00000159	0.00012227	0.00002139	0.03283033	0.01883200
1:Ins:T:0	0.00000001	0.00459525	0.00000099	0.00706497	0.00820358	0.01167449	0.01092503
1:Ins:T:1	0.00000001	0.00010333	0.00000093	0.01456901	0.02129561	0.14912721	0.01896455
1:Ins:T:2	0.00000000	0.00717052	0.00316561	0.00435685	0.00442041	0.01946385	0.02381753
1:Ins:T:3	0.00000000	0.00630518	0.00663365	0.00278037	0.00774022	0.01390193	0.01855499
1:Ins:T:4	0.00000000	0.00199712	0.00100488	0.00053067	0.00259771	0.00330357	0.00833991
1:Ins:T:5	0.00000000	0.09236482	0.00000074	0.00580734	0.00741907	0.07710487	0.08973493
2:Del:R:0	0.00000001	0.02613698	0.00000052	0.00000163	0.04199368	0.00000804	0.28370811
2:Del:R:1	0.00000000	0.00073638	0.00000208	0.00455714	0.00134594	0.01058250	0.00691685
2:Del:R:2	0.00000022	0.00000382	0.00000290	0.00037360	0.00007059	0.00040415	0.00042953
2:Del:R:3	0.00000015	0.00007724	0.00000275	0.00024098	0.00014604	0.00133023	0.00024988
