Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-3C-AAAU-01	8	0	24	0	0	14	0
TCGA-3C-AALI-01	284	367	0	157	0	0	0
TCGA-3C-AALJ-01	0	9	8	21	0	0	28
TCGA-3C-AALK-01	8	8	19	0	0	0	29
TCGA-4H-AAAK-01	0	0	13	0	0	0	20
TCGA-5L-AAT0-01	102	55	0	122	0	0	0
TCGA-5L-AAT1-01	889	735	0	362	0	0	0
TCGA-5T-A9QA-01	0	0	30	0	0	0	23
TCGA-A1-A0SB-01	0	0	4	0	0	5	7
TCGA-A1-A0SD-01	0	0	12	0	0	0	28
TCGA-A1-A0SE-01	5	0	0	24	0	7	0
TCGA-A1-A0SF-01	45	8	11	0	0	0	0
TCGA-A1-A0SG-01	0	0	12	23	0	0	0
TCGA-A1-A0SH-01	51	39	0	48	0	0	0
TCGA-A1-A0SI-01	94	134	0	50	0	0	0
TCGA-A1-A0SJ-01	6	6	18	0	10	0	0
TCGA-A1-A0SK-01	0	0	15	0	23	0	46
TCGA-A1-A0SM-01	0	0	9	18	0	5	0
TCGA-A1-A0SN-01	7	20	19	30	0	0	0
TCGA-A1-A0SO-01	13	17	6	28	165	24	100
TCGA-A1-A0SP-01	0	0	19	22	29	0	0
TCGA-A2-A04N-01	7	0	18	28	0	0	0
TCGA-A2-A04R-01	2	7	8	21	38	8	18
TCGA-A2-A04U-01	0	0	14	26	0	0	27
TCGA-A2-A04W-01	44	57	12	74	0	0	0
TCGA-A2-A0CK-01	5	0	14	0	0	0	8
TCGA-A2-A0CL-01	80	87	33	0	0	0	0
TCGA-A2-A0CR-01	115	95	0	0	0	0	0
TCGA-A2-A0CS-01	0	0	20	0	0	0	28
TCGA-A2-A0CV-01	0	0	14	10	0	0	0
TCGA-A2-A0CW-01	21	15	14	0	0	0	34
TCGA-A2-A0D3-01	2	0	30	0	0	0	0
TCGA-A2-A0EN-01	2	0	7	0	0	0	30
TCGA-A2-A0EP-01	2	4	0	0	0	4	6
TCGA-A2-A0ES-01	0	0	3	8	0	0	8
TCGA-A2-A0EW-01	0	2	6	0	6	6	0
TCGA-A2-A0ST-01	2	2	5	0	0	4	15
TCGA-A2-A0SU-01	0	0	12	0	23	0	0
TCGA-A2-A0SX-01	4	4	9	13	2	8	1
TCGA-A2-A0SY-01	53	69	14	41	0	0	0
TCGA-A2-A0T0-01	10	16	12	10	113	43	13
TCGA-A2-A0T1-01	0	0	7	0	0	6	19
TCGA-A2-A0T3-01	0	0	16	16	12	0	0
TCGA-A2-A0T4-01	3	7	11	0	14	6	0
TCGA-A2-A0T5-01	2	0	11	0	0	0	0
TCGA-A2-A0T6-01	5	0	23	0	0	0	0
TCGA-A2-A0T7-01	5	0	15	0	9	0	0
TCGA-A2-A0YC-01	5	0	11	0	16	0	0
TCGA-A2-A0YD-01	27	18	14	28	0	0	0
TCGA-A2-A0YE-01	9	0	19	15	0	0	0
TCGA-A2-A0YF-01	0	0	7	16	0	0	16
TCGA-A2-A0YG-01	12	0	17	0	15	0	34
TCGA-A2-A0YH-01	20	32	10	0	0	0	38
TCGA-A2-A0YI-01	0	0	0	7	0	0	11
