MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
1:Del:C:0	5.07E-09	3.20E-04	1.32E-03	1.41E-03	2.29E-04	6.95E-04	1.55E-03	1.35E-03
1:Del:C:1	7.91E-03	9.84E-03	3.65E-02	1.65E-02	2.26E-07	6.31E-07	2.88E-06	1.99E-06
1:Del:C:2	2.42E-02	2.96E-02	2.22E-02	3.15E-02	2.42E-07	1.70E-06	3.10E-02	2.56E-02
1:Del:C:3	2.11E-02	1.82E-02	4.60E-03	1.98E-02	2.54E-03	5.81E-07	1.44E-02	2.63E-02
1:Del:C:4	1.55E-02	1.01E-02	3.37E-04	1.08E-02	8.55E-03	2.22E-06	1.90E-02	8.73E-03
1:Del:C:5	3.96E-03	1.67E-03	2.58E-06	4.27E-06	5.06E-03	1.13E-06	1.93E-03	2.48E-04
1:Del:T:0	3.29E-08	2.35E-04	3.21E-04	5.19E-04	1.38E-04	3.21E-04	2.73E-04	1.10E-04
1:Del:T:1	1.29E-02	6.34E-02	2.25E-02	1.12E-02	3.25E-04	1.91E-06	8.16E-03	4.65E-06
1:Del:T:2	1.49E-02	4.35E-02	1.33E-02	4.60E-02	1.46E-04	8.56E-07	1.33E-02	1.98E-05
1:Del:T:3	2.44E-02	1.68E-02	2.37E-06	1.52E-02	4.52E-03	9.79E-07	2.66E-06	3.25E-06
1:Del:T:4	1.55E-02	1.29E-02	4.11E-06	6.71E-03	8.41E-03	1.33E-06	1.76E-02	1.10E-02
1:Del:T:5	1.46E-02	6.35E-03	2.34E-06	1.95E-03	1.44E-02	1.43E-07	7.51E-03	6.03E-06
1:Ins:C:0	4.68E-09	1.60E-03	3.20E-06	3.11E-03	4.04E-07	9.69E-04	1.81E-03	1.02E-03
1:Ins:C:1	4.59E-09	3.92E-03	2.67E-06	8.82E-03	1.44E-03	3.60E-03	4.27E-03	4.45E-03
1:Ins:C:2	3.81E-09	2.44E-06	1.64E-06	4.58E-03	1.07E-03	2.55E-03	3.38E-03	8.77E-03
1:Ins:C:3	4.97E-09	3.41E-03	7.07E-04	4.82E-03	1.02E-03	5.09E-04	4.42E-03	2.32E-03
1:Ins:C:4	5.07E-09	3.89E-03	2.71E-03	8.99E-03	1.72E-03	3.69E-03	4.48E-03	2.88E-03
1:Ins:C:5	4.02E-09	2.21E-06	1.74E-06	8.37E-03	6.89E-03	3.24E-03	1.35E-02	5.14E-03
1:Ins:T:0	5.22E-09	3.98E-06	1.45E-03	7.07E-03	1.07E-03	1.81E-03	4.27E-03	3.96E-03
1:Ins:T:1	2.87E-09	2.37E-02	8.84E-03	1.65E-02	4.53E-03	9.93E-03	2.03E-02	2.20E-02
