MutationType	ID1	ID2	ID7	ID11	ID13	ID15	ID83C	ID83D	ID83F	ID83H
1:Del:C:0	0.00015989	0.00482412	0.00046656	0.00157657	0.06554837	0.02652737	0.00183677	0.00383166	0.00196918	0.00294072
1:Del:C:1	0.00077352	0.00002210	0.00000000	0.00055032	0.01753646	0.12100979	0.80617184	0.02281169	0.00000577	0.00000808
1:Del:C:2	0.00000000	0.00000311	0.00856194	0.00035734	0.00512022	0.14782886	0.05099213	0.05647899	0.00000846	0.03674222
1:Del:C:3	0.00190761	0.00247208	0.04236015	0.00000000	0.00535052	0.13600606	0.00465847	0.02797750	0.00000178	0.05525028
1:Del:C:4	0.00070599	0.00385698	0.11489191	0.00000000	0.00434601	0.08419770	0.00035165	0.01244592	0.00000943	0.00875110
1:Del:C:5	0.00337011	0.01461542	0.25176314	0.00015647	0.00084306	0.01845829	0.00001076	0.00001631	0.00000788	0.00026918
1:Del:T:0	0.00131160	0.00790597	0.00266749	0.00094421	0.05369876	0.02395164	0.00032671	0.00093792	0.00118443	0.00018089
1:Del:T:1	0.00000000	0.00000000	0.00773273	0.00025851	0.49822416	0.07996011	0.05271823	0.01589224	0.00000833	0.00001026
1:Del:T:2	0.00093645	0.00703642	0.00025476	0.00051652	0.02377780	0.12041047	0.02793028	0.13347350	0.00000464	0.00003107
1:Del:T:3	0.00229585	0.02023474	0.02897274	0.00042568	0.06278095	0.11343122	0.00002177	0.02175325	0.00000449	0.00000863
1:Del:T:4	0.00429142	0.04711993	0.15885055	0.00193245	0.02300438	0.07917883	0.00002126	0.00890117	0.00000959	0.01096136
1:Del:T:5	0.00000000	0.81469723	0.00000019	0.00653939	0.00607958	0.04690321	0.00000611	0.00195753	0.00000027	0.00001097
1:Ins:C:0	0.00000000	0.00000000	0.00067237	0.00018624	0.00285043	0.00000000	0.00000568	0.00792501	0.00245368	0.00257789
1:Ins:C:1	0.00000000	0.00022703	0.00002620	0.16348288	0.00165226	0.00000000	0.00000529	0.02115638	0.01306754	0.01428403
1:Ins:C:2	0.00000000	0.00002620	0.00002580	0.09373884	0.00082125	0.00000000	0.00000361	0.00860255	0.00752519	0.01708976
1:Ins:C:3	0.00084599	0.00043005	0.00240773	0.03617564	0.00037556	0.00000000	0.00097409	0.01313506	0.00117385	0.00635491
1:Ins:C:4	0.00178553	0.00291185	0.01548543	0.01118979	0.00014858	0.00000000	0.00271143	0.02173568	0.01078458	0.00597423
1:Ins:C:5	0.02429654	0.00901754	0.06034323	0.00341224	0.00070698	0.00000000	0.00000327	0.01292021	0.00464848	0.00921610
1:Ins:T:0	0.00228382	0.00132856	0.00000136	0.00040694	0.04113701	0.00000000	0.00145520	0.01546012	0.00714839	0.01377140
1:Ins:T:1	0.00004030	0.00000000	0.00037365	0.31427728	0.00474885	0.00000000	0.00883848	0.02853741	0.02613741	0.06107161
1:Ins:T:2	0.00019286	0.00064703	0.01838271	0.16180782	0.00305417	0.00000000	0.00000402	0.01781020	0.00112842	0.02221670
1:Ins:T:3	0.00424327	0.00108288	0.00889164	0.10772533	0.00927186	0.00000000	0.00348819	0.01363722	0.00536031	0.02396597
1:Ins:T:4	0.01664913	0.00348746	0.01278797	0.04903068	0.01209864	0.00000000	0.00030842	0.00456378	0.00165178	0.00203155
1:Ins:T:5	0.89090647	0.00313258	0.01078985	0.02362904	0.01109979	0.00000000	0.00001024	0.00584275	0.00000610	0.03970012
2:Del:R:0	0.00068605	0.00016381	0.00002330	0.00000000	0.02218440	0.00000000	0.00000127	0.00000487	0.05072793	0.30605272
2:Del:R:1	0.00121997	0.00356888	0.00818230	0.00136310	0.00433321	0.00000000	0.00029284	0.00299406	0.00339027	0.00601313
2:Del:R:2	0.00047275	0.00184957	0.00899154	0.00015073	0.00310892	0.00000000	0.00015766	0.00062221	0.00006823	0.00055589
2:Del:R:3	0.00042672	0.00073904	0.07213214	0.00000000	0.00010557	0.00000000	0.00000609	0.00077487	0.00022154	0.00033281
2:Del:R:4	0.00005460	0.00088193	0.05225084	0.00000913	0.00000613	0.00000000	0.00000546	0.00001960	0.00186401	0.00054489
2:Del:R:5	0.00000000	0.00000000	0.05704633	0.00452771	0.00006630	0.00000000	0.00000789	0.00002102	0.00002446	0.00002566
3:Del:R:0	0.00012804	0.00001250	0.00062541	0.00018944	0.00303967	0.00000000	0.00869778	0.03727624	0.02093735	0.07996477
3:Del:R:1	0.00501109	0.00500326	0.01168900	0.00039086	0.00118696	0.00000000	0.00015751	0.00218064	0.00025249	0.00175491
3:Del:R:2	0.00076938	0.00228989	0.00547485	0.00017042	0.00038438	0.00009350	0.00023372	0.00014970	0.00066866	0.00132871
3:Del:R:3	0.00037126	0.00040259	0.00345675	0.00012758	0.00006900	0.00000000	0.00000789	0.00002102	0.00002446	0.00002566
3:Del:R:4	0.00000000	0.00000000	0.00049254	0.00120211	0.00000309	0.00000000	0.00000789	0.00002102	0.00002446	0.00002566
3:Del:R:5	0.00000000	0.00000000	0.00043659	0.00174236	0.00009960	0.00000000	0.00000789	0.00002102	0.00002446	0.00002566
4:Del:R:0	0.00009970	0.00001210	0.00013088	0.00000000	0.00215535	0.00000000	0.00412984	0.02871675	0.01815039	0.01364739
