Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-3C-AAAU-01	1	4	13	12	10	6	0	0
TCGA-3C-AALI-01	355	264	7	171	4	7	0	0
TCGA-3C-AALJ-01	10	0	8	15	1	0	11	21
TCGA-3C-AALK-01	6	6	17	0	4	1	27	3
TCGA-4H-AAAK-01	0	0	6	20	5	0	0	2
TCGA-5L-AAT0-01	60	100	0	91	0	0	28	0
TCGA-5L-AAT1-01	731	850	0	215	0	0	190	0
TCGA-5T-A9QA-01	0	2	24	0	2	0	25	0
TCGA-A1-A0SB-01	0	0	3	6	5	2	0	0
TCGA-A1-A0SD-01	1	1	13	8	1	0	0	16
TCGA-A1-A0SE-01	0	5	0	13	3	0	15	0
TCGA-A1-A0SF-01	6	36	7	0	3	0	12	0
TCGA-A1-A0SG-01	0	0	4	30	1	0	0	0
TCGA-A1-A0SH-01	33	41	5	0	4	9	46	0
TCGA-A1-A0SI-01	134	91	0	34	3	0	16	0
TCGA-A1-A0SJ-01	5	5	16	0	4	8	2	0
TCGA-A1-A0SK-01	2	1	17	11	0	24	0	29
TCGA-A1-A0SM-01	0	0	4	23	5	0	0	0
TCGA-A1-A0SN-01	18	6	9	32	2	7	1	1
TCGA-A1-A0SO-01	19	13	13	1	18	125	62	102
TCGA-A1-A0SP-01	0	2	14	0	7	18	29	0
TCGA-A2-A04N-01	1	6	8	19	3	0	0	16
TCGA-A2-A04R-01	8	2	7	8	7	27	5	38
TCGA-A2-A04U-01	3	0	12	23	5	24	0	0
TCGA-A2-A04W-01	62	44	2	67	11	0	1	0
TCGA-A2-A0CK-01	0	5	13	0	1	0	0	8
TCGA-A2-A0CL-01	81	72	27	18	2	0	0	0
TCGA-A2-A0CR-01	87	105	6	0	5	0	0	7
TCGA-A2-A0CS-01	0	1	18	1	6	0	0	22
TCGA-A2-A0CV-01	1	0	8	11	3	1	0	0
TCGA-A2-A0CW-01	12	19	17	2	0	11	2	21
TCGA-A2-A0D3-01	0	2	22	0	0	0	5	3
TCGA-A2-A0EN-01	0	1	7	10	1	0	0	20
TCGA-A2-A0EP-01	4	2	0	0	4	0	6	0
TCGA-A2-A0ES-01	0	0	2	5	1	0	5	6
TCGA-A2-A0EW-01	1	0	4	4	6	3	2	0
TCGA-A2-A0ST-01	2	2	6	4	4	0	0	10
TCGA-A2-A0SU-01	2	1	8	0	4	11	3	6
TCGA-A2-A0SX-01	4	4	7	0	6	0	20	0
TCGA-A2-A0SY-01	67	49	4	55	0	0	2	0
TCGA-A2-A0T0-01	17	9	9	0	43	99	40	0
TCGA-A2-A0T1-01	0	0	6	14	5	0	0	7
TCGA-A2-A0T3-01	1	1	12	0	0	4	21	5
TCGA-A2-A0T4-01	7	3	11	0	7	10	0	3
TCGA-A2-A0T5-01	0	2	6	0	0	2	0	3
TCGA-A2-A0T6-01	0	4	18	0	0	1	0	5
TCGA-A2-A0T7-01	0	4	10	5	1	4	0	5
TCGA-A2-A0YC-01	2	5	9	0	1	5	0	10
TCGA-A2-A0YD-01	19	25	7	36	0	0	0	0
TCGA-A2-A0YE-01	1	8	14	0	0	0	20	0
TCGA-A2-A0YF-01	0	2	7	1	0	0	24	5
TCGA-A2-A0YG-01	0	9	14	15	6	6	14	14
TCGA-A2-A0YH-01	29	17	11	15	0	5	17	6
TCGA-A2-A0YI-01	1	0	0	8	1	0	5	3
TCGA-A2-A0YJ-01	6	0	27	6	10	32	11	6
TCGA-A2-A0YK-01	246	203	5	14	1	0	9	0
TCGA-A2-A0YL-01	11	14	4	0	1	0	8	5
TCGA-A2-A0YM-01	20	18	25	24	8	6	0	8
TCGA-A2-A0YT-01	1	16	14	33	4	13	0	0
TCGA-A2-A1FV-01	0	10	16	1	5	7	1	10
TCGA-A2-A1FW-01	5	0	21	23	4	3	39	0
TCGA-A2-A1FX-01	0	0	5	7	0	5	11	0
TCGA-A2-A1FZ-01	1	1	8	0	7	0	3	9
TCGA-A2-A1G0-01	0	3	1	5	0	0	0	14
TCGA-A2-A1G1-01	0	4	6	0	1	6	9	13
TCGA-A2-A1G6-01	1	0	2	0	1	6	0	0
TCGA-A2-A259-01	1	3	2	14	0	5	4	0
TCGA-A2-A25A-01	32	46	10	0	2	17	22	0
TCGA-A2-A25B-01	3	4	5	28	9	30	43	6
TCGA-A2-A25C-01	1	2	0	0	7	8	20	1
TCGA-A2-A25D-01	4	6	8	2	8	0	8	28
TCGA-A2-A25E-01	2	6	5	3	11	29	0	5
TCGA-A2-A25F-01	0	0	0	0	0	3	0	3
TCGA-A2-A3KD-01	0	2	7	0	2	0	0	7
TCGA-A2-A3XT-01	29	2	5	0	16	38	0	32
TCGA-A2-A3XU-01	0	1	14	0	6	2	1	7
TCGA-A2-A3XV-01	0	0	7	12	10	0	0	19
TCGA-A2-A3XW-01	0	2	3	7	3	2	0	0
TCGA-A2-A3XX-01	0	3	11	13	5	20	0	0
TCGA-A2-A3XZ-01	14	8	8	18	1	3	0	0
TCGA-A2-A3Y0-01	44	8	19	6	38	86	0	42
TCGA-A2-A4S1-01	4	3	18	0	11	22	20	20
TCGA-A2-A4S2-01	0	7	7	0	7	0	0	22
TCGA-A2-A4S3-01	10	8	19	6	13	23	21	7
TCGA-A7-A0CE-01	2	5	4	3	9	22	16	0
TCGA-A7-A0CH-01	0	0	1	5	0	0	8	3
TCGA-A7-A0D9-01	1	2	2	1	1	0	5	0
TCGA-A7-A0DA-01	12	10	12	7	10	97	0	39
TCGA-A7-A0DB-01	10	11	12	0	4	0	0	16
TCGA-A7-A13D-01	14	5	17	13	6	73	0	12
TCGA-A7-A13E-01	6	0	42	7	6	16	1	2
TCGA-A7-A13F-01	3	0	13	23	4	0	2	0
TCGA-A7-A13G-01	2	8	9	0	4	9	0	0
TCGA-A7-A26E-01	2	19	15	23	3	0	0	5
TCGA-A7-A26F-01	1	3	11	15	0	7	2	7
TCGA-A7-A26G-01	9	9	6	0	6	15	9	14
TCGA-A7-A26H-01	47	35	28	0	0	0	32	8
TCGA-A7-A26I-01	2	6	5	3	4	9	11	6
TCGA-A7-A26J-01	2	1	4	6	0	9	12	8
TCGA-A7-A2KD-01	3	8	20	0	2	5	8	9
