Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-3C-AAAU-01	0	4	15	15	12	0	0	0
TCGA-3C-AALI-01	358	266	0	184	0	0	0	0
TCGA-3C-AALJ-01	10	0	8	18	0	0	0	30
TCGA-3C-AALK-01	6	7	19	0	0	0	32	0
TCGA-4H-AAAK-01	0	0	6	22	5	0	0	0
TCGA-5L-AAT0-01	64	105	0	110	0	0	0	0
TCGA-5L-AAT1-01	774	899	0	313	0	0	0	0
TCGA-5T-A9QA-01	0	0	25	0	0	0	28	0
TCGA-A1-A0SB-01	0	0	3	7	6	0	0	0
TCGA-A1-A0SD-01	0	0	13	11	0	0	0	16
TCGA-A1-A0SE-01	0	5	0	14	0	0	17	0
TCGA-A1-A0SF-01	6	38	7	0	0	0	13	0
TCGA-A1-A0SG-01	0	0	4	31	0	0	0	0
TCGA-A1-A0SH-01	35	43	0	0	0	0	60	0
TCGA-A1-A0SI-01	139	95	0	44	0	0	0	0
TCGA-A1-A0SJ-01	5	6	18	0	0	11	0	0
TCGA-A1-A0SK-01	0	0	16	14	0	25	0	29
TCGA-A1-A0SM-01	0	0	4	23	5	0	0	0
TCGA-A1-A0SN-01	18	6	9	32	2	7	1	1
TCGA-A1-A0SO-01	19	13	13	1	18	125	62	102
TCGA-A1-A0SP-01	0	0	16	0	0	19	35	0
TCGA-A2-A04N-01	0	6	9	20	0	0	0	18
TCGA-A2-A04R-01	8	2	7	8	7	27	5	38
TCGA-A2-A04U-01	0	0	13	26	0	28	0	0
TCGA-A2-A04W-01	65	46	0	76	0	0	0	0
TCGA-A2-A0CK-01	0	5	13	0	0	0	0	9
TCGA-A2-A0CL-01	86	79	35	0	0	0	0	0
TCGA-A2-A0CR-01	95	115	0	0	0	0	0	0
TCGA-A2-A0CS-01	0	0	21	0	0	0	0	27
TCGA-A2-A0CV-01	0	0	10	14	0	0	0	0
TCGA-A2-A0CW-01	13	20	18	0	0	0	0	33
TCGA-A2-A0D3-01	0	3	29	0	0	0	0	0
TCGA-A2-A0EN-01	0	0	7	12	0	0	0	20
TCGA-A2-A0EP-01	4	2	0	0	4	0	6	0
TCGA-A2-A0ES-01	0	0	2	8	0	0	0	9
TCGA-A2-A0EW-01	0	0	4	8	8	0	0	0
TCGA-A2-A0ST-01	3	3	7	0	4	0	0	11
TCGA-A2-A0SU-01	0	0	12	0	0	23	0	0
TCGA-A2-A0SX-01	4	4	7	0	6	0	20	0
TCGA-A2-A0SY-01	68	48	0	61	0	0	0	0
TCGA-A2-A0T0-01	17	9	9	0	43	99	40	0
TCGA-A2-A0T1-01	0	0	6	14	5	0	0	7
TCGA-A2-A0T3-01	0	0	14	0	0	0	30	0
TCGA-A2-A0T4-01	7	4	11	0	7	12	0	0
TCGA-A2-A0T5-01	0	2	7	0	0	0	0	4
TCGA-A2-A0T6-01	0	5	23	0	0	0	0	0
TCGA-A2-A0T7-01	0	5	13	0	0	0	0	11
TCGA-A2-A0YC-01	2	5	9	0	0	0	0	16
TCGA-A2-A0YD-01	19	25	7	36	0	0	0	0
TCGA-A2-A0YE-01	0	8	15	0	0	0	20	0
TCGA-A2-A0YF-01	0	0	8	0	0	0	31	0
TCGA-A2-A0YG-01	0	9	15	15	0	0	18	21
TCGA-A2-A0YH-01	31	17	11	17	0	0	24	0
TCGA-A2-A0YI-01	0	0	0	10	0	0	8	0
TCGA-A2-A0YJ-01	7	0	32	0	0	38	21	0
TCGA-A2-A0YK-01	261	217	0	0	0	0	0	0
TCGA-A2-A0YL-01	12	15	4	0	0	0	12	0
TCGA-A2-A0YM-01	24	20	30	35	0	0	0	0
TCGA-A2-A0YT-01	0	17	15	34	0	15	0	0
TCGA-A2-A1FV-01	0	11	19	0	0	0	0	20
TCGA-A2-A1FW-01	5	0	22	24	0	0	44	0
TCGA-A2-A1FX-01	0	0	6	9	0	0	13	0
TCGA-A2-A1FZ-01	0	0	8	0	8	0	0	13
TCGA-A2-A1G0-01	0	3	0	6	0	0	0	14
TCGA-A2-A1G1-01	0	4	6	0	0	0	12	17
TCGA-A2-A1G6-01	1	0	3	0	0	6	0	0
TCGA-A2-A259-01	0	3	0	19	0	7	0	0
TCGA-A2-A25A-01	35	49	10	0	0	0	35	0
TCGA-A2-A25B-01	3	4	5	28	9	30	43	6
TCGA-A2-A25C-01	0	0	0	0	8	0	31	0
TCGA-A2-A25D-01	5	7	9	0	8	0	0	35
TCGA-A2-A25E-01	0	7	7	0	12	35	0	0
TCGA-A2-A25F-01	0	0	0	0	0	0	0	6
TCGA-A2-A3KD-01	0	2	8	0	0	0	0	8
TCGA-A2-A3XT-01	29	0	0	0	19	37	0	37
TCGA-A2-A3XU-01	0	0	14	0	6	0	0	11
TCGA-A2-A3XV-01	0	0	7	12	10	0	0	19
TCGA-A2-A3XW-01	0	2	4	11	0	0	0	0
TCGA-A2-A3XX-01	0	3	12	15	0	22	0	0
TCGA-A2-A3XZ-01	15	9	9	19	0	0	0	0
TCGA-A2-A3Y0-01	45	9	20	0	38	86	0	45
TCGA-A2-A4S1-01	5	0	19	0	11	29	34	0
TCGA-A2-A4S2-01	0	7	7	0	7	0	0	22
TCGA-A2-A4S3-01	10	8	19	6	13	23	21	7
TCGA-A7-A0CE-01	0	5	5	0	9	23	19	0
TCGA-A7-A0CH-01	0	0	0	7	0	0	10	0
TCGA-A7-A0D9-01	1	3	2	0	0	0	6	0
TCGA-A7-A0DA-01	13	11	15	0	0	102	0	46
TCGA-A7-A0DB-01	10	12	13	0	0	0	0	18
TCGA-A7-A13D-01	15	0	17	23	0	85	0	0
TCGA-A7-A13E-01	7	0	49	0	0	24	0	0
TCGA-A7-A13F-01	3	0	15	27	0	0	0	0
TCGA-A7-A13G-01	2	8	10	0	0	12	0	0
TCGA-A7-A26E-01	0	21	17	29	0	0	0	0
TCGA-A7-A26F-01	0	3	12	19	0	12	0	0
TCGA-A7-A26G-01	10	10	8	0	0	20	0	20
TCGA-A7-A26H-01	48	36	29	0	0	0	37	0
TCGA-A7-A26I-01	2	6	5	3	4	9	11	6
TCGA-A7-A26J-01	0	0	4	10	0	12	16	0
TCGA-A7-A2KD-01	3	9	24	0	0	0	0	19
TCGA-A7-A3RF-01	0	2	7	0	6	0	0	25
TCGA-A7-A425-01	0	0	13	0	0	0	0	20
TCGA-A7-A4SC-01	0	0	8	13	0	0	17	0
TCGA-A7-A4SD-01	0	0	32	12	0	18	0	0
TCGA-A7-A4SE-01	31	13	0	0	18	51	33	0
TCGA-A7-A56D-01	50	72	36	0	0	0	67	0
TCGA-A7-A5ZV-01	31	7	31	21	25	96	6	51
TCGA-A7-A5ZW-01	9	7	9	0	11	0	0	0
TCGA-A7-A5ZX-01	0	4	0	26	0	12	0	0
TCGA-A7-A6VV-01	10	0	19	0	0	0	0	35
TCGA-A7-A6VW-01	5	5	10	0	13	23	0	36
TCGA-A7-A6VX-01	14	31	7	1	17	46	30	31
TCGA-A7-A6VY-01	14	7	7	20	17	71	0	0
TCGA-A8-A075-01	12	18	8	0	0	0	22	40
TCGA-AC-A23C-01	25	38	10	0	23	0	49	0
TCGA-AC-A23E-01	0	0	12	0	0	0	12	0
TCGA-AC-A23H-01	3507	2871	0	0	0	0	0	0
TCGA-AC-A2B8-01	44	51	10	0	0	0	23	0
TCGA-AC-A2BK-01	6	0	32	0	20	52	0	0
TCGA-AC-A2BM-01	4	0	9	0	0	0	0	13
TCGA-AC-A2FB-01	0	5	4	0	0	0	0	8
TCGA-AC-A2FF-01	3	2	0	6	0	0	0	0
TCGA-AC-A2FG-01	0	10	10	19	0	0	0	0
TCGA-AC-A2FK-01	0	1	0	0	0	0	0	2
TCGA-AC-A2FO-01	5	8	0	14	0	0	0	0
TCGA-AC-A2QH-01	2	2	12	0	4	7	0	0
TCGA-AC-A3HN-01	2	2	7	0	5	0	0	6
TCGA-AC-A3OD-01	0	10	10	19	0	0	0	0
TCGA-AC-A3QP-01	0	0	0	13	5	0	0	17
TCGA-AC-A3QQ-01	0	0	15	0	0	0	21	0
TCGA-AC-A3W5-01	48	27	29	0	0	107	0	0
TCGA-AC-A3YI-01	0	0	0	10	3	0	0	5
TCGA-AC-A3YJ-01	0	5	13	0	0	0	10	10
TCGA-AC-A4ZE-01	0	10	17	0	13	15	0	19
