MutationType	ID1	ID2	ID7	ID11	ID13	ID15	ID18	ID83B	ID83C	ID83D	ID83G	ID83I
1:Del:C:0	0.00015989	0.00482412	0.00046656	0.00157657	0.06554837	0.02652737	0.00601205	0.00050751	0.00291062	0.00024410	0.00071114	0.00561370
1:Del:C:1	0.00077352	0.00002210	0.00000000	0.00055032	0.01753646	0.12100979	0.00200402	0.01403366	0.01528982	0.87111272	0.00000409	0.00000409
1:Del:C:2	0.00000000	0.00000311	0.00856194	0.00035734	0.00512022	0.14782886	0.00200402	0.32163790	0.01682203	0.01644079	0.00000720	0.00000452
1:Del:C:3	0.00190761	0.00247208	0.04236015	0.00000000	0.00535052	0.13600606	0.00400803	0.23413455	0.02454659	0.00002424	0.00000176	0.00000535
1:Del:C:4	0.00070599	0.00385698	0.11489191	0.00000000	0.00434601	0.08419770	0.00000000	0.09245457	0.06196696	0.00001647	0.00000808	0.00001470
1:Del:C:5	0.00337011	0.01461542	0.25176314	0.00015647	0.00084306	0.01845829	0.00200402	0.00713973	0.00747765	0.00001355	0.00000743	0.00001872
1:Del:T:0	0.00131160	0.00790597	0.00266749	0.00094421	0.05369876	0.02395164	0.08617269	0.00023937	0.00067292	0.00000728	0.00165354	0.00027504
1:Del:T:1	0.00000000	0.00000000	0.00773273	0.00025851	0.49822416	0.07996011	0.17234538	0.03841443	0.02888117	0.03502243	0.00000487	0.00000384
1:Del:T:2	0.00093645	0.00703642	0.00025476	0.00051652	0.02377780	0.12041047	0.11823695	0.04341535	0.30288857	0.01530456	0.00000556	0.00000695
1:Del:T:3	0.00229585	0.02023474	0.02897274	0.00042568	0.06278095	0.11343122	0.23847791	0.02859609	0.00724269	0.00043229	0.00000358	0.00000483
1:Del:T:4	0.00429142	0.04711993	0.15885055	0.00193245	0.02300438	0.07917883	0.09018072	0.04052509	0.01987833	0.00001242	0.00005869	0.00000559
1:Del:T:5	0.00000000	0.81469723	0.00000019	0.00653939	0.00607958	0.04690321	0.07014056	0.01627430	0.00966433	0.00000755	0.00000000	0.00000170
1:Ins:C:0	0.00000000	0.00000000	0.00067237	0.00018624	0.00285043	0.00000000	0.00000000	0.00092717	0.00001491	0.00000734	0.00332268	0.00718899
1:Ins:C:1	0.00000000	0.00022703	0.00002620	0.16348288	0.00165226	0.00000000	0.00200402	0.00887958	0.00861532	0.00361026	0.00279647	0.02304572
1:Ins:C:2	0.00000000	0.00002620	0.00002580	0.09373884	0.00082125	0.00000000	0.00000000	0.00108281	0.01281397	0.00495844	0.00264873	0.01902345
1:Ins:C:3	0.00084599	0.00043005	0.00240773	0.03617564	0.00037556	0.00000000	0.00000000	0.00718216	0.00781214	0.00000724	0.00253813	0.00846919
1:Ins:C:4	0.00178553	0.00291185	0.01548543	0.01118979	0.00014858	0.00000000	0.00000000	0.00267532	0.00947253	0.00327471	0.01027829	0.01797412
1:Ins:C:5	0.02429654	0.00901754	0.06034323	0.00341224	0.00070698	0.00000000	0.00000000	0.00000347	0.00026821	0.00304010	0.00001997	0.02353803
1:Ins:T:0	0.00228382	0.00132856	0.00000136	0.00040694	0.04113701	0.00000000	0.00000000	0.00362465	0.01128344	0.00294554	0.00345445	0.01512185
1:Ins:T:1	0.00004030	0.00000000	0.00037365	0.31427728	0.00474885	0.00000000	0.00200402	0.00000154	0.09497353	0.00000370	0.02516283	0.04286708
1:Ins:T:2	0.00019286	0.00064703	0.01838271	0.16180782	0.00305417	0.00000000	0.00000000	0.00000188	0.01696588	0.00565962	0.00309786	0.01646577
1:Ins:T:3	0.00424327	0.00108288	0.00889164	0.10772533	0.00927186	0.00000000	0.00200001	0.00723197	0.01483133	0.00000820	0.00539208	0.00720530
1:Ins:T:4	0.01664913	0.00348746	0.01278797	0.04903068	0.01209864	0.00000000	0.00801606	0.00045614	0.00974938	0.00110814	0.00094721	0.00510487
1:Ins:T:5	0.89090647	0.00313258	0.01078985	0.02362904	0.01109979	0.00000000	0.00400803	0.00000074	0.00000722	0.00000503	0.00591249	0.01370602
2:Del:R:0	0.00068605	0.00016381	0.00002330	0.00000000	0.02218440	0.00000000	0.00000000	0.00706697	0.00000271	0.00000212	0.02398270	0.37839222
2:Del:R:1	0.00121997	0.00356888	0.00818230	0.00136310	0.00433321	0.00000000	0.03607229	0.00118576	0.00797056	0.00144557	0.00267156	0.00870990
2:Del:R:2	0.00047275	0.00184957	0.00899154	0.00015073	0.00310892	0.00000000	0.00200402	0.00000977	0.00118023	0.00025500	0.00012911	0.00079422
2:Del:R:3	0.00042672	0.00073904	0.07213214	0.00000000	0.00010557	0.00000000	0.00000000	0.00044387	0.00060000	0.00000806	0.00033819	0.00084855
2:Del:R:4	0.00005460	0.00088193	0.05225084	0.00000913	0.00000613	0.00000000	0.00200402	0.00007749	0.00048876	0.00048904	0.00141277	0.00042570
2:Del:R:5	0.00000000	0.00000000	0.05704633	0.00452771	0.00006630	0.00000000	0.00000000	0.00000583	0.00001685	0.00001092	0.00002351	0.00002792
3:Del:R:0	0.00012804	0.00001250	0.00062541	0.00018944	0.00303967	0.00000000	0.00400803	0.00631045	0.05501662	0.00000211	0.02825439	0.05101206
3:Del:R:1	0.00501109	0.00500326	0.01168900	0.00039086	0.00118696	0.00000000	0.00601205	0.00000451	0.00152001	0.00059245	0.00119314	0.00324154
3:Del:R:2	0.00076938	0.00228989	0.00547485	0.00017042	0.00038438	0.00009350	0.00000000	0.00000703	0.00051288	0.00040818	0.00036500	0.00156392
3:Del:R:3	0.00037126	0.00040259	0.00345675	0.00012758	0.00006900	0.00000000	0.00000000	0.00000583	0.00001685	0.00001092	0.00002351	0.00002792
3:Del:R:4	0.00000000	0.00000000	0.00049254	0.00120211	0.00000309	0.00000000	0.00000000	0.00000583	0.00001685	0.00001092	0.00002351	0.00002792
3:Del:R:5	0.00000000	0.00000000	0.00043659	0.00174236	0.00009960	0.00000000	0.00000000	0.00000583	0.00001685	0.00001092	0.00002351	0.00002792
4:Del:R:0	0.00009970	0.00001210	0.00013088	0.00000000	0.00215535	0.00000000	0.00400803	0.00000483	0.03781337	0.00000478	0.00805477	0.06394924
4:Del:R:1	0.00090050	0.00211579	0.00339680	0.00035550	0.00002300	0.00000000	0.00200402	0.00000432	0.00155438	0.00027095	0.00023305	0.00161247
4:Del:R:2	0.00000323	0.00054329	0.00277739	0.00000000	0.00007920	0.00000000	0.00000000	0.00000583	0.00001685	0.00001092	0.00002351	0.00002792
4:Del:R:3	0.00000000	0.00000727	0.00043959	0.00031214	0.00003920	0.00000139	0.00000000	0.00000583	0.00001685	0.00001092	0.00002351	0.00002792
4:Del:R:4	0.00000000	0.00000000	0.00020181	0.00068737	0.00000947	0.00000000	0.00000000	0.00000583	0.00001685	0.00001092	0.00002351	0.00002792
4:Del:R:5	0.00002890	0.00021041	0.00025076	0.00015760	0.00006300	0.00000176	0.00000000	0.00000583	0.00001685	0.00001092	0.00002351	0.00002792
5:Del:R:0	0.00000835	0.00003850	0.00008550	0.00128145	0.02009754	0.00028402	0.02404819	0.00000210	0.00000151	0.00000036	0.57525853	0.00000463
5:Del:R:1	0.00019068	0.00297751	0.00347673	0.00047463	0.00298053	0.00000000	0.00000000	0.00000583	0.00001685	0.00001092	0.00002351	0.00002792
5:Del:R:2	0.00012636	0.00039753	0.00116890	0.00000000	0.00006990	0.00000000	0.00000000	0.00000583	0.00001685	0.00001092	0.00002351	0.00002792
5:Del:R:3	0.00001890	0.00015815	0.00040662	0.00000000	0.00000640	0.00000125	0.00000000	0.00000583	0.00001685	0.00001092	0.00002351	0.00002792
5:Del:R:4	0.00000311	0.00008470	0.00012588	0.00000000	0.00000146	0.00000000	0.00000000	0.00000583	0.00001685	0.00001092	0.00002351	0.00002792
5:Del:R:5	0.00003130	0.00002120	0.00002080	0.00000008	0.00000235	0.00000174	0.00000000	0.00000583	0.00001685	0.00001092	0.00002351	0.00002792
2:Ins:R:0	0.00040204	0.00033185	0.00003040	0.00019047	0.01061841	0.00000000	0.00000000	0.00517623	0.00743360	0.00363428	0.00253752	0.00697468
2:Ins:R:1	0.00000788	0.00027166	0.00039763	0.00000000	0.00180137	0.00000000	0.00000000	0.00348386	0.00987280	0.00000518	0.00401106	0.01253961
2:Ins:R:2	0.00022135	0.00103534	0.00007010	0.00024788	0.00068852	0.00000000	0.00000000	0.00000650	0.00179579	0.00295225	0.00349370	0.00736665
2:Ins:R:3	0.00051427	0.00038133	0.00314704	0.00037236	0.00074354	0.00000000	0.00200402	0.00000530	0.00001559	0.00001035	0.00002174	0.00003077
2:Ins:R:4	0.00291310	0.00197742	0.00182828	0.00044238	0.00021335	0.00000000	0.00000000	0.00000445	0.00131704	0.00013158	0.00012321	0.00112312
2:Ins:R:5	0.01812158	0.01363338	0.00024477	0.00028880	0.00084658	0.00000000	0.00200402	0.00000434	0.00172957	0.00058216	0.00057633	0.00071252
3:Ins:R:0	0.00000031	0.00005780	0.00000000	0.00000000	0.00008210	0.00000000	0.00400803	0.00055595	0.00549644	0.00287068	0.00147729	0.00387110
3:Ins:R:1	0.00025469	0.00122705	0.00000551	0.00020708	0.00368833	0.00000000	0.00000000	0.00136250	0.00356277	0.00051219	0.00125529	0.00188894
3:Ins:R:2	0.00004410	0.00021007	0.00005470	0.00022153	0.00020251	0.00000000	0.00000000	0.00031261	0.00036724	0.00097737	0.00140757	0.00198125
3:Ins:R:3	0.00016670	0.00000302	0.00017783	0.00002180	0.00002370	0.00000000	0.00000000	0.00000583	0.00001685	0.00001092	0.00002351	0.00002792
3:Ins:R:4	0.00008890	0.00014181	0.00041561	0.00000000	0.00000349	0.00000000	0.00000000	0.00000423	0.00001612	0.00034643	0.00032817	0.00014455
