MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
1:Del:C:0	1.86E-06	3.55E-04	1.29E-03	1.62E-04	3.93E-08	1.62E-03	4.79E-04	1.11E-03	1.92E-03
1:Del:C:1	1.35E-02	9.73E-03	1.06E-02	2.95E-02	1.24E-07	9.96E-03	6.03E-07	1.18E-06	5.22E-07
1:Del:C:2	2.44E-02	4.98E-02	1.68E-02	1.15E-02	2.44E-07	2.16E-02	1.18E-06	1.85E-06	7.17E-07
1:Del:C:3	2.18E-02	4.12E-02	1.72E-02	3.12E-06	2.51E-03	1.77E-02	4.54E-07	1.58E-06	1.25E-06
1:Del:C:4	1.56E-02	2.50E-02	3.12E-02	2.55E-06	4.91E-03	1.28E-02	1.53E-06	1.25E-06	2.31E-06
1:Del:C:5	3.38E-03	3.44E-03	6.48E-03	2.06E-06	5.70E-03	2.60E-03	1.06E-06	8.80E-04	3.32E-06
1:Del:T:0	5.10E-04	1.61E-04	5.47E-04	1.77E-06	2.56E-07	1.08E-03	3.76E-04	4.48E-04	1.27E-04
1:Del:T:1	1.03E-02	1.50E-02	1.42E-02	1.97E-02	5.14E-04	5.70E-02	9.69E-07	8.99E-03	8.26E-07
1:Del:T:2	2.49E-02	1.88E-02	7.02E-02	1.07E-02	5.94E-06	2.95E-02	8.02E-07	1.46E-06	1.16E-06
1:Del:T:3	2.77E-02	1.71E-02	7.20E-03	4.17E-04	3.63E-03	6.83E-03	7.01E-07	1.26E-06	1.28E-06
1:Del:T:4	2.91E-02	1.90E-02	1.46E-02	2.50E-06	8.05E-03	8.09E-03	4.83E-05	2.45E-06	8.15E-07
1:Del:T:5	1.75E-02	8.61E-03	6.74E-03	2.13E-06	1.56E-02	8.59E-03	2.76E-46	1.27E-06	1.12E-06
1:Ins:C:0	5.10E-07	9.18E-04	2.90E-06	2.61E-06	2.67E-04	1.67E-03	1.05E-03	1.32E-03	1.97E-03
1:Ins:C:1	2.63E-07	5.36E-03	4.86E-03	3.61E-03	3.92E-09	5.31E-03	1.94E-03	6.60E-03	6.11E-03
1:Ins:C:2	3.86E-07	1.08E-03	5.11E-03	3.48E-03	1.38E-03	2.87E-03	1.55E-03	2.83E-03	5.95E-03
1:Ins:C:3	1.62E-06	5.17E-03	4.00E-03	2.51E-06	2.32E-04	5.19E-03	1.42E-03	3.94E-03	2.78E-03
1:Ins:C:4	1.30E-06	1.85E-03	5.44E-03	3.27E-03	2.30E-03	1.43E-03	3.06E-03	6.01E-03	6.72E-03
1:Ins:C:5	3.01E-07	1.48E-06	1.77E-04	3.04E-03	7.88E-03	1.18E-02	2.23E-06	1.16E-02	1.14E-02
1:Ins:T:0	1.34E-07	2.24E-03	5.56E-03	2.14E-03	3.98E-04	3.69E-03	1.47E-03	7.56E-03	3.88E-03
1:Ins:T:1	5.57E-09	6.83E-07	3.14E-02	1.65E-06	5.17E-05	1.49E-02	1.08E-02	2.91E-02	1.48E-02
1:Ins:T:2	3.72E-07	9.70E-07	7.16E-03	3.93E-03	1.62E-03	4.83E-03	1.79E-03	6.88E-03	5.94E-03
1:Ins:T:3	1.27E-06	7.23E-03	6.40E-03	2.72E-06	1.49E-03	7.31E-03	2.40E-03	4.73E-03	3.22E-03
1:Ins:T:4	1.87E-03	4.45E-04	3.05E-03	1.10E-03	6.25E-04	2.17E-03	6.11E-04	9.00E-04	2.09E-03
1:Ins:T:5	1.69E-07	4.14E-07	2.83E-06	2.89E-06	1.21E-02	5.22E-06	5.87E-03	2.82E-02	9.64E-03
2:Del:R:0	9.81E-08	7.07E-03	1.28E-06	1.44E-06	3.31E-03	2.07E-06	1.31E-02	6.99E-04	3.09E-02
2:Del:R:1	5.70E-07	1.09E-03	3.31E-03	1.44E-03	3.05E-04	1.97E-03	1.06E-03	2.69E-03	2.38E-03
2:Del:R:2	5.90E-07	5.53E-06	6.30E-04	1.71E-04	2.71E-07	2.79E-06	7.53E-05	9.01E-05	2.58E-04
2:Del:R:3	6.78E-07	3.94E-04	3.52E-04	2.01E-06	2.10E-07	1.97E-04	2.11E-04	3.18E-04	2.76E-04
2:Del:R:4	6.43E-07	7.33E-05	4.00E-04	4.81E-04	2.41E-04	1.06E-04	2.96E-04	7.14E-04	1.68E-04
2:Del:R:5	8.39E-07	2.00E-06	2.86E-06	2.36E-06	3.12E-07	2.97E-06	4.56E-07	1.09E-06	5.86E-07
3:Del:R:0	2.41E-02	6.29E-03	2.35E-02	1.15E-06	2.34E-03	1.29E-02	9.96E-03	1.65E-02	1.43E-02
3:Del:R:1	1.40E-03	1.76E-06	1.05E-03	5.05E-04	1.03E-03	5.20E-04	5.65E-04	1.51E-03	1.74E-03
3:Del:R:2	7.26E-05	3.13E-06	3.15E-04	3.09E-04	1.71E-04	2.89E-06	1.65E-04	2.79E-04	4.12E-04
3:Del:R:3	8.39E-07	2.00E-06	2.86E-06	2.36E-06	3.12E-07	2.97E-06	4.56E-07	1.09E-06	5.86E-07
3:Del:R:4	8.39E-07	2.00E-06	2.86E-06	2.36E-06	3.12E-07	2.97E-06	4.56E-07	1.09E-06	5.86E-07
3:Del:R:5	8.39E-07	2.00E-06	2.86E-06	2.36E-06	3.12E-07	2.97E-06	4.56E-07	1.09E-06	5.86E-07
4:Del:R:0	9.42E-07	2.33E-06	1.40E-02	2.00E-06	5.68E-04	1.08E-02	3.25E-03	9.95E-03	1.64E-02
4:Del:R:1	7.37E-07	1.61E-06	6.45E-04	2.64E-04	2.23E-07	1.58E-03	1.09E-04	4.51E-04	3.95E-04
4:Del:R:2	8.39E-07	2.00E-06	2.86E-06	2.36E-06	3.12E-07	2.97E-06	4.56E-07	1.09E-06	5.86E-07
4:Del:R:3	8.39E-07	2.00E-06	2.86E-06	2.36E-06	3.12E-07	2.97E-06	4.56E-07	1.09E-06	5.86E-07
4:Del:R:4	8.39E-07	2.00E-06	2.86E-06	2.36E-06	3.12E-07	2.97E-06	4.56E-07	1.09E-06	5.86E-07
4:Del:R:5	8.39E-07	2.00E-06	2.86E-06	2.36E-06	3.12E-07	2.97E-06	4.56E-07	1.09E-06	5.86E-07
5:Del:R:0	4.58E-09	1.12E-06	5.75E-07	2.06E-07	8.41E-05	8.77E-07	2.50E-02	2.93E-06	2.14E-06
5:Del:R:1	8.39E-07	2.00E-06	2.86E-06	2.36E-06	3.12E-07	2.97E-06	4.56E-07	1.09E-06	5.86E-07
5:Del:R:2	8.39E-07	2.00E-06	2.86E-06	2.36E-06	3.12E-07	2.97E-06	4.56E-07	1.09E-06	5.86E-07
5:Del:R:3	8.39E-07	2.00E-06	2.86E-06	2.36E-06	3.12E-07	2.97E-06	4.56E-07	1.09E-06	5.86E-07
5:Del:R:4	8.39E-07	2.00E-06	2.86E-06	2.36E-06	3.12E-07	2.97E-06	4.56E-07	1.09E-06	5.86E-07
5:Del:R:5	8.39E-07	2.00E-06	2.86E-06	2.36E-06	3.12E-07	2.97E-06	4.56E-07	1.09E-06	5.86E-07
2:Ins:R:0	5.05E-07	4.17E-03	3.07E-03	2.43E-03	3.30E-08	1.42E-02	1.35E-03	3.10E-03	2.44E-03
2:Ins:R:1	4.06E-07	2.42E-03	4.33E-03	1.69E-06	3.31E-04	7.74E-03	1.86E-03	4.72E-03	4.40E-03
2:Ins:R:2	3.90E-03	3.62E-06	1.78E-03	2.07E-03	1.16E-03	7.83E-03	1.48E-03	4.31E-03	2.64E-03
2:Ins:R:3	6.66E-07	1.92E-06	2.70E-06	2.33E-06	1.81E-04	1.33E-04	5.12E-07	8.55E-05	4.02E-06
2:Ins:R:4	5.94E-07	1.73E-06	5.58E-04	1.23E-04	3.18E-04	3.22E-04	7.43E-05	3.22E-04	4.47E-04
2:Ins:R:5	5.68E-07	1.79E-06	1.03E-03	4.36E-04	1.98E-04	1.07E-04	2.34E-04	8.99E-04	2.69E-04
3:Ins:R:0	5.56E-07	5.52E-04	3.35E-03	1.72E-03	6.48E-04	2.29E-03	6.07E-04	1.18E-03	1.41E-03
3:Ins:R:1	1.02E-03	8.39E-04	1.61E-03	5.01E-04	1.89E-04	1.21E-03	5.17E-04	1.33E-03	7.78E-04
3:Ins:R:2	4.49E-07	2.35E-04	2.87E-04	7.59E-04	2.68E-04	6.59E-04	4.96E-04	1.42E-03	6.12E-04
3:Ins:R:3	8.39E-07	2.00E-06	2.86E-06	2.36E-06	3.12E-07	2.97E-06	4.56E-07	1.09E-06	5.86E-07
3:Ins:R:4	5.51E-07	1.56E-06	3.55E-06	3.39E-04	2.47E-04	2.32E-04	1.09E-04	3.24E-04	1.20E-04
3:Ins:R:5	3.40E-04	5.13E-04	5.13E-04	2.15E-06	2.61E-04	6.76E-04	1.80E-06	6.37E-04	1.18E-03
