Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
2*,1.0,1.0,YES,Most Stab Sigs,19.32%,96.64%,187.37%,65.78%,101.2,0.8121,3.6465,0.232,0.837,0.694,0.002
3*,0.97,0.91,YES,Most Stab Sigs,18.17%,91.49%,188.27%,61.44%,97.88,0.7873,3.2607,0.216,0.783,0.707,0.011
4*,0.92,0.86,YES,Most Stab Sigs,14.64%,87.5%,186.77%,60.24%,98.44,0.7714,3.3334,0.207,0.793,0.719,0.053
5*,0.71,0.25,YES,Most Stab Sigs,19.2%,85.71%,182.33%,58.69%,96.65,0.7501,3.0215,0.195,0.74,0.735,0.084
6*,0.64,-0.06,YES,Most Stab Sigs,13.4%,84.85%,181.17%,58.15%,96.52,0.7353,2.9809,0.191,0.733,0.742,0.108
7*,0.57,-0.09,YES,Most Stab Sigs,12.13%,84.47%,182.15%,57.62%,95.52,0.7284,2.8737,0.185,0.704,0.75,0.158
8*,0.49,-0.24,YES,Most Stab Sigs,11.01%,83.19%,181.97%,56.9%,95.5,0.717,2.7957,0.179,0.7,0.759,0.171
9*,0.41,-0.21,YES,Most Stab Sigs,15.86%,81.28%,182.22%,55.01%,97.74,0.7135,3.22,0.17,0.731,0.771,0.162
10*,0.38,-0.07,YES,Most Stab Sigs,11.9%,81.76%,181.4%,54.39%,95.08,0.6978,2.7491,0.164,0.69,0.78,0.19
11*,0.39,-0.13,YES,Most Stab Sigs,14.06%,80.29%,179.4%,52.78%,94.26,0.6851,2.8109,0.158,0.666,0.789,0.231
12*,0.4,-0.13,YES,Most Stab Sigs,16.48%,77.12%,176.92%,50.44%,96.43,0.6778,3.1134,0.143,0.712,0.808,0.175
13*,0.4,0.03,YES,Most Stab Sigs,13.83%,76.61%,176.33%,51.64%,93.49,0.6617,2.6429,0.146,0.644,0.804,0.264
14*,0.39,-0.06,YES,Most Stab Sigs,14.11%,75.97%,178.02%,49.5%,93.57,0.6582,2.6059,0.136,0.644,0.819,0.264
15*,0.35,-0.1,YES,Most Stab Sigs,12.55%,74.23%,168.23%,48.69%,92.42,0.6432,2.5754,0.132,0.618,0.824,0.294
