Samples	SBS1	SBS2	SBS5	SBS13
PD3851a_exome37	16	11	60	0
PD3890a_exome37	0	22	187	43
PD3904a_exome37	0	25	216	26
PD3905a_exome37	15	13	171	48
PD3945a_exome37	18	19	287	55
PD4005a_exome37	0	38	185	76
PD4006a_exome37	33	0	336	0
PD4085a_exome37	20	0	95	0
PD4086a_exome37	0	19	72	27
PD4088a_exome37	12	0	63	0
PD4103a_exome37	37	28	145	31
PD4107a_exome37	32	0	374	0
PD4109a_exome37	65	33	230	80
PD4115a_exome37	38	0	371	0
PD4116a_exome37	1	0	304	44
PD4120a_exome37	0	1873	0	2182
PD4192a_exome37	19	21	122	28
PD4194a_exome37	11	0	56	0
PD4198a_exome37	44	0	169	0
PD4199a_exome37	58	132	0	190
PD4248a_exome37	11	0	114	0
