Samples	SBS96A	SBS96B	SBS96C	SBS96D
PD3851a_exome37	4.45E+00	1.30E+01	8.40E+00	1.34E+01
PD3890a_exome37	3.14E+00	2.14E+01	2.46E+01	4.40E+00
PD3904a_exome37	4.87E+00	3.64E+01	3.15E+01	7.85E+00
PD3905a_exome37	5.56E+00	2.69E+01	2.49E+01	6.69E+00
PD3945a_exome37	4.55E+00	4.77E+01	4.43E+01	1.26E+01
PD4005a_exome37	5.76E+00	3.33E+01	3.50E+01	0.00E+00
PD4006a_exome37	2.00E-01	3.66E+01	2.44E+01	1.68E+01
PD4085a_exome37	1.60E+00	1.29E+01	9.11E+00	1.55E+01
PD4086a_exome37	8.36E+00	1.56E+01	1.27E+01	1.45E+01
PD4088a_exome37	2.82E+00	1.17E+01	2.60E+00	1.03E+01
PD4103a_exome37	3.44E+00	2.53E+01	1.24E+01	1.55E+01
PD4107a_exome37	3.44E+00	5.34E+01	4.79E+01	1.44E+01
PD4109a_exome37	1.65E+01	2.10E+01	2.39E+01	1.44E+01
PD4115a_exome37	1.98E+00	4.62E+01	3.75E+01	1.72E+01
PD4116a_exome37	3.48E+00	1.76E+01	1.60E+01	0.00E+00
PD4120a_exome37	2.13E+01	0.00E+00	1.20E+00	2.16E+01
PD4192a_exome37	5.02E+00	6.20E+00	1.20E+01	1.66E+01
PD4194a_exome37	2.20E+00	9.83E+00	5.14E+00	7.78E+00
PD4198a_exome37	5.35E+00	1.47E+01	9.80E+00	2.14E+01
PD4199a_exome37	1.71E+01	1.74E+00	4.20E+00	1.95E+01
PD4248a_exome37	1.86E+00	2.17E+01	7.08E+00	1.52E+01
