Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
PD3851a_exome37	2.07E+00	0.00E+00	4.00E-01	0.00E+00	7.60E+00	1.78E+01	1.00E+00	1.91E+01
PD3890a_exome37	7.82E+00	1.62E+01	3.98E+01	6.02E+00	4.24E+01	4.00E+00	9.80E+00	0.00E+00
PD3904a_exome37	9.01E+00	3.85E+01	5.40E+00	7.60E+00	1.40E+00	2.00E-01	4.54E+01	2.70E+01
PD3905a_exome37	9.62E+00	1.40E+01	1.42E+01	1.30E+01	2.43E+01	1.14E+01	2.84E+01	8.58E+00
PD3945a_exome37	5.15E+00	2.43E+01	7.85E+00	4.44E+01	1.16E+01	1.90E+01	2.61E+01	2.16E+01
PD4005a_exome37	2.21E+01	4.27E+01	1.12E+01	4.06E+01	5.40E+00	3.40E+00	1.88E+01	2.68E+01
PD4006a_exome37	2.20E+00	1.43E+01	6.09E+01	9.69E+00	7.40E+00	2.59E+01	4.48E+01	7.17E+00
PD4085a_exome37	1.40E+00	9.20E+00	2.40E+00	1.80E+00	1.89E+01	5.55E+00	2.06E+01	4.66E+00
PD4086a_exome37	5.11E+00	1.40E+00	0.00E+00	3.80E+00	1.95E+01	0.00E+00	5.40E+00	2.61E+01
PD4088a_exome37	2.82E+00	0.00E+00	1.60E+00	2.16E+00	3.58E+00	9.53E+00	9.44E+00	3.54E+00
PD4103a_exome37	5.70E+00	0.00E+00	0.00E+00	0.00E+00	4.97E+01	3.84E+01	3.94E+01	1.52E+01
PD4107a_exome37	3.04E+00	7.41E+01	3.48E+01	1.43E+01	1.00E+01	5.80E+00	6.33E+01	1.51E+01
PD4109a_exome37	1.46E+01	2.80E+00	2.14E+01	2.32E+01	2.58E+01	3.84E+01	3.98E+01	8.92E+00
PD4115a_exome37	0.00E+00	3.47E+01	3.03E+01	2.24E+01	2.52E+01	2.39E+01	4.00E-01	1.03E+01
PD4116a_exome37	4.88E+00	5.02E+01	3.12E+01	8.00E-01	8.20E+00	6.00E-01	1.52E+01	2.07E+01
PD4120a_exome37	4.26E+01	0.00E+00	0.00E+00	4.74E+01	4.66E+00	0.00E+00	2.38E+01	1.32E+01
PD4192a_exome37	5.78E+00	6.79E+00	1.76E+01	4.80E+00	9.52E+00	8.39E+00	2.43E+01	3.49E+01
PD4194a_exome37	0.00E+00	0.00E+00	0.00E+00	4.80E+00	1.17E+01	1.00E+01	4.35E+00	1.33E+01
PD4198a_exome37	4.55E+00	0.00E+00	1.13E+01	0.00E+00	5.60E+00	2.54E+01	1.34E+01	1.04E+01
PD4199a_exome37	6.32E+01	0.00E+00	5.60E+00	8.70E+01	1.84E+01	0.00E+00	2.40E+01	2.71E+00
PD4248a_exome37	4.00E-01	3.00E+00	1.06E+01	1.14E+01	5.89E+00	1.28E+01	6.55E+00	2.39E+01
