Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
1*,1.0,1.0,YES,Most Stab Sigs,85.05%,183.15%,195.6%,96.72%,101.68,2.5229,3.808,0.679,0.91,0.286,0.043
2,0.44,0.25,NO,N/A,76.76%,168.45%,191.6%,90.05%,101.19,2.2346,3.1844,0.595,0.866,0.378,0.066
3,0.38,0.2,NO,N/A,70.34%,164.1%,195.7%,86.0%,101.8,1.9031,3.8344,0.51,0.924,0.471,0.034
4,0.29,0.13,NO,N/A,64.89%,149.16%,184.75%,86.64%,101.4,1.8019,5.745,0.441,0.82,0.544,0.13
5,0.2,0.09,NO,N/A,69.65%,149.43%,189.3%,82.86%,101.26,1.7694,5.4516,0.448,0.829,0.537,0.14
6,0.38,-0.04,NO,N/A,58.7%,122.67%,186.7%,76.91%,98.92,1.2532,2.7122,0.347,0.792,0.641,0.18
7,0.37,0.19,NO,N/A,58.03%,100.2%,181.2%,60.29%,104.37,1.1554,2.3629,0.305,0.815,0.686,0.165
8,0.43,-0.08,NO,N/A,53.16%,95.52%,180.1%,53.3%,104.58,0.9131,2.3097,0.242,0.787,0.751,0.192
9,0.28,-0.31,NO,N/A,53.62%,102.48%,173.5%,61.84%,95.9,1.1894,5.2552,0.284,0.692,0.708,0.29
10,0.33,-0.13,NO,N/A,53.24%,104.38%,156.1%,61.69%,90.37,1.1679,5.1208,0.206,0.53,0.787,0.449
11,0.35,-0.02,NO,N/A,45.07%,70.48%,160.15%,54.63%,92.98,0.6464,1.6127,0.16,0.611,0.836,0.361
