Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
PD3851a_exome37	9.17E-01	0.00E+00	9.65E+00	0.00E+00	0.00E+00	1.66E+00	9.70E+00	1.71E+01	7.19E+00	1.37E+01
PD3890a_exome37	9.60E+00	1.80E+01	2.40E+00	1.54E+01	3.89E+01	0.00E+00	2.89E+01	1.34E+01	3.67E+01	0.00E+00
PD3904a_exome37	7.64E+00	3.40E+00	3.05E+01	1.40E+00	2.24E+01	2.36E+01	0.00E+00	1.61E+01	3.65E+01	0.00E+00
PD3905a_exome37	8.14E+00	1.15E+01	0.00E+00	1.82E+01	2.57E+01	8.80E+00	0.00E+00	1.73E+01	4.59E+01	3.06E+01
PD3945a_exome37	7.74E+00	3.56E+00	2.85E+01	8.20E+00	3.67E+01	3.16E+01	3.81E+01	1.98E+01	1.67E+01	5.20E+00
PD4005a_exome37	1.37E+01	2.75E+01	3.02E+01	0.00E+00	0.00E+00	4.83E+01	6.00E-01	0.00E+00	9.20E+00	8.40E+00
PD4006a_exome37	0.00E+00	2.93E+00	1.14E+01	4.49E+01	1.81E+01	0.00E+00	3.37E+01	0.00E+00	0.00E+00	1.95E+01
PD4085a_exome37	8.00E-01	0.00E+00	6.05E+00	8.60E+00	3.80E+00	1.13E+01	8.72E+00	2.44E+01	0.00E+00	8.91E+00
PD4086a_exome37	7.91E+00	8.24E+00	0.00E+00	0.00E+00	1.60E+01	0.00E+00	8.60E+00	7.20E+00	2.18E+01	4.20E+00
PD4088a_exome37	4.82E+00	0.00E+00	7.94E+00	0.00E+00	0.00E+00	1.49E+01	7.94E+00	9.61E+00	1.20E+00	3.60E+00
PD4103a_exome37	4.51E+00	8.20E+00	0.00E+00	2.40E+00	1.01E+01	1.45E+01	3.00E+00	3.19E+01	2.49E+01	4.70E+01
PD4107a_exome37	5.56E+00	2.80E+00	2.22E+01	4.09E+01	4.69E+01	3.00E+00	0.00E+00	1.76E+01	7.04E+00	6.65E+00
PD4109a_exome37	1.26E+01	1.21E+01	3.00E+00	3.30E+01	0.00E+00	6.26E+01	3.76E+01	0.00E+00	0.00E+00	2.48E+01
PD4115a_exome37	0.00E+00	2.80E+00	4.26E+01	1.24E+01	6.94E+01	2.09E+01	1.32E+01	2.44E+01	6.80E+00	4.00E+00
PD4116a_exome37	7.66E+00	1.43E+01	5.30E+01	2.13E+01	3.75E+01	1.49E+01	1.48E+01	0.00E+00	7.94E+00	0.00E+00
PD4120a_exome37	3.60E+02	3.78E+02	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.20E+00	1.92E+01	1.82E+01
PD4192a_exome37	8.01E+00	8.09E+00	0.00E+00	2.71E+01	0.00E+00	0.00E+00	0.00E+00	1.48E+01	8.00E-01	3.67E+01
PD4194a_exome37	0.00E+00	6.00E-01	1.20E+00	0.00E+00	1.22E+01	7.80E+00	0.00E+00	7.02E+00	1.38E+01	4.80E+00
PD4198a_exome37	5.67E+00	2.80E+00	5.20E+00	1.68E+01	4.60E+00	2.00E-01	2.13E+01	2.59E+01	1.11E+01	1.18E+01
PD4199a_exome37	4.28E+01	7.33E+01	0.00E+00	0.00E+00	0.00E+00	1.96E+00	0.00E+00	1.41E+01	0.00E+00	7.40E+01
PD4248a_exome37	1.70E+00	0.00E+00	9.27E+00	1.08E+01	0.00E+00	1.80E+00	1.39E+01	0.00E+00	4.66E+00	9.35E+00
