Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
PD3851a_exome37	2.77E+00	3.20E+00	1.21E+01	1.52E+01	1.24E+01
PD3890a_exome37	1.25E+01	4.84E+00	1.49E+01	1.98E+01	2.86E+01
PD3904a_exome37	6.92E+00	2.27E+01	6.40E+00	3.02E+01	0.00E+00
PD3905a_exome37	2.89E+00	1.60E+01	2.21E+01	1.78E+01	1.53E+01
PD3945a_exome37	1.53E+00	4.02E+01	3.65E+01	2.00E+01	1.04E+01
PD4005a_exome37	8.13E+00	3.31E+01	2.31E+01	4.53E+01	8.85E+00
PD4006a_exome37	1.03E+00	3.44E+01	3.92E+01	2.54E+01	2.34E+01
PD4085a_exome37	4.00E-01	9.00E+00	1.05E+01	9.72E+00	9.12E+00
PD4086a_exome37	7.62E+00	6.00E-01	1.20E+00	0.00E+00	6.82E+00
PD4088a_exome37	3.34E+00	3.81E+00	2.20E+00	8.20E+00	8.46E+00
PD4103a_exome37	6.83E+00	0.00E+00	2.38E+01	2.99E+01	1.83E+01
PD4107a_exome37	0.00E+00	2.04E+01	3.28E+01	2.64E+01	1.24E+01
PD4109a_exome37	1.44E+01	2.82E+01	3.80E+01	5.72E+01	3.51E+01
PD4115a_exome37	2.00E+00	2.00E+01	6.00E+00	3.06E+01	1.16E+01
PD4116a_exome37	3.89E+00	2.23E+01	2.09E+01	1.60E+01	1.44E+01
PD4120a_exome37	1.84E+01	0.00E+00	0.00E+00	1.35E+01	1.82E+01
PD4192a_exome37	6.17E+00	1.00E+01	3.03E+01	2.82E+01	6.41E+00
PD4194a_exome37	1.60E+00	4.42E+00	5.48E+00	1.24E+01	1.30E+01
PD4198a_exome37	6.01E+00	9.77E+00	1.81E+01	2.04E+01	1.04E+01
PD4199a_exome37	1.36E+01	3.20E+00	2.27E+01	0.00E+00	2.89E+01
PD4248a_exome37	1.59E+00	7.84E+00	1.83E+01	1.74E+01	1.06E+01
