Samples	SBS96A	SBS96B	SBS96C
PD3851a_exome37	1.78E+00	8.58E+00	8.32E+00
PD3890a_exome37	5.98E+00	2.28E+01	2.68E+01
PD3904a_exome37	1.66E+00	2.19E+01	2.21E+01
PD3905a_exome37	2.49E+00	2.96E+01	2.88E+01
PD3945a_exome37	6.68E+00	3.22E+01	3.40E+01
PD4005a_exome37	5.57E+00	2.42E+01	2.82E+01
PD4006a_exome37	6.00E-01	2.25E+01	2.28E+01
PD4085a_exome37	2.73E+00	1.28E+01	1.30E+01
PD4086a_exome37	3.09E+00	9.81E+00	9.71E+00
PD4088a_exome37	3.40E+00	7.81E+00	9.96E+00
PD4103a_exome37	3.90E+00	2.63E+01	2.35E+01
PD4107a_exome37	4.49E+00	3.06E+01	3.39E+01
PD4109a_exome37	4.83E+00	2.85E+01	3.10E+01
PD4115a_exome37	6.22E+00	1.97E+01	1.92E+01
PD4116a_exome37	7.05E+00	2.91E+01	3.52E+01
PD4120a_exome37	8.36E+00	1.40E+00	8.60E+00
PD4192a_exome37	8.56E+00	9.69E+00	1.77E+01
PD4194a_exome37	2.14E+00	1.19E+01	1.21E+01
PD4198a_exome37	4.35E+00	2.52E+01	2.87E+01
PD4199a_exome37	7.58E+00	6.18E+00	6.11E+00
PD4248a_exome37	2.54E+00	1.75E+01	1.97E+01
