Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
PD3851a_exome37	12	0	0	0	63	12
PD3890a_exome37	0	114	38	89	12	0
PD3904a_exome37	47	1	189	0	16	16
PD3905a_exome37	0	83	67	81	2	14
PD3945a_exome37	51	21	224	0	83	0
PD4005a_exome37	99	0	198	0	0	4
PD4006a_exome37	9	267	3	0	82	8
PD4085a_exome37	4	1	26	1	18	65
PD4086a_exome37	0	36	0	67	16	0
PD4088a_exome37	12	0	0	0	63	0
PD4103a_exome37	11	0	0	56	3	171
PD4107a_exome37	3	254	39	26	49	35
PD4109a_exome37	46	78	27	61	69	127
PD4115a_exome37	0	136	174	26	73	0
PD4116a_exome37	40	192	117	0	0	0
PD4120a_exome37	3931	0	0	125	0	0
PD4192a_exome37	43	86	0	0	0	61
PD4194a_exome37	0	6	0	10	25	26
PD4198a_exome37	11	10	0	18	132	42
PD4199a_exome37	119	0	0	244	0	19
PD4248a_exome37	9	3	15	0	9	89
