Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
PD3851a_exome37	9	0	0	0	5	0	55	15	3
PD3890a_exome37	0	75	26	114	0	38	0	0	0
PD3904a_exome37	0	48	62	8	58	7	0	86	0
PD3905a_exome37	0	53	84	0	0	91	19	0	0
PD3945a_exome37	47	0	7	0	225	46	0	54	0
PD4005a_exome37	74	19	121	0	83	0	0	0	4
PD4006a_exome37	9	0	0	223	71	47	3	16	0
PD4085a_exome37	0	0	1	0	0	24	16	60	14
PD4086a_exome37	13	31	0	0	0	62	0	0	13
PD4088a_exome37	2	0	0	0	0	0	0	41	32
PD4103a_exome37	0	55	35	0	0	0	150	0	1
PD4107a_exome37	13	0	72	56	0	207	22	36	0
PD4109a_exome37	83	0	12	52	92	31	79	0	59
PD4115a_exome37	0	0	122	150	88	0	18	8	23
PD4116a_exome37	8	14	163	53	28	27	0	56	0
PD4120a_exome37	2606	1450	0	0	0	0	0	0	0
PD4192a_exome37	42	0	40	56	0	0	52	0	0
PD4194a_exome37	0	5	0	1	0	15	15	18	13
PD4198a_exome37	0	0	0	23	14	4	45	11	116
PD4199a_exome37	203	83	0	0	0	0	0	0	96
PD4248a_exome37	0	3	15	4	0	0	45	47	11
