Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
PD3851a_exome37	1.38E+00	0.00E+00	0.00E+00	0.00E+00	5.77E+00	0.00E+00	1.00E+01	1.69E+01	8.69E+00
PD3890a_exome37	7.80E+00	1.97E+01	1.36E+01	3.98E+01	1.36E+01	1.11E+01	7.60E+00	1.20E+01	0.00E+00
PD3904a_exome37	1.28E+01	2.13E+01	2.22E+01	3.60E+00	3.44E+01	8.52E+00	5.18E+00	2.31E+01	0.00E+00
PD3905a_exome37	8.59E+00	1.67E+01	1.01E+01	7.13E+00	3.60E+00	2.08E+01	1.42E+01	1.22E+01	7.76E+00
PD3945a_exome37	5.29E+00	8.04E+00	1.08E+01	1.66E+01	4.22E+01	1.07E+01	7.86E+00	1.73E+01	4.69E+01
PD4005a_exome37	1.43E+01	1.44E+01	4.23E+01	0.00E+00	2.26E+01	2.18E+01	5.60E+00	1.34E+01	3.36E+01
PD4006a_exome37	6.00E-01	8.00E-01	4.45E+00	5.21E+01	2.17E+01	2.57E+01	1.27E+01	2.67E+01	1.32E+01
PD4085a_exome37	1.20E+00	8.00E-01	7.55E+00	0.00E+00	1.08E+01	1.76E+01	1.26E+01	1.97E+01	6.18E+00
PD4086a_exome37	9.01E+00	1.06E+01	0.00E+00	0.00E+00	0.00E+00	2.00E+01	2.80E+00	2.80E+00	1.44E+01
PD4088a_exome37	0.00E+00	2.91E+00	1.80E+00	0.00E+00	1.20E+01	3.00E+00	1.03E+01	1.31E+01	1.25E+01
PD4103a_exome37	5.73E+00	1.14E+01	1.68E+01	0.00E+00	0.00E+00	0.00E+00	3.50E+01	2.58E+01	2.39E+01
PD4107a_exome37	5.73E+00	0.00E+00	2.19E+01	3.26E+01	8.00E-01	5.62E+01	1.86E+01	0.00E+00	2.17E+01
PD4109a_exome37	2.41E+01	1.62E+01	0.00E+00	3.24E+01	2.45E+01	2.56E+01	1.45E+01	4.56E+01	3.74E+01
PD4115a_exome37	7.31E+00	4.20E+00	4.23E+01	4.06E+01	3.02E+01	1.02E+01	5.01E+00	1.90E+01	2.22E+01
PD4116a_exome37	9.08E+00	1.04E+01	6.33E+01	1.98E+01	4.50E+01	1.45E+01	1.68E+01	5.45E+01	1.20E+00
PD4120a_exome37	8.05E+02	7.89E+02	2.46E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.48E+01	0.00E+00
PD4192a_exome37	9.31E+00	1.35E+01	2.06E+01	2.50E+01	0.00E+00	9.56E+00	2.50E+01	2.00E-01	0.00E+00
PD4194a_exome37	8.00E-01	9.50E+00	0.00E+00	0.00E+00	2.00E-01	6.45E+00	6.74E+00	1.23E+01	1.34E+01
PD4198a_exome37	4.40E+00	5.61E+00	0.00E+00	3.82E+01	1.28E+01	1.14E+01	2.95E+01	1.12E+01	3.56E+01
PD4199a_exome37	4.55E+01	3.38E+01	0.00E+00	4.00E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.88E+01
PD4248a_exome37	2.00E+00	0.00E+00	9.00E+00	1.15E+01	0.00E+00	6.20E+00	2.16E+01	1.48E+01	8.72E+00
