Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
PD3851a_exome37	12	0	0	0	51	0	0	24	0	0
PD3890a_exome37	33	2	0	156	0	0	54	0	8	0
PD3904a_exome37	37	0	97	71	5	42	0	0	17	0
PD3905a_exome37	11	0	32	40	10	0	150	4	0	0
PD3945a_exome37	23	22	218	0	0	30	32	34	16	4
PD4005a_exome37	62	44	159	0	0	22	14	0	0	0
PD4006a_exome37	0	18	7	32	18	5	18	258	0	13
PD4085a_exome37	2	0	10	10	16	0	0	0	49	28
PD4086a_exome37	13	0	0	0	6	0	95	0	1	4
PD4088a_exome37	6	0	7	0	0	0	0	0	0	62
PD4103a_exome37	45	0	0	7	126	0	3	0	60	0
PD4107a_exome37	0	0	4	132	54	91	5	27	83	10
PD4109a_exome37	0	132	52	0	89	59	0	7	0	69
PD4115a_exome37	0	19	102	165	69	15	0	28	0	11
PD4116a_exome37	0	0	29	57	0	201	31	31	0	0
PD4120a_exome37	3073	983	0	0	0	0	0	0	0	0
PD4192a_exome37	25	12	0	29	32	64	0	27	1	0
PD4194a_exome37	0	0	0	4	9	0	17	0	30	7
PD4198a_exome37	10	0	0	0	14	0	0	26	114	49
PD4199a_exome37	189	83	0	0	24	0	63	0	0	23
PD4248a_exome37	6	0	33	0	18	0	0	11	48	9
