Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K
PD3851a_exome37	0	0	0	0	0	53	0	27	3	4	0
PD3890a_exome37	4	67	98	0	0	0	0	0	71	0	13
PD3904a_exome37	33	49	0	58	0	0	0	74	55	0	0
PD3905a_exome37	0	22	86	34	0	22	0	0	67	0	16
PD3945a_exome37	44	0	10	98	182	0	8	37	0	0	0
PD4005a_exome37	94	18	0	151	30	0	8	0	0	0	0
PD4006a_exome37	0	63	0	0	144	0	30	53	0	79	0
PD4085a_exome37	0	0	0	0	34	16	17	22	15	0	11
PD4086a_exome37	2	0	22	0	0	3	0	0	46	0	46
PD4088a_exome37	0	0	9	9	0	10	8	32	0	0	7
PD4103a_exome37	21	0	0	0	7	184	18	11	0	0	0
PD4107a_exome37	0	47	0	28	14	0	4	13	82	218	0
PD4109a_exome37	59	29	24	27	0	0	215	28	0	14	12
PD4115a_exome37	0	188	1	70	24	13	53	16	32	0	12
PD4116a_exome37	24	152	46	14	113	0	0	0	0	0	0
PD4120a_exome37	3679	0	345	0	0	0	0	31	0	0	1
PD4192a_exome37	32	80	0	0	0	19	20	0	0	35	4
PD4194a_exome37	0	0	9	2	0	35	13	8	0	0	0
PD4198a_exome37	0	0	0	40	1	69	29	17	11	31	15
PD4199a_exome37	177	2	6	7	0	0	9	0	0	0	181
PD4248a_exome37	0	0	0	20	5	49	1	50	0	0	0
