Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L
PD3851a_exome37	9	0	0	0	0	10	25	0	0	0	0	43
PD3890a_exome37	17	18	51	0	104	11	0	7	45	0	0	0
PD3904a_exome37	40	0	0	70	5	96	0	16	6	36	0	0
PD3905a_exome37	0	37	31	0	16	30	0	33	100	0	0	0
PD3945a_exome37	0	15	49	221	0	21	30	0	7	36	0	0
PD4005a_exome37	7	110	6	0	0	133	0	0	0	45	0	0
PD4006a_exome37	0	0	8	38	229	0	88	0	0	6	0	0
PD4085a_exome37	0	0	0	0	0	0	0	16	6	53	5	35
PD4086a_exome37	11	27	0	8	3	0	0	0	50	0	0	20
PD4088a_exome37	0	0	18	0	0	0	0	0	0	24	7	26
PD4103a_exome37	33	1	10	0	0	0	178	0	0	10	0	9
PD4107a_exome37	1	0	0	55	63	0	0	149	45	49	0	44
PD4109a_exome37	0	60	0	32	4	0	15	31	0	4	262	0
PD4115a_exome37	0	20	1	0	75	210	0	21	21	0	21	40
PD4116a_exome37	0	21	31	152	37	14	0	94	0	0	0	0
PD4120a_exome37	2299	1237	520	0	0	0	0	0	0	0	0	0
PD4192a_exome37	28	9	1	0	0	0	17	135	0	0	0	0
PD4194a_exome37	0	0	0	0	0	0	6	0	41	0	20	0
PD4198a_exome37	0	0	19	0	0	7	83	0	45	12	15	32
PD4199a_exome37	88	208	0	0	0	0	38	0	0	0	0	48
PD4248a_exome37	1	0	0	0	4	0	45	0	0	75	0	0
