Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L
PD3851a_exome37	3.74E+00	0.00E+00	1.20E+00	0.00E+00	1.02E+01	0.00E+00	1.49E+01	0.00E+00	0.00E+00	0.00E+00	3.80E+00	1.92E+01
PD3890a_exome37	2.07E+00	1.20E+01	3.94E+01	0.00E+00	2.64E+01	2.00E-01	0.00E+00	1.76E+01	1.07E+01	1.04E+01	2.44E+01	0.00E+00
PD3904a_exome37	1.13E+01	5.20E+00	8.93E+00	5.23E+01	0.00E+00	3.45E+01	0.00E+00	2.01E+01	3.74E+00	1.77E+01	0.00E+00	0.00E+00
PD3905a_exome37	8.61E+00	5.20E+00	1.65E+01	0.00E+00	0.00E+00	1.39E+01	0.00E+00	1.22E+01	3.59E+01	1.24E+01	1.04E+01	2.79E+01
PD3945a_exome37	2.00E+00	7.07E+00	9.64E+00	4.89E+01	2.00E-01	3.52E+01	2.72E+01	0.00E+00	1.24E+01	2.22E+01	0.00E+00	8.40E+00
PD4005a_exome37	1.97E+01	2.42E+01	5.78E+00	0.00E+00	0.00E+00	4.49E+01	0.00E+00	0.00E+00	0.00E+00	4.93E+01	2.26E+01	0.00E+00
PD4006a_exome37	0.00E+00	0.00E+00	0.00E+00	2.78E+01	4.20E+01	4.40E+00	2.95E+01	1.52E+01	6.20E+00	0.00E+00	7.00E+00	3.71E+00
PD4085a_exome37	0.00E+00	0.00E+00	1.40E+00	0.00E+00	0.00E+00	0.00E+00	7.47E+00	1.17E+01	5.60E+00	1.45E+01	9.80E+00	2.27E+01
PD4086a_exome37	6.74E+00	9.83E+00	1.60E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.21E+01	0.00E+00	0.00E+00	2.00E+01
PD4088a_exome37	1.00E+00	0.00E+00	4.27E+00	0.00E+00	0.00E+00	6.58E+00	0.00E+00	0.00E+00	8.58E+00	1.50E+01	6.00E+00	1.25E+01
PD4103a_exome37	1.27E+01	6.20E+00	1.43E+01	0.00E+00	0.00E+00	0.00E+00	4.41E+01	0.00E+00	8.00E-01	0.00E+00	4.00E+01	2.44E+01
PD4107a_exome37	5.40E+00	1.30E+01	1.17E+00	5.38E+01	5.02E+01	9.40E+00	0.00E+00	6.49E+01	1.60E+01	3.09E+01	7.80E+00	1.81E+01
PD4109a_exome37	2.73E+00	1.64E+01	0.00E+00	0.00E+00	1.54E+01	9.20E+00	1.98E+01	5.32E+01	0.00E+00	1.59E+01	7.68E+01	0.00E+00
PD4115a_exome37	0.00E+00	8.15E+00	5.40E+00	1.00E+00	2.19E+01	3.93E+01	6.86E+00	2.16E+01	2.10E+01	2.37E+00	1.35E+01	1.73E+01
PD4116a_exome37	9.71E+00	6.31E+00	2.44E+01	5.89E+01	1.40E+00	2.64E+01	0.00E+00	2.86E+01	0.00E+00	1.96E+01	1.88E+01	1.58E+01
PD4120a_exome37	4.01E+02	4.54E+02	3.77E+02	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	7.80E+00	0.00E+00	0.00E+00	3.16E+00
PD4192a_exome37	8.17E+00	4.40E+00	0.00E+00	0.00E+00	1.86E+01	7.27E+00	1.43E+01	3.09E+01	0.00E+00	0.00E+00	1.12E+01	1.60E+00
PD4194a_exome37	6.00E-01	0.00E+00	0.00E+00	1.80E+00	0.00E+00	0.00E+00	1.35E+01	0.00E+00	1.36E+01	1.80E+00	4.00E+00	1.60E+00
PD4198a_exome37	2.00E+00	0.00E+00	2.48E+01	0.00E+00	0.00E+00	0.00E+00	2.58E+01	7.20E+00	2.35E+01	1.40E+01	8.06E+00	1.22E+01
PD4199a_exome37	3.24E+01	5.08E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.00E+00	0.00E+00	0.00E+00	3.02E+01
PD4248a_exome37	1.40E+00	0.00E+00	4.40E+00	0.00E+00	3.80E+00	3.00E+00	1.47E+01	0.00E+00	0.00E+00	2.31E+01	0.00E+00	6.72E+00
