Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M
PD3851a_exome37	1	0	0	0	0	0	0	0	73	0	0	13	0
PD3890a_exome37	31	0	10	18	15	13	0	166	0	0	0	0	0
PD3904a_exome37	35	0	45	55	0	0	0	0	0	0	38	64	32
PD3905a_exome37	0	30	0	5	14	25	0	106	0	14	52	1	0
PD3945a_exome37	0	38	220	0	26	6	28	0	0	0	37	0	24
PD4005a_exome37	0	79	63	0	0	112	0	0	0	0	0	15	32
PD4006a_exome37	0	0	0	10	261	49	38	0	7	0	0	3	1
PD4085a_exome37	0	0	0	0	0	0	5	0	7	1	0	0	102
PD4086a_exome37	5	22	0	0	0	0	12	19	0	0	61	0	0
PD4088a_exome37	5	0	0	0	0	0	12	0	18	0	0	40	0
PD4103a_exome37	0	35	0	0	0	21	0	0	90	79	16	0	0
PD4107a_exome37	0	0	0	310	7	44	24	1	20	0	0	0	0
PD4109a_exome37	0	55	18	0	0	71	184	0	0	65	0	0	15
PD4115a_exome37	0	0	91	50	29	11	11	49	0	49	0	110	9
PD4116a_exome37	0	21	160	73	13	30	0	41	0	0	11	0	0
PD4120a_exome37	2920	1136	0	0	0	0	0	0	0	0	0	0	0
PD4192a_exome37	29	6	0	24	27	35	0	0	0	69	0	0	0
PD4194a_exome37	0	0	0	0	0	0	0	3	0	35	29	0	0
PD4198a_exome37	0	0	0	0	14	4	60	0	95	0	5	22	13
PD4199a_exome37	0	305	0	0	0	0	40	11	25	1	0	0	0
PD4248a_exome37	0	0	3	0	15	0	0	0	24	11	54	0	18
