Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M
PD3851a_exome37	1.36E+00	2.00E-01	0.00E+00	0.00E+00	2.00E+00	0.00E+00	2.20E+00	0.00E+00	1.72E+01	4.00E-01	0.00E+00	1.67E+01	2.60E+00
PD3890a_exome37	1.47E+01	8.80E+00	1.80E+00	9.40E+00	8.40E+00	7.35E+00	0.00E+00	2.64E+01	0.00E+00	0.00E+00	0.00E+00	5.20E+00	8.49E+00
PD3904a_exome37	7.38E+00	1.41E+01	1.72E+01	4.50E+01	0.00E+00	2.00E+00	0.00E+00	7.00E+00	0.00E+00	6.00E+00	5.24E+01	3.79E+01	2.04E+01
PD3905a_exome37	5.26E+00	8.26E+00	0.00E+00	0.00E+00	2.00E+01	2.40E+00	0.00E+00	4.40E+01	2.80E+00	2.75E+01	1.42E+01	4.16E+01	1.13E+01
PD3945a_exome37	7.09E+00	3.89E+00	6.19E+01	0.00E+00	3.67E+00	0.00E+00	2.29E+01	0.00E+00	0.00E+00	0.00E+00	2.35E+01	0.00E+00	3.00E+01
PD4005a_exome37	1.00E+00	1.93E+01	1.46E+01	0.00E+00	0.00E+00	4.71E+01	0.00E+00	1.58E+01	0.00E+00	0.00E+00	1.02E+01	3.54E+01	4.82E+01
PD4006a_exome37	0.00E+00	3.20E+00	0.00E+00	1.42E+01	2.77E+01	0.00E+00	1.89E+01	0.00E+00	1.20E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
PD4085a_exome37	0.00E+00	0.00E+00	6.00E-01	0.00E+00	0.00E+00	0.00E+00	7.00E+00	1.00E+00	0.00E+00	4.67E+00	1.98E+01	0.00E+00	2.09E+01
PD4086a_exome37	7.18E+00	4.84E+00	0.00E+00	1.64E+01	0.00E+00	0.00E+00	1.94E+01	1.66E+01	0.00E+00	0.00E+00	2.00E+01	7.40E+00	0.00E+00
PD4088a_exome37	0.00E+00	2.20E+00	0.00E+00	0.00E+00	0.00E+00	6.60E+00	1.04E+01	0.00E+00	1.45E+01	9.74E+00	0.00E+00	1.12E+01	0.00E+00
PD4103a_exome37	7.00E+00	1.27E+01	0.00E+00	0.00E+00	0.00E+00	2.96E+01	0.00E+00	4.00E-01	4.49E+01	3.80E+01	7.22E+00	0.00E+00	4.80E+00
PD4107a_exome37	7.60E+00	5.83E-01	0.00E+00	4.60E+01	1.02E+01	2.00E+00	1.46E+01	0.00E+00	0.00E+00	2.00E+00	1.65E+01	1.42E+01	1.00E+00
PD4109a_exome37	1.74E+01	1.80E+01	0.00E+00	1.64E+01	1.52E+01	8.16E+01	7.47E+01	0.00E+00	0.00E+00	3.24E+01	0.00E+00	6.90E+01	0.00E+00
PD4115a_exome37	0.00E+00	3.00E+00	2.78E+01	2.68E+01	2.13E+01	1.20E+00	2.51E+01	2.36E+01	3.16E+00	3.60E+01	3.50E+00	1.87E+01	3.73E+01
PD4116a_exome37	6.64E+00	0.00E+00	5.57E+01	9.43E+00	0.00E+00	6.82E+01	1.26E+01	0.00E+00	0.00E+00	2.37E+01	2.96E+01	7.76E+00	0.00E+00
PD4120a_exome37	3.72E+02	3.97E+02	0.00E+00	0.00E+00	0.00E+00	2.42E+01	1.79E+01	0.00E+00	0.00E+00	0.00E+00	8.40E+00	0.00E+00	1.28E+01
PD4192a_exome37	5.18E+00	7.04E+00	0.00E+00	2.20E+01	9.40E+00	1.40E+01	2.60E+01	0.00E+00	7.40E+00	3.04E+01	2.40E+00	8.20E+00	5.40E+00
PD4194a_exome37	9.80E-01	8.00E-01	0.00E+00	4.20E+00	0.00E+00	0.00E+00	5.60E+00	0.00E+00	0.00E+00	1.36E+01	9.17E+00	5.80E+00	8.14E+00
PD4198a_exome37	8.44E+00	1.40E+00	0.00E+00	1.80E+00	1.86E+01	1.84E+01	2.01E+01	0.00E+00	3.04E+01	6.81E+00	9.95E+00	1.46E+01	0.00E+00
PD4199a_exome37	0.00E+00	2.77E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.02E+01	1.90E+01	0.00E+00	0.00E+00	8.40E+00	0.00E+00	1.32E+01
PD4248a_exome37	0.00E+00	2.00E-01	0.00E+00	0.00E+00	1.26E+01	0.00E+00	0.00E+00	1.22E+01	1.35E+01	4.80E+00	3.05E+01	1.20E+01	1.24E+01
