Samples	SBS96A	SBS96B	SBS96C
PD3851a_exome37	14	3	70
PD3890a_exome37	56	154	43
PD3904a_exome37	48	221	0
PD3905a_exome37	52	119	76
PD3945a_exome37	54	271	54
PD4005a_exome37	104	176	21
PD4006a_exome37	3	257	109
PD4085a_exome37	7	43	65
PD4086a_exome37	42	11	66
PD4088a_exome37	12	15	48
PD4103a_exome37	55	9	177
PD4107a_exome37	15	277	114
PD4109a_exome37	88	99	221
PD4115a_exome37	13	297	99
PD4116a_exome37	40	305	4
PD4120a_exome37	4036	20	0
PD4192a_exome37	44	91	55
PD4194a_exome37	6	7	54
PD4198a_exome37	22	31	160
PD4199a_exome37	272	0	110
PD4248a_exome37	11	48	66
