Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
PD3851a_exome37	2.96E+00	0.00E+00	1.14E+01	7.80E+00	1.64E+01	1.31E+01
PD3890a_exome37	6.19E+00	2.49E+01	2.43E+01	6.65E+00	2.35E+01	1.26E+01
PD3904a_exome37	1.23E+01	1.60E+00	1.88E+01	2.00E+01	3.28E+00	6.89E+00
PD3905a_exome37	8.09E+00	2.77E+01	1.29E+01	1.96E+01	2.87E+01	1.55E+01
PD3945a_exome37	8.24E+00	3.58E+01	4.09E+01	3.84E+01	6.80E+00	1.43E+01
PD4005a_exome37	1.34E+01	5.21E+01	0.00E+00	4.43E+01	1.55E+01	0.00E+00
PD4006a_exome37	2.58E+00	2.27E+01	4.92E+01	3.00E+00	1.80E+01	2.18E+01
PD4085a_exome37	1.56E+00	0.00E+00	0.00E+00	1.18E+01	5.53E+00	1.41E+01
PD4086a_exome37	2.06E+00	9.19E+00	4.00E+00	0.00E+00	1.64E+01	1.81E+01
PD4088a_exome37	2.56E+00	8.92E+00	0.00E+00	1.24E+01	0.00E+00	1.12E+01
PD4103a_exome37	9.56E+00	0.00E+00	0.00E+00	2.00E+00	3.53E+01	3.16E+01
PD4107a_exome37	8.06E+00	3.47E+01	5.58E+01	4.55E+01	5.69E+01	1.67E+01
PD4109a_exome37	8.35E+00	3.00E+01	2.16E+01	4.00E+00	4.00E+00	2.56E+01
PD4115a_exome37	2.40E+00	8.39E+00	2.15E+01	3.51E+01	2.76E+01	5.32E+00
PD4116a_exome37	9.41E+00	5.83E+01	4.01E+01	5.12E+01	2.92E+01	0.00E+00
PD4120a_exome37	1.20E+01	1.09E+01	0.00E+00	0.00E+00	9.60E+00	0.00E+00
PD4192a_exome37	6.49E+00	3.42E+01	2.12E+01	7.59E+00	2.52E+01	1.18E+01
PD4194a_exome37	1.63E+00	4.07E+00	0.00E+00	4.20E+00	1.02E+01	1.14E+01
PD4198a_exome37	5.64E+00	1.19E+01	2.06E+01	1.04E+01	1.71E+01	1.85E+01
PD4199a_exome37	5.50E+00	1.30E+01	0.00E+00	0.00E+00	0.00E+00	1.34E+01
PD4248a_exome37	1.94E+00	0.00E+00	7.59E+00	1.46E+01	1.09E+01	7.30E+00
