Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K
PD3851a_exome37	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	6.00E+00	0.00E+00	6.60E+00	1.08E+01	1.00E+00	3.00E+00
PD3890a_exome37	1.04E+01	8.60E+00	3.20E+00	0.00E+00	4.89E+01	8.00E-01	0.00E+00	8.20E+00	0.00E+00	2.82E+01	2.82E+01
PD3904a_exome37	1.11E+01	1.94E+01	8.40E+00	1.96E+01	4.28E+01	0.00E+00	3.80E+00	5.01E+01	0.00E+00	2.35E+01	1.16E+01
PD3905a_exome37	7.62E+00	4.16E+01	1.00E+01	2.00E-01	3.82E+01	3.16E+01	7.03E+00	2.66E+01	1.54E+01	5.40E+00	1.67E+01
PD3945a_exome37	9.51E+00	1.44E+01	8.20E+00	1.69E+01	4.46E+00	1.78E+01	3.40E+01	2.37E+01	1.54E+01	1.46E+01	6.20E+00
PD4005a_exome37	1.39E+01	1.58E+01	1.97E+01	2.93E+01	5.40E+00	0.00E+00	4.00E+00	5.58E+01	0.00E+00	3.62E+01	1.48E+01
PD4006a_exome37	1.80E+00	4.21E+01	0.00E+00	5.53E+01	2.09E+01	3.00E+01	2.44E+01	1.25E+01	1.73E+01	2.88E+01	1.48E+01
PD4085a_exome37	0.00E+00	0.00E+00	2.20E+00	2.79E+01	0.00E+00	1.06E+01	2.10E+01	0.00E+00	1.06E+01	3.40E+00	0.00E+00
PD4086a_exome37	6.50E+00	0.00E+00	0.00E+00	0.00E+00	6.00E+00	1.32E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.27E+01
PD4088a_exome37	4.00E-01	0.00E+00	5.27E+00	1.12E+01	0.00E+00	4.08E+00	1.04E+01	0.00E+00	1.26E+01	4.20E+00	3.40E+00
PD4103a_exome37	0.00E+00	4.20E+00	1.00E+01	8.20E+00	0.00E+00	1.95E+01	3.14E+01	0.00E+00	2.59E+01	3.26E+01	1.34E+01
PD4107a_exome37	0.00E+00	3.17E+01	0.00E+00	2.37E+01	4.60E+01	1.02E+01	5.21E+01	2.62E+01	1.50E+01	0.00E+00	2.10E+01
PD4109a_exome37	1.92E+01	2.12E+01	2.00E-01	1.22E+01	0.00E+00	4.82E+01	1.40E+00	5.85E+01	2.12E+01	6.00E-01	1.65E+01
PD4115a_exome37	0.00E+00	4.78E+01	1.60E+00	2.94E+01	0.00E+00	0.00E+00	0.00E+00	4.52E+01	1.47E+01	1.46E+01	0.00E+00
PD4116a_exome37	6.00E+00	3.40E+01	8.40E+00	2.96E+01	2.05E+01	0.00E+00	5.12E+01	1.61E+01	4.60E+00	5.79E+01	6.00E+00
PD4120a_exome37	7.88E+01	0.00E+00	9.78E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	7.80E+00	3.24E+01	0.00E+00
PD4192a_exome37	1.06E+01	5.40E+00	4.60E+00	0.00E+00	0.00E+00	1.36E+01	2.01E+01	3.25E+01	1.07E+01	2.35E+01	0.00E+00
PD4194a_exome37	0.00E+00	9.16E+00	2.47E+00	0.00E+00	7.63E+00	2.31E+00	3.20E+00	0.00E+00	6.69E+00	1.36E+00	3.72E+00
PD4198a_exome37	5.10E+00	6.60E+00	0.00E+00	8.67E+00	9.46E+00	2.91E+01	1.08E+01	1.23E+01	2.52E+01	6.40E+00	0.00E+00
PD4199a_exome37	0.00E+00	0.00E+00	8.17E+00	0.00E+00	8.00E-01	0.00E+00	8.00E+00	0.00E+00	0.00E+00	0.00E+00	3.80E+00
PD4248a_exome37	3.20E+00	0.00E+00	0.00E+00	1.05E+01	4.80E+00	1.09E+01	1.02E+01	0.00E+00	1.92E+01	1.86E+01	1.22E+01
