Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N
PD3851a_exome37	3	4	0	0	0	0	0	0	0	0	12	63	5	0
PD3890a_exome37	0	0	5	2	0	0	14	147	43	8	0	2	2	30
PD3904a_exome37	0	0	77	56	0	0	0	29	0	0	65	0	42	0
PD3905a_exome37	12	0	0	0	0	0	11	0	6	42	0	0	0	176
PD3945a_exome37	9	0	60	53	35	34	138	0	0	0	50	0	0	0
PD4005a_exome37	59	0	71	9	38	26	83	0	0	0	0	1	0	14
PD4006a_exome37	0	0	0	0	231	9	13	39	0	35	20	22	0	0
PD4085a_exome37	0	0	21	1	0	0	0	0	0	59	0	24	10	0
PD4086a_exome37	26	18	0	0	0	0	8	9	1	33	24	0	0	0
PD4088a_exome37	5	0	0	0	0	0	3	9	0	1	0	57	0	0
PD4103a_exome37	0	140	0	0	0	47	0	0	19	10	24	0	0	1
PD4107a_exome37	0	64	6	197	74	0	0	0	0	59	6	0	0	0
PD4109a_exome37	37	0	4	7	2	301	23	1	5	0	0	14	14	0
PD4115a_exome37	0	0	0	247	13	0	104	0	0	0	0	39	6	0
PD4116a_exome37	21	0	0	43	129	0	0	136	0	0	0	0	20	0
PD4120a_exome37	3014	517	467	0	0	0	0	0	0	0	0	22	36	0
PD4192a_exome37	0	7	0	0	48	7	0	0	11	0	0	0	89	28
PD4194a_exome37	0	0	0	0	0	9	0	16	0	11	23	8	0	0
PD4198a_exome37	0	0	0	0	14	17	5	0	8	84	6	58	21	0
PD4199a_exome37	55	15	0	2	0	16	0	0	269	0	0	0	25	0
PD4248a_exome37	0	13	5	0	0	18	0	2	0	0	84	3	0	0
