Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O
PD3851a_exome37	3	0	0	0	0	0	0	0	0	0	0	81	0	0	3
PD3890a_exome37	5	5	0	6	19	0	0	0	0	0	192	0	0	4	22
PD3904a_exome37	33	1	0	25	152	0	0	0	0	0	0	0	52	0	6
PD3905a_exome37	3	29	0	0	39	4	0	14	0	0	0	0	0	153	5
PD3945a_exome37	13	20	29	268	0	0	1	1	0	8	0	17	17	5	0
PD4005a_exome37	0	171	23	39	11	0	0	16	19	6	0	6	0	10	0
PD4006a_exome37	0	0	159	0	0	0	1	55	53	0	5	22	69	5	0
PD4085a_exome37	0	4	0	0	0	0	13	0	80	2	0	5	11	0	0
PD4086a_exome37	5	0	0	0	0	3	6	0	0	0	0	5	0	0	100
PD4088a_exome37	3	0	0	9	0	9	0	0	13	0	0	32	9	0	0
PD4103a_exome37	0	43	0	0	8	20	170	0	0	0	0	0	0	0	0
PD4107a_exome37	0	0	57	36	88	0	21	43	97	0	0	12	1	7	44
PD4109a_exome37	0	0	54	0	0	65	42	0	26	208	0	13	0	0	0
PD4115a_exome37	0	0	190	0	124	0	29	0	4	0	35	27	0	0	0
PD4116a_exome37	17	3	132	110	3	0	0	33	9	0	13	0	0	8	21
PD4120a_exome37	3502	478	0	0	0	76	0	0	0	0	0	0	0	0	0
PD4192a_exome37	21	3	0	0	0	2	5	84	0	46	7	0	22	0	0
PD4194a_exome37	0	0	0	0	0	0	16	0	0	0	4	13	0	34	0
PD4198a_exome37	0	0	0	0	0	17	34	102	9	0	12	32	0	7	0
PD4199a_exome37	125	61	0	0	0	196	0	0	0	0	0	0	0	0	0
PD4248a_exome37	4	0	0	0	0	0	43	0	0	0	0	0	78	0	0
