Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O
PD3851a_exome37	1.20E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	6.00E-01	2.00E+00	0.00E+00	0.00E+00	0.00E+00	2.76E+00	0.00E+00	0.00E+00	0.00E+00
PD3890a_exome37	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.00E+01	0.00E+00	4.88E+01	0.00E+00	0.00E+00	8.00E-01	3.04E+01
PD3904a_exome37	4.50E+00	2.79E+01	0.00E+00	1.39E+01	2.80E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.62E+01	1.10E+01	5.80E+00	2.94E+01	0.00E+00	9.20E+00
PD3905a_exome37	2.16E+00	1.47E+01	5.00E+00	0.00E+00	2.24E+01	0.00E+00	0.00E+00	1.24E+01	0.00E+00	0.00E+00	6.80E+00	7.80E+00	0.00E+00	4.58E+01	1.80E+00
PD3945a_exome37	7.76E+00	8.34E+00	4.00E+01	6.64E+01	0.00E+00	0.00E+00	0.00E+00	1.70E+01	6.00E-01	2.09E+01	1.56E+01	0.00E+00	1.96E+01	1.30E+01	6.40E+00
PD4005a_exome37	4.80E+00	3.77E+01	0.00E+00	2.26E+01	6.60E+00	0.00E+00	0.00E+00	1.45E+01	1.80E+00	0.00E+00	1.74E+01	9.00E+00	2.80E+00	0.00E+00	0.00E+00
PD4006a_exome37	3.03E+00	0.00E+00	6.03E+01	0.00E+00	0.00E+00	1.70E+01	1.87E+01	3.64E+01	2.30E+01	0.00E+00	2.34E+01	1.80E+00	3.99E+01	6.00E+00	0.00E+00
PD4085a_exome37	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	9.40E+00	0.00E+00	2.58E+01	0.00E+00	2.30E+01	0.00E+00	1.67E+01	0.00E+00	0.00E+00
PD4086a_exome37	5.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.40E+00	0.00E+00	0.00E+00	1.18E+01	7.00E+00	2.20E+00	0.00E+00	3.60E+00	2.25E+01
PD4088a_exome37	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.38E+00	1.18E+01	0.00E+00	8.20E+00	0.00E+00	7.00E+00	1.06E+01	1.50E+01	0.00E+00	0.00E+00
PD4103a_exome37	4.91E+00	0.00E+00	0.00E+00	2.42E+01	0.00E+00	4.78E+01	4.42E+01	0.00E+00	1.22E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
PD4107a_exome37	1.00E+00	0.00E+00	3.12E+01	8.08E+01	9.80E+00	0.00E+00	1.50E+01	3.62E+01	5.95E+01	1.58E+01	0.00E+00	1.30E+01	1.24E+01	3.36E+01	3.07E+01
PD4109a_exome37	1.58E+01	2.12E+01	1.21E+01	2.00E+00	0.00E+00	2.16E+01	2.83E+01	0.00E+00	6.00E+00	6.65E+01	0.00E+00	3.04E+01	0.00E+00	9.20E+00	1.26E+01
PD4115a_exome37	0.00E+00	0.00E+00	7.46E+01	0.00E+00	8.12E+01	1.02E+01	7.20E+00	0.00E+00	4.60E+00	0.00E+00	8.00E+00	1.14E+01	0.00E+00	8.00E+00	0.00E+00
PD4116a_exome37	4.60E+00	1.25E+01	2.48E+01	6.07E+01	1.26E+01	4.00E-01	1.80E+00	2.97E+01	2.80E+01	1.04E+01	1.42E+01	0.00E+00	0.00E+00	2.60E+00	8.33E+00
PD4120a_exome37	4.58E+02	4.47E+02	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.22E+01	0.00E+00	0.00E+00	2.16E+01	0.00E+00	6.00E+00	0.00E+00	0.00E+00	2.08E+01
PD4192a_exome37	8.97E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.72E+01	0.00E+00	3.80E+01	1.00E+01	0.00E+00	2.90E+01	0.00E+00	7.20E+00
PD4194a_exome37	2.00E-01	0.00E+00	3.20E+00	0.00E+00	3.60E+00	6.40E+00	9.56E+00	0.00E+00	0.00E+00	4.60E+00	3.20E+00	1.14E+01	3.60E+00	1.34E+01	2.00E+00
PD4198a_exome37	0.00E+00	1.06E+01	0.00E+00	0.00E+00	2.96E+01	0.00E+00	1.26E+01	4.10E+01	0.00E+00	9.80E+00	1.46E+01	1.82E+01	0.00E+00	8.78E+00	0.00E+00
PD4199a_exome37	5.32E+01	5.22E+01	0.00E+00	0.00E+00	0.00E+00	8.10E+01	0.00E+00	0.00E+00	2.32E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
PD4248a_exome37	1.00E+00	0.00E+00	0.00E+00	1.08E+01	0.00E+00	0.00E+00	2.38E+01	1.32E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.34E+01	0.00E+00	0.00E+00
