Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
PD3851a_exome37	1.36E+00	0.00E+00	0.00E+00	0.00E+00	1.44E+01	2.00E+00	1.46E+01
PD3890a_exome37	1.15E+01	3.80E+01	4.32E+01	7.00E+00	0.00E+00	7.06E+00	2.45E+01
PD3904a_exome37	9.99E+00	2.64E+01	2.47E+01	1.11E+01	7.19E+00	0.00E+00	0.00E+00
PD3905a_exome37	9.73E+00	0.00E+00	3.00E+01	2.50E+01	6.20E+00	2.13E+01	3.84E+01
PD3945a_exome37	7.34E+00	3.24E+01	3.34E+01	1.36E+01	1.94E+01	1.00E+01	1.06E+01
PD4005a_exome37	1.98E+01	3.85E+01	1.19E+01	4.52E+01	1.60E+01	0.00E+00	3.16E+01
PD4006a_exome37	1.20E+00	3.30E+01	2.01E+01	1.91E+01	2.10E+01	2.26E+01	3.73E+01
PD4085a_exome37	0.00E+00	9.20E+00	0.00E+00	1.21E+01	1.18E+01	5.23E+00	1.67E+01
PD4086a_exome37	6.80E+00	3.87E+00	0.00E+00	6.20E+00	8.44E+00	1.79E+01	0.00E+00
PD4088a_exome37	1.56E+00	5.00E+00	1.20E+00	3.60E+00	4.95E+00	5.20E+00	1.07E+01
PD4103a_exome37	3.99E+00	6.41E+00	1.28E+01	1.51E+01	3.69E+01	3.54E+01	2.96E+01
PD4107a_exome37	2.40E+00	3.83E+01	3.64E+01	3.43E+01	2.30E+01	3.47E+01	2.43E+01
PD4109a_exome37	1.84E+01	1.06E+01	1.94E+01	9.52E+00	2.62E+01	3.96E+01	7.95E+00
PD4115a_exome37	4.72E+00	1.93E+01	6.69E+01	4.34E+01	1.55E+01	0.00E+00	0.00E+00
PD4116a_exome37	6.05E+00	3.59E+01	3.37E+01	1.85E+01	0.00E+00	9.80E+00	6.19E+00
PD4120a_exome37	4.10E+02	0.00E+00	0.00E+00	4.23E+02	0.00E+00	1.90E+01	2.08E+01
PD4192a_exome37	7.35E+00	4.40E+00	2.16E+01	2.77E+01	9.17E+00	1.26E+01	4.75E+00
PD4194a_exome37	1.29E+00	2.47E+00	7.49E+00	0.00E+00	2.34E+00	8.28E+00	1.25E+01
PD4198a_exome37	3.43E+00	1.29E+01	8.80E+00	7.90E+00	1.41E+01	1.85E+01	5.89E+00
PD4199a_exome37	8.80E+00	5.60E+00	0.00E+00	0.00E+00	2.29E+01	2.72E+01	2.40E+01
PD4248a_exome37	3.50E+00	1.88E+01	0.00E+00	1.16E+01	2.08E+01	7.60E+00	1.66E+01
